Season,Rk,Unnamed: 1,Name,Team,Age,Pos,GP,G,A,P,PIM,+/-,PPG,SHG,GWG,G/GP,A/GP,P/GP,SOG,SH%
2010-11,1,,Sergei Shirokov,MTB,24,F,76,22,36,58,51,7.0,4,0,5.0,0.289,0.474,0.763,181.0,12.2%
2010-11,2,,Bill Sweatt,MTB,22,F,80,19,27,46,28,-9.0,3,1,5.0,0.238,0.338,0.575,173.0,11.0%
2010-11,3,,Mark Flood,MTB,26,D,63,11,29,40,29,0.0,5,0,1.0,0.175,0.46,0.635,119.0,9.2%
2010-11,4,,Marco Rosa,MTB,28,F,51,13,21,34,20,3.0,4,1,5.0,0.255,0.412,0.667,116.0,11.2%
2010-11,5,,Cody Hodgson,MTB,20,F,52,17,13,30,14,-12.0,4,0,2.0,0.327,0.25,0.577,166.0,10.2%
2010-11,6,,Nolan Baumgartner,MTB,34,D,66,4,25,29,36,-3.0,4,0,1.0,0.061,0.379,0.439,69.0,5.8%
2010-11,7,,Jordan Schroeder,MTB,20,F,61,10,18,28,10,-7.0,3,0,3.0,0.164,0.295,0.459,87.0,11.5%
2010-11,8,,Guillaume Desbiens,MTB,25,F,53,11,16,27,104,2.0,1,2,2.0,0.208,0.302,0.509,93.0,11.8%
2010-11,9,,Mario Bliznak,MTB,23,F,74,11,16,27,22,14.0,3,1,1.0,0.149,0.216,0.365,110.0,10.0%
2010-11,10,,Shawn Weller,MTB,24,F,67,12,11,23,50,7.0,3,0,1.0,0.179,0.164,0.343,113.0,10.6%
2010-11,11,,Kevin Connauton,MTB,20,D,73,11,12,23,51,-11.0,3,0,1.0,0.151,0.164,0.315,146.0,7.5%
2010-11,12,,Joel Perrault,MTB,27,F,37,5,18,23,43,2.0,2,0,1.0,0.135,0.486,0.622,81.0,6.2%
2010-11,13,,Alexandre Bolduc,MTB,25,F,26,6,9,15,28,4.0,1,1,1.0,0.231,0.346,0.577,64.0,9.4%
2010-11,14,,Kevin Clark,MTB,23,F,43,6,8,14,22,5.0,0,0,1.0,0.14,0.186,0.326,76.0,7.9%
2010-11,15,,Lee Sweatt,MTB,25,D,41,5,9,14,18,15.0,2,0,2.0,0.122,0.22,0.341,117.0,4.3%
2010-11,16,,Yann Sauve,MTB,20,D,39,3,11,14,24,5.0,2,0,0.0,0.077,0.282,0.359,55.0,5.5%
2010-11,17,,Victor Oreskovich,MTB,24,F,40,4,8,12,38,-8.0,1,0,0.0,0.1,0.2,0.3,71.0,5.6%
2010-11,18,,Travis Ramsey,MTB,27,D,57,0,12,12,63,1.0,0,0,0.0,0.0,0.211,0.211,62.0,0.0%
2010-11,19,,Evan Oberg,MTB,22,D,38,6,5,11,28,-7.0,4,0,0.0,0.158,0.132,0.289,61.0,9.8%
2010-11,20,,Garth Murray,MTB,28,F,55,6,5,11,90,-10.0,0,3,0.0,0.109,0.091,0.2,60.0,10.0%
2010-11,21,,Jonas Andersson,MTB,29,F,20,5,6,11,16,5.0,0,0,0.0,0.25,0.3,0.55,39.0,12.8%
2010-11,22,,Aaron Volpatti,MTB,25,F,53,2,9,11,74,-7.0,0,0,0.0,0.038,0.17,0.208,71.0,2.8%
2010-11,23,,Christopher Tanev,MTB,21,D,39,1,8,9,16,5.0,0,0,0.0,0.026,0.205,0.231,21.0,4.8%
2010-11,24,,Jeff Tambellini,MTB,26,F,7,5,2,7,0,4.0,2,0,1.0,0.714,0.286,1.0,29.0,17.2%
2010-11,25,,Josh Aspenlind,MTB,24,F,22,0,5,5,26,0.0,0,0,0.0,0.0,0.227,0.227,11.0,0.0%
2010-11,26,,Tom Maxwell,MTB,25,F,39,4,0,4,60,-12.0,1,0,0.0,0.103,0.0,0.103,25.0,16.0%
2010-11,27,,Ryan Cruthers,MTB,26,F,12,3,1,4,11,-1.0,0,0,0.0,0.25,0.083,0.333,10.0,30.0%
2010-11,28,,Stefan Schneider,MTB,21,F,47,2,2,4,9,-2.0,0,0,0.0,0.043,0.043,0.085,32.0,6.3%
2010-11,29,,Keith Seabrook,MTB,22,D,15,1,2,3,8,-2.0,0,0,0.0,0.067,0.133,0.2,31.0,3.2%
2010-11,30,,Sami Salo,MTB,36,D,3,2,0,2,2,-2.0,1,0,1.0,0.667,0.0,0.667,4.0,50.0%
2010-11,31,,Jason Jaffray,MTB,29,F,6,1,1,2,2,-1.0,1,0,0.0,0.167,0.167,0.333,10.0,10.0%
2010-11,32,,Ryan McGinnis,MTB,23,D,19,1,1,2,14,4.0,1,0,0.0,0.053,0.053,0.105,34.0,2.9%
2010-11,33,,Ryan Parent,MTB,23,D,39,1,1,2,56,0.0,0,0,0.0,0.026,0.026,0.051,23.0,4.4%
2010-11,34,,Andy Brandt,MTB,27,F,5,0,2,2,0,1.0,0,0,0.0,0.0,0.4,0.4,1.0,0.0%
2010-11,35,,Rick Rypien,MTB,26,F,11,0,2,2,9,-4.0,0,0,0.0,0.0,0.182,0.182,17.0,0.0%
2010-11,36,,Eddie Läck,MTB,22,G,53,0,2,2,4,,0,0,0.0,0.0,0.038,0.038,,
2010-11,37,,Dusty Collins,MTB,25,F,3,1,0,1,12,1.0,0,0,0.0,0.333,0.0,0.333,3.0,33.3%
2010-11,38,,Jason Pitton,MTB,24,F,1,0,0,0,2,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.00%
2010-11,39,,Kyle Bushee,MTB,25,D,2,0,0,0,0,1.0,0,0,0.0,0.0,0.0,0.0,2.0,0.0%
2010-11,40,,Francis Lemieux,MTB,26,F,2,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.00%
2010-11,41,,Geoff Waugh,MTB,27,D,2,0,0,0,4,0.0,0,0,0.0,0.0,0.0,0.0,1.0,0.0%
2010-11,42,,Tyler Weiman,MTB,26,G,29,0,0,0,2,,0,0,0.0,0.0,0.0,0.0,,
2015-16,1,,Brenden Kichton,MTB,23,D,68,11,30,41,36,-23.0,1,0,,0.162,0.441,0.603,107.0,10.3%
2015-16,2,,Chase de Leo,MTB,20,F,73,19,21,40,34,-26.0,9,0,,0.26,0.288,0.548,191.0,10.0%
2015-16,3,,Scott Kosmachuk,MTB,21,F,67,19,17,36,41,-19.0,7,0,,0.284,0.254,0.537,162.0,11.7%
2015-16,4,,Austen Brassard,MTB,22,F,75,15,21,36,48,-11.0,4,0,,0.2,0.28,0.48,85.0,17.7%
2015-16,5,,John Albert,MTB,26,F,66,12,24,36,20,-10.0,3,0,,0.182,0.364,0.545,158.0,7.6%
2015-16,6,,Patrice Cormier,MTB,25,F,65,15,17,32,73,-16.0,6,1,,0.231,0.262,0.492,115.0,13.0%
2015-16,7,,Nic Petan,MTB,20,F,47,9,23,32,26,-18.0,1,0,,0.191,0.489,0.681,89.0,10.1%
2015-16,8,,J.C. Lipon,MTB,22,F,45,13,17,30,87,-13.0,6,3,,0.289,0.378,0.667,102.0,12.8%
2015-16,9,,Josh Morrissey,MTB,20,D,57,3,19,22,47,-9.0,1,0,,0.053,0.333,0.386,107.0,2.8%
2015-16,10,,Matt Halischuk,MTB,27,F,39,6,12,18,6,0.0,1,0,,0.154,0.308,0.462,71.0,8.5%
2015-16,11,,Dan DeSalvo,MTB,23,F,17,5,9,14,4,3.0,1,0,,0.294,0.529,0.824,28.0,17.9%
2015-16,12,,Matt Fraser,MTB,25,F,44,5,9,14,4,-5.0,1,0,,0.114,0.205,0.318,77.0,6.5%
2015-16,13,,Andrew MacWilliam,MTB,25,D,72,1,13,14,86,-17.0,0,0,,0.014,0.181,0.194,43.0,2.3%
2015-16,14,,Ryan Olsen,MTB,21,F,65,6,7,13,90,-18.0,0,0,,0.092,0.108,0.2,88.0,6.8%
2015-16,15,,Darren Kramer,MTB,24,F,61,7,5,12,138,-13.0,0,0,,0.115,0.082,0.197,61.0,11.5%
2015-16,16,,Thomas Raffl,MTB,29,F,31,5,5,10,42,-6.0,1,1,,0.161,0.161,0.323,57.0,8.8%
2015-16,17,,Jan Kostalek,MTB,20,D,52,1,8,9,20,-12.0,0,0,,0.019,0.154,0.173,59.0,1.7%
2015-16,18,,Jiri Fronk,MTB,21,F,33,6,2,8,8,1.0,0,0,,0.182,0.061,0.242,42.0,14.3%
2015-16,19,,Joel Armia,MTB,22,F,18,3,5,8,16,3.0,2,0,,0.167,0.278,0.444,31.0,9.7%
2015-16,20,,Julian Melchiori,MTB,24,D,62,3,4,7,46,-17.0,0,1,,0.048,0.065,0.113,71.0,4.2%
2015-16,21,,Peter Stoykewych,MTB,23,D,47,0,7,7,38,-6.0,0,0,,0.0,0.149,0.149,47.0,0.0%
2015-16,22,,Jimmy Lodge,MTB,20,F,44,3,3,6,10,-12.0,1,0,,0.068,0.068,0.136,30.0,10.0%
2015-16,23,,Jay Harrison,MTB,33,D,18,3,2,5,17,-6.0,0,0,,0.167,0.111,0.278,32.0,9.4%
2015-16,24,,Sean Escobedo,MTB,25,D,10,1,4,5,9,1.0,0,0,,0.1,0.4,0.5,8.0,12.5%
2015-16,25,,Axel Blomqvist,MTB,20,F,33,1,4,5,8,-3.0,0,0,,0.03,0.121,0.152,20.0,5.0%
2015-16,26,,Brandon Denham,MTB,23,F,9,1,3,4,2,3.0,1,0,,0.111,0.333,0.444,13.0,7.7%
2015-16,27,,Adam Lowry,MTB,22,F,4,0,4,4,2,-2.0,0,0,,0.0,1.0,1.0,11.0,0.0%
2015-16,28,,Aaron Harstad,MTB,23,D,26,0,4,4,28,-1.0,0,0,,0.0,0.154,0.154,11.0,0.0%
2015-16,29,,Brendan Lemieux,MTB,19,F,5,2,1,3,6,1.0,2,0,,0.4,0.2,0.6,15.0,13.3%
2015-16,30,,Jansen Harkins,MTB,18,F,6,1,2,3,2,1.0,0,0,,0.167,0.333,0.5,7.0,14.3%
2015-16,31,,Paul Postma,MTB,26,D,7,1,2,3,2,-5.0,1,0,,0.143,0.286,0.429,16.0,6.3%
2015-16,32,,Darik Angeli,MTB,25,F,10,1,2,3,2,-1.0,0,0,,0.1,0.2,0.3,13.0,7.7%
2015-16,33,,Ben Walker,MTB,22,F,16,1,2,3,8,-5.0,0,0,,0.063,0.125,0.188,20.0,5.0%
2015-16,34,,Jake Baker,MTB,24,D,9,1,1,2,29,-2.0,1,0,,0.111,0.111,0.222,12.0,8.3%
2015-16,35,,Brant Harris,MTB,26,F,11,0,1,1,0,-3.0,0,0,,0.0,0.091,0.091,22.0,0.0%
2015-16,36,,Kelly Zajac,MTB,27,F,14,0,1,1,2,-2.0,0,0,,0.0,0.071,0.071,6.0,0.0%
2015-16,37,,Jordon Southorn,MTB,25,D,2,0,0,0,2,0.0,0,0,,0.0,0.0,0.0,2.0,0.0%
2015-16,38,,Justin Breton,MTB,26,F,2,0,0,0,0,-1.0,0,0,,0.0,0.0,0.0,2.0,0.0%
2015-16,39,,Tyson Wilson,MTB,24,D,3,0,0,0,0,-3.0,0,0,,0.0,0.0,0.0,5.0,0.0%
2015-16,40,,Kevin Lynch,MTB,24,F,5,0,0,0,2,-1.0,0,0,,0.0,0.0,0.0,2.0,0.0%
2015-16,41,,Juho Olkinuora,MTB,25,G,6,0,0,0,0,,0,0,0.0,0.0,0.0,0.0,,
2015-16,42,,Jon Jutzi,MTB,24,D,6,0,0,0,2,-2.0,0,0,,0.0,0.0,0.0,4.0,0.0%
2015-16,43,,Jordan Hill,MTB,26,D,8,0,0,0,6,-1.0,0,0,,0.0,0.0,0.0,5.0,0.0%
2015-16,44,,Brennan Serville,MTB,22,D,15,0,0,0,10,-6.0,0,0,,0.0,0.0,0.0,10.0,0.0%
2015-16,45,,Connor Hellebuyck,MTB,22,G,30,0,0,0,0,,0,0,0.0,0.0,0.0,0.0,,
2015-16,46,,Eric Comrie,MTB,20,G,46,0,0,0,0,,0,0,0.0,0.0,0.0,0.0,,
2016-17,1,,Jack Roslovic,MTB,19,F,65,13,35,48,22,-17.0,4,0,3.0,0.2,0.538,0.738,136.0,9.6%
2016-17,2,,Kyle Connor,MTB,20,F,52,25,19,44,14,-8.0,9,0,4.0,0.481,0.365,0.846,151.0,16.6%
2016-17,3,,Dan DeSalvo,MTB,24,F,66,18,22,40,30,-18.0,8,1,3.0,0.273,0.333,0.606,126.0,14.3%
2016-17,4,,Chase de Leo,MTB,21,F,69,14,18,32,12,-22.0,5,0,1.0,0.203,0.261,0.464,161.0,8.7%
2016-17,5,,Kevin Czuczman,MTB,25,D,76,9,23,32,48,-23.0,6,0,0.0,0.118,0.303,0.421,190.0,4.7%
2016-17,6,,J.C. Lipon,MTB,23,F,71,12,18,30,129,11.0,0,0,1.0,0.169,0.254,0.423,164.0,7.3%
2016-17,7,,Patrice Cormier,MTB,26,F,69,13,16,29,101,10.0,3,1,1.0,0.188,0.232,0.42,112.0,11.6%
2016-17,8,,Scott Kosmachuk,MTB,22,F,58,11,17,28,47,-3.0,4,0,2.0,0.19,0.293,0.483,124.0,8.9%
2016-17,9,,Quinton Howden,MTB,24,F,58,13,11,24,10,-1.0,1,3,3.0,0.224,0.19,0.414,97.0,13.4%
2016-17,10,,Brenden Kichton,MTB,24,D,63,1,22,23,52,-19.0,0,0,1.0,0.016,0.349,0.365,93.0,1.1%
2016-17,11,,Scott Glennie,MTB,25,F,45,7,13,20,34,-9.0,4,0,1.0,0.156,0.289,0.444,61.0,11.5%
2016-17,12,,Peter Stoykewych,MTB,24,D,72,5,15,20,47,6.0,1,0,0.0,0.069,0.208,0.278,128.0,3.9%
2016-17,13,,Brendan Lemieux,MTB,20,F,61,12,7,19,130,-16.0,5,0,2.0,0.197,0.115,0.311,120.0,10.0%
2016-17,14,,Jimmy Lodge,MTB,21,F,63,8,10,18,34,-10.0,2,0,1.0,0.127,0.159,0.286,66.0,12.1%
2016-17,15,,Brian Strait,MTB,28,D,58,2,12,14,36,-4.0,0,1,0.0,0.034,0.207,0.241,84.0,2.4%
2016-17,16,,Nelson Nogier,MTB,20,D,60,2,11,13,35,-5.0,0,0,0.0,0.033,0.183,0.217,87.0,2.3%
2016-17,17,,Ryan Olsen,MTB,22,F,56,7,4,11,54,-9.0,0,0,2.0,0.125,0.071,0.196,67.0,10.5%
2016-17,18,,Brandon Tanev,MTB,25,F,23,2,7,9,13,-1.0,2,0,0.0,0.087,0.304,0.391,49.0,4.1%
2016-17,19,,Julian Melchiori,MTB,25,D,40,2,6,8,18,8.0,0,0,0.0,0.05,0.15,0.2,89.0,2.3%
2016-17,20,,Jan Kostalek,MTB,21,D,60,2,5,7,20,-4.0,0,0,0.0,0.033,0.083,0.117,71.0,2.8%
2016-17,21,,Francis Beauvillier,MTB,23,F,9,4,1,5,13,3.0,1,0,0.0,0.444,0.111,0.556,11.0,36.4%
2016-17,22,,Nic Petan,MTB,21,F,9,4,1,5,4,4.0,2,0,2.0,0.444,0.111,0.556,20.0,20.0%
2016-17,23,,Andrew Copp,MTB,22,F,8,0,5,5,4,-1.0,0,0,0.0,0.0,0.625,0.625,13.0,0.0%
2016-17,24,,Darren Kramer,MTB,25,F,42,3,1,4,89,-9.0,0,0,0.0,0.071,0.024,0.095,35.0,8.6%
2016-17,25,,Jansen Harkins,MTB,19,F,4,2,2,4,4,3.0,0,0,0.0,0.5,0.5,1.0,6.0,33.3%
2016-17,26,,Darcy Murphy,MTB,24,F,8,1,1,2,4,-3.0,0,0,0.0,0.125,0.125,0.25,12.0,8.3%
2016-17,27,,Marko Dano,MTB,22,F,6,0,2,2,4,-6.0,0,0,0.0,0.0,0.333,0.333,12.0,0.0%
2016-17,28,,Jake Kulevich,MTB,23,D,11,0,2,2,4,-2.0,0,0,0.0,0.0,0.182,0.182,6.0,0.0%
2016-17,29,,Anthony Peluso,MTB,27,F,22,0,2,2,6,2.0,0,0,0.0,0.0,0.091,0.091,26.0,0.0%
2016-17,30,,Nolan Zajac,MTB,24,D,1,1,0,1,0,2.0,0,0,0.0,1.0,0.0,1.0,1.0,100.0%
2016-17,31,,Danick Gauthier,MTB,25,F,2,1,0,1,2,-1.0,1,0,0.0,0.5,0.0,0.5,3.0,33.3%
2016-17,32,,Rob Flick,MTB,25,F,5,1,0,1,7,-1.0,0,0,0.0,0.2,0.0,0.2,6.0,16.7%
2016-17,33,,Elgin Pearce,MTB,24,F,3,0,1,1,0,1.0,0,0,0.0,0.0,0.333,0.333,2.0,0.0%
