Rk,Unnamed: 1,Name,Team,Age,Pos,GP,G,A,P,PIM,+/-,PPG,SHG,GWG,G/GP,A/GP,P/GP,SOG,SH%
1,,Laurent Dauphin,LAV,30,F,41,14,38,52,22,25,4,1,4,0.341,0.927,1.268,105,13.3%
2,,Arthur Kaliyev,BEL,24,F,45,28,20,48,20,-6,13,0,2,0.622,0.444,1.067,174,16.1%
3,,Alex Barre-Boulet,COL,28,F,42,14,29,43,18,14,4,0,1,0.333,0.69,1.024,111,12.6%
4,,Seth Griffith,BAK,32,F,44,14,29,43,30,2,3,0,2,0.318,0.659,0.977,56,25.0%
5,,Cameron Hughes,TEX,29,F,43,10,33,43,22,6,3,0,3,0.233,0.767,1.0,97,10.3%
6,,Quinn Hutson,BAK,23,F,39,24,18,42,58,8,11,0,3,0.615,0.462,1.077,120,20.0%
7,,Jakob Pelletier,SYR,24,F,38,19,23,42,9,16,6,2,2,0.5,0.605,1.105,113,16.8%
8,,Patrick Brown,PRO,33,F,42,14,28,42,17,28,5,0,1,0.333,0.667,1.0,124,11.3%
9,,Justin Robidas,CHI,22,F,38,20,21,41,10,27,1,2,1,0.526,0.553,1.079,125,16.0%
10,,Ben McCartney,TUC,24,F,43,18,23,41,64,5,4,2,2,0.419,0.535,0.953,107,16.8%
11,,John Leonard,GR,27,F,32,26,14,40,6,9,3,3,8,0.813,0.438,1.25,112,23.2%
12,,Logan Morrison,CV,23,F,43,21,19,40,36,14,7,0,2,0.488,0.442,0.93,101,20.8%
13,,Bradly Nadeau,CHI,20,F,32,18,22,40,16,24,5,1,5,0.563,0.688,1.25,107,16.8%
14,,Jagger Firkus,CV,21,F,43,16,24,40,8,11,2,0,2,0.372,0.558,0.93,117,13.7%
15,,Viljami Marjala,BAK,22,F,44,12,28,40,12,3,5,0,1,0.273,0.636,0.909,75,16.0%
16,,Ryan Ufko,MIL,22,D,42,10,30,40,16,-8,5,1,0,0.238,0.714,0.952,91,11.0%
17,,Alex Belzile,LAV,34,F,42,19,20,39,50,19,8,0,3,0.452,0.476,0.929,100,19.0%
18,,Dryden Hunt,CGY,30,F,31,13,26,39,24,5,3,0,1,0.419,0.839,1.258,76,17.1%
19,,Xavier Bourgault,BEL,23,F,45,14,24,38,18,-6,4,2,1,0.311,0.533,0.844,123,11.4%
20,,Conor Geekie,SYR,21,F,38,12,26,38,38,12,4,0,0,0.316,0.684,1.0,116,10.3%
21,,Nikita Alexandrov,TOT,25,F,44,10,28,38,20,-15,3,0,2,0.227,0.636,0.864,93,10.8%
22,,Tanner Laczynski,HSK,28,F,34,13,24,37,15,21,3,0,3,0.382,0.706,1.088,86,15.1%
23,,Philippe Daoust,BEL,24,F,43,11,26,37,20,-4,4,1,1,0.256,0.605,0.86,55,20.0%
24,,Nick Abruzzese,SYR,26,F,40,8,29,37,6,11,1,0,1,0.2,0.725,0.925,57,14.0%
25,,Zac Jones,ROC,25,D,33,6,31,37,8,-1,1,0,2,0.182,0.939,1.121,104,5.8%
26,,Benoit-Olivier Groulx,TOR,25,F,43,20,16,36,26,7,2,1,0,0.465,0.372,0.837,98,20.4%
27,,Martin Frk,CGY,32,F,45,16,20,36,52,8,3,0,0,0.356,0.444,0.8,96,16.7%
28,,Cameron Hebig,TUC,28,F,39,15,21,36,24,7,5,0,1,0.385,0.538,0.923,95,15.8%
29,,Filip Bystedt,SJ,21,F,39,13,23,36,18,3,5,1,4,0.333,0.59,0.923,59,22.0%
30,,Jake Lucchini,MIL,30,F,42,13,23,36,17,-5,2,0,3,0.31,0.548,0.857,102,12.8%
31,,Rory Kerins,CGY,23,F,42,13,23,36,14,-11,1,0,1,0.31,0.548,0.857,87,14.9%
32,,Felix Unger Sörum,CHI,20,F,41,8,28,36,14,4,4,0,1,0.195,0.683,0.878,53,15.1%
33,,Dylan Duke,SYR,22,F,44,21,14,35,26,-7,13,1,4,0.477,0.318,0.795,81,25.9%
34,,Ilya Protas,HER,19,F,43,17,18,35,18,11,6,1,1,0.395,0.419,0.814,88,19.3%
35,,Martin Chromiak,ONT,23,F,44,16,19,35,10,2,6,0,4,0.364,0.432,0.795,94,17.0%
36,,Sean Farrell,LAV,24,F,45,12,23,35,14,3,6,0,2,0.267,0.511,0.778,94,12.8%
37,,Glenn Gawdin,ONT,28,F,45,9,26,35,53,-4,3,0,2,0.2,0.578,0.778,85,10.6%
38,,Riley Tufte,PRO,27,F,35,19,15,34,40,23,2,1,5,0.543,0.429,0.971,93,20.4%
39,,Fabian Lysell,PRO,22,F,38,14,20,34,26,14,0,0,4,0.368,0.526,0.895,69,20.3%
40,,Luca Del Bel Belluz,CLE,22,F,31,12,22,34,2,3,7,0,2,0.387,0.71,1.097,80,15.0%
41,,Brett Seney,RFD,29,F,39,10,24,34,47,8,1,0,1,0.256,0.615,0.872,76,13.2%
42,,Jayson Megna,COL,35,F,42,20,13,33,20,16,6,1,1,0.476,0.31,0.786,82,24.4%
43,,Georgi Merkulov,PRO,25,F,40,14,19,33,32,9,3,0,1,0.35,0.475,0.825,92,15.2%
44,,Matt Luff,SPR,28,F,35,13,20,33,25,-12,4,0,3,0.371,0.571,0.943,87,14.9%
45,,Vinni Lettieri,TOR,30,F,39,10,23,33,28,6,4,0,3,0.256,0.59,0.846,103,9.7%
46,,Andrew Cristall,HER,20,F,43,8,25,33,18,-4,2,0,2,0.186,0.581,0.767,81,9.9%
47,,Tyson Jugnauth,CV,21,D,43,6,27,33,34,4,1,0,2,0.14,0.628,0.767,77,7.8%
48,,Isak Rosén,ROC,22,F,28,20,12,32,4,-1,8,0,2,0.714,0.429,1.143,88,22.7%
49,,Cole Guttman,ONT,26,F,41,15,17,32,36,1,4,0,3,0.366,0.415,0.78,94,16.0%
50,,Rem Pitlick,TOT,28,F,42,14,18,32,24,-17,5,0,0,0.333,0.429,0.762,59,23.7%
