Season,Rk,Unnamed: 1,Name,Team,Age,Pos,GP,G,A,P,PIM,+/-,PPG,SHG,GWG,G/GP,A/GP,P/GP,SOG,SH%
2008-09,1,,Jason Krog,MTB,33,F,74,30,56,86,30,25.0,10,0,6,0.405,0.757,1.162,199.0,15.1%
2008-09,2,,Jason Jaffray,MTB,27,F,56,23,26,49,52,17.0,8,1,5,0.411,0.464,0.875,136.0,16.9%
2008-09,3,,Michael Grabner,MTB,21,F,66,30,18,48,20,22.0,4,0,7,0.455,0.273,0.727,238.0,12.6%
2008-09,4,,Guillaume Desbiens,MTB,23,F,78,21,26,47,158,11.0,6,2,5,0.269,0.333,0.603,134.0,15.7%
2008-09,5,,Michel Ouellet,MTB,26,F,46,13,27,40,30,12.0,5,2,2,0.283,0.587,0.87,118.0,11.0%
2008-09,6,,Mark Cullen,MTB,30,F,56,14,25,39,22,17.0,5,0,4,0.25,0.446,0.696,93.0,15.1%
2008-09,7,,Alexandre Bolduc,MTB,23,F,63,12,21,33,116,3.0,5,1,2,0.19,0.333,0.524,123.0,9.8%
2008-09,8,,Nolan Baumgartner,MTB,32,D,72,11,22,33,50,16.0,3,2,4,0.153,0.306,0.458,109.0,10.1%
2008-09,9,,Mike Keane,MTB,41,F,74,8,20,28,47,10.0,1,0,0,0.108,0.27,0.378,73.0,11.0%
2008-09,10,,Shaun Heshka,MTB,23,D,77,3,23,26,25,17.0,2,0,2,0.039,0.299,0.338,102.0,2.9%
2008-09,11,,Raymond Sawada,MTB,23,F,52,6,15,21,31,12.0,3,0,0,0.115,0.288,0.404,52.0,11.5%
2008-09,12,,Maxime Fortunus,MTB,25,D,58,7,12,19,18,9.0,3,0,0,0.121,0.207,0.328,75.0,9.3%
2008-09,13,,Mario Bliznak,MTB,21,F,64,7,9,16,24,4.0,0,0,1,0.109,0.141,0.25,79.0,8.9%
2008-09,14,,Pierre-Cedric Labrie,MTB,22,F,63,6,9,15,79,-4.0,1,0,1,0.095,0.143,0.238,62.0,9.7%
2008-09,15,,Darryl Bootland,MTB,27,F,14,5,4,9,42,6.0,0,0,1,0.357,0.286,0.643,10.0,50.0%
2008-09,16,,Mark Derlago,MTB,22,F,21,4,5,9,6,-3.0,1,0,2,0.19,0.238,0.429,26.0,15.4%
2008-09,17,,Greg Rallo,MTB,27,F,55,4,5,9,17,-8.0,0,0,0,0.073,0.091,0.164,66.0,6.1%
2008-09,18,,Travis Ramsey,MTB,25,D,36,2,7,9,40,6.0,1,0,0,0.056,0.194,0.25,39.0,5.1%
2008-09,19,,Dusty Collins,MTB,23,F,34,7,1,8,34,6.0,0,0,0,0.206,0.029,0.235,41.0,17.1%
2008-09,20,,Mark Fistric,MTB,22,D,35,0,8,8,26,12.0,0,0,0,0.0,0.229,0.229,42.0,0.0%
2008-09,21,,Zach Fitzgerald,MTB,23,D,56,0,8,8,209,13.0,0,0,0,0.0,0.143,0.143,49.0,0.0%
2008-09,22,,Josh Soares,MTB,26,F,15,1,6,7,10,0.0,0,0,0,0.067,0.4,0.467,26.0,3.9%
2008-09,23,,Jimmy Sharrow,MTB,23,D,17,1,5,6,4,4.0,1,0,0,0.059,0.294,0.353,19.0,5.3%
2008-09,24,,Daniel Rahimi,MTB,21,D,58,1,5,6,49,7.0,0,0,0,0.017,0.086,0.103,34.0,2.9%
2008-09,25,,James Neal,MTB,21,F,5,4,1,5,2,4.0,0,1,1,0.8,0.2,1.0,15.0,26.7%
2008-09,26,,Matt Pope,MTB,24,F,8,2,3,5,6,1.0,1,0,0,0.25,0.375,0.625,20.0,10.0%
2008-09,27,,Dylan Yeo,MTB,22,D,14,1,4,5,10,2.0,1,0,0,0.071,0.286,0.357,24.0,4.2%
2008-09,28,,Tom Maxwell,MTB,23,F,36,1,4,5,72,-3.0,0,0,1,0.028,0.111,0.139,28.0,3.6%
2008-09,29,,Andrew Martens,MTB,27,D,11,0,5,5,6,-1.0,0,0,0,0.0,0.455,0.455,20.0,0.0%
2008-09,30,,Dirk Southern,MTB,25,F,17,3,1,4,12,0.0,0,0,0,0.176,0.059,0.235,15.0,20.0%
2008-09,31,,Derek Nesbitt,MTB,26,F,5,0,4,4,0,2.0,0,0,0,0.0,0.8,0.8,7.0,0.0%
2008-09,32,,Matt Pettinger,MTB,28,F,2,3,0,3,0,-1.0,2,0,0,1.5,0.0,1.5,10.0,30.0%
2008-09,33,,Lawrence Nycholat,MTB,29,D,3,0,3,3,4,-2.0,0,0,0,0.0,1.0,1.0,4.0,0.0%
2008-09,34,,Eric Walsky,MTB,24,F,5,0,2,2,0,0.0,0,0,0,0.0,0.4,0.4,4.0,0.0%
2008-09,35,,Olivier Labelle,MTB,23,F,6,0,2,2,11,0.0,0,0,0,0.0,0.333,0.333,4.0,0.0%
2008-09,36,,Nathan McIver,MTB,23,D,28,0,2,2,59,1.0,0,0,0,0.0,0.071,0.071,15.0,0.0%
2008-09,37,,Taylor Ellington,MTB,20,D,1,1,0,1,0,1.0,0,0,0,1.0,0.0,1.0,2.0,50.0%
2008-09,38,,Jannik Hansen,MTB,22,F,2,1,0,1,2,0.0,0,0,0,0.5,0.0,0.5,3.0,33.3%
2008-09,39,,Dan Gendur,MTB,21,F,10,1,0,1,2,-4.0,0,0,0,0.1,0.0,0.1,12.0,8.3%
2008-09,40,,Jordan Fox,MTB,24,F,5,0,1,1,0,-1.0,0,0,0,0.0,0.2,0.2,3.0,0.0%
2008-09,41,,Curtis Sanford,MTB,29,G,16,0,1,1,0,,0,0,0,0.0,0.063,0.063,,
2008-09,42,,Fabian Brunnström,MTB,23,F,1,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,3.0,0.0%
2008-09,43,,Jonathan Boutin,MTB,23,G,1,0,0,0,0,,0,0,0,0.0,0.0,0.0,,
2008-09,44,,Julien Ellis,MTB,22,G,2,0,0,0,0,,0,0,0,0.0,0.0,0.0,,
2008-09,45,,Travis Ehrhardt,MTB,19,D,3,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,3.0,0.0%
2008-09,46,,Tim Spencer,MTB,22,F,4,0,0,0,2,-2.0,0,0,0,0.0,0.0,0.0,1.0,0.0%
2008-09,47,,Scott Howes,MTB,21,F,5,0,0,0,2,-1.0,0,0,0,0.0,0.0,0.0,2.0,0.0%
2008-09,48,,Chris St. Croix,MTB,29,D,6,0,0,0,2,-4.0,0,0,0,0.0,0.0,0.0,7.0,0.0%
2008-09,49,,Oren Eizenman,MTB,23,F,6,0,0,0,2,-3.0,0,0,0,0.0,0.0,0.0,5.0,0.0%
2008-09,50,,Trevor Ludwig,MTB,23,D,16,0,0,0,18,0.0,0,0,0,0.0,0.0,0.0,15.0,0.0%
2008-09,51,,Karl Goehring,MTB,30,G,26,0,0,0,0,,0,0,0,0.0,0.0,0.0,,
2008-09,52,,Cory Schneider,MTB,22,G,40,0,0,0,4,,0,0,0,0.0,0.0,0.0,,
