Rk,Team,Season Leaders_Regular Season,Season Leaders_Playoffs,Unnamed: 4_level_0_ATT.,Age_AA,Age_WAA,Player Stats_GP,Player Stats_G,Player Stats_A,Player Stats_P,Player Stats_PIM,per Game_G/GP,per Game_A/GP,per Game_A/G,per Game_P/GP,per Game_PIM/GP,Shots_SOG,Shots_S/GP,Shots_SH%,Saves_SV,Saves_SV/GP,Saves_SV%,Power-Play_PPO,Power-Play_PPG,Power-Play_PP%,Penalty-Kill_PKO,Penalty-Kill_PPG-A,Penalty-Kill_PK%
1,Belleville Senators,Regular Season,,2778,25.091,24.818,47,151,252,403,602,3.213,5.362,1.669,8.574,12:49,1220,25.957,12.4%,1318,28.043,0.891,160,35,21.9%,159,29,81.8%
2,Bakersfield Condors,Regular Season,,4755,25.326,25.54,44,152,250,402,682,3.455,5.682,1.645,9.136,15:30,1177,26.75,12.9%,1267,28.795,0.908,149,36,24.2%,181,33,81.8%
3,Wilkes-Barre/Scranton Penguins,Regular Season,,4136,24.725,24.942,46,149,252,401,612,3.239,5.478,1.691,8.717,13:18,1302,28.304,11.4%,1177,25.587,0.915,148,21,14.2%,156,27,82.7%
4,Grand Rapids Griffins,Regular Season,,7697,26.495,26.5,43,148,240,388,466,3.442,5.581,1.622,9.023,10:50,1247,29.0,11.9%,1090,25.349,0.932,129,25,19.4%,116,16,86.2%
5,Ontario Reign,Regular Season,,7307,25.206,24.923,45,148,236,384,515,3.289,5.244,1.595,8.533,11:27,1111,24.689,13.3%,1070,23.778,0.901,161,34,21.1%,138,22,84.1%
6,Syracuse Crunch,Regular Season,,5528,25.661,25.613,44,138,238,376,593,3.136,5.409,1.725,8.545,13:29,1239,28.159,11.1%,987,22.432,0.902,160,35,21.9%,135,26,80.7%
7,Providence Bruins,Regular Season,,6008,25.274,25.381,42,139,236,375,455,3.31,5.619,1.698,8.929,10:50,1244,29.619,11.2%,1119,26.643,0.935,125,29,23.2%,117,18,84.6%
8,Coachella Valley Firebirds,Regular Season,,6748,23.708,23.368,43,143,229,372,612,3.326,5.326,1.601,8.651,14:14,1287,29.93,11.1%,1175,27.326,0.903,126,24,19.0%,147,33,77.6%
9,Tucson Roadrunners,Regular Season,,3665,25.526,25.687,43,133,239,372,479,3.093,5.558,1.797,8.651,11:08,1211,28.163,11.0%,1107,25.744,0.894,136,27,19.9%,145,35,75.9%
10,Laval Rocket,Regular Season,,9738,25.724,25.472,45,140,232,372,664,3.111,5.156,1.657,8.267,14:45,1305,29.0,10.7%,1123,24.956,0.909,161,31,19.3%,179,37,79.3%
11,Toronto Marlies,Regular Season,,5270,25.933,25.941,44,135,234,369,615,3.068,5.318,1.733,8.386,13:59,1161,26.386,11.6%,1137,25.841,0.892,135,23,17.0%,156,31,80.1%
12,Chicago Wolves,Regular Season,,8733,24.383,24.374,41,131,237,368,505,3.195,5.78,1.809,8.976,12:19,1156,28.195,11.3%,1076,26.244,0.903,141,24,17.0%,143,28,80.4%
13,Colorado Eagles,Regular Season,,5089,25.929,26.725,42,135,233,368,503,3.214,5.548,1.726,8.762,11:59,1318,31.381,10.2%,993,23.643,0.916,128,26,20.3%,161,26,83.9%
14,Charlotte Checkers,Regular Season,,6970,25.481,25.069,42,141,225,366,493,3.357,5.357,1.596,8.714,11:44,1272,30.286,11.1%,915,21.786,0.894,133,23,17.3%,158,24,84.8%
15,Rochester Americans,Regular Season,,5540,24.792,24.478,43,134,230,364,468,3.116,5.349,1.716,8.465,10:53,1267,29.465,10.6%,1068,24.837,0.9,161,37,23.0%,145,26,82.1%
16,Bridgeport Islanders,Regular Season,,4290,26.663,26.2,43,132,228,360,461,3.07,5.302,1.727,8.372,10:43,1241,28.86,10.6%,1007,23.419,0.894,151,26,17.2%,130,24,81.5%
17,San Jose Barracuda,Regular Season,,3112,24.514,24.364,41,133,221,354,572,3.244,5.39,1.662,8.634,13:57,1320,32.195,10.1%,982,23.951,0.895,166,41,24.7%,130,28,78.5%
18,San Diego Gulls,Regular Season,,7090,25.049,25.301,44,129,212,341,515,2.932,4.818,1.643,7.75,11:42,1471,33.432,8.8%,1056,24.0,0.899,157,27,17.2%,133,21,84.2%
19,Henderson Silver Knights,Regular Season,,3110,24.516,24.834,41,127,209,336,487,3.098,5.098,1.646,8.195,11:53,1260,30.732,10.1%,957,23.341,0.892,155,31,20.0%,133,30,77.4%
20,Milwaukee Admirals,Regular Season,,5793,25.014,25.865,42,121,211,332,716,2.881,5.024,1.744,7.905,17:03,1172,27.905,10.3%,1117,26.595,0.909,154,42,27.3%,148,25,83.1%
21,Cleveland Monsters,Regular Season,,11410,25.972,25.457,43,123,206,329,529,2.86,4.791,1.675,7.651,12:18,1295,30.116,9.5%,957,22.256,0.886,149,26,17.4%,152,25,83.6%
22,Texas Stars,Regular Season,,6117,24.819,25.292,43,121,208,329,434,2.814,4.837,1.719,7.651,10:06,1114,25.907,10.9%,1134,26.372,0.906,121,18,14.9%,127,28,78.0%
23,Hershey Bears,Regular Season,,9432,25.507,25.6,43,119,209,328,515,2.767,4.86,1.756,7.628,11:59,1122,26.093,10.6%,1140,26.512,0.906,128,22,17.2%,146,26,82.2%
24,Rockford IceHogs,Regular Season,,4483,24.584,24.702,45,121,204,325,756,2.689,4.533,1.686,7.222,16:48,1255,27.889,9.6%,1220,27.111,0.898,165,24,14.5%,168,30,82.1%
25,Calgary Wranglers,Regular Season,,3463,25.072,25.386,45,118,201,319,691,2.622,4.467,1.703,7.089,15:21,1161,25.8,10.2%,1264,28.089,0.895,136,20,14.7%,163,36,77.9%
26,Lehigh Valley Phantoms,Regular Season,,6561,24.597,24.741,43,117,199,316,575,2.721,4.628,1.701,7.349,13:22,1180,27.442,9.9%,1065,24.767,0.898,148,27,18.2%,165,41,75.2%
27,Springfield Thunderbirds,Regular Season,,6310,25.377,25.34,44,113,194,307,454,2.568,4.409,1.717,6.977,10:19,1081,24.568,10.5%,1234,28.045,0.896,154,31,20.1%,124,22,82.3%
28,Hartford Wolf Pack,Regular Season,,5264,25.311,25.444,43,113,178,291,560,2.628,4.14,1.575,6.767,13:01,1209,28.116,9.4%,1055,24.535,0.884,132,22,16.7%,145,28,80.7%
29,Manitoba Moose,Regular Season,,3646,25.026,25.289,40,103,180,283,496,2.575,4.5,1.748,7.075,12:24,1235,30.875,8.3%,1006,25.15,0.907,126,17,13.5%,140,23,83.6%
30,Abbotsford Canucks,Regular Season,,3753,24.877,25.204,46,97,166,263,612,2.109,3.609,1.711,5.717,13:18,1212,26.348,8.0%,1205,26.196,0.893,160,35,21.9%,132,33,75.0%
