GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON
Shot Chart Detail,0022400009,7,1630169,Tyrese Haliburton,1610612754,Indiana Pacers,1,11,31,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,228,154,1,0,20241115,IND,MIA,2024-25
Shot Chart Detail,0022400009,11,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,1,10,58,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,83,242,1,0,20241115,IND,MIA,2024-25
Shot Chart Detail,0022400009,15,1630169,Tyrese Haliburton,1610612754,Indiana Pacers,1,10,34,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,62,264,1,0,20241115,IND,MIA,2024-25
Shot Chart Detail,0022400009,19,1630169,Tyrese Haliburton,1610612754,Indiana Pacers,1,9,55,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-76,179,1,0,20241115,IND,MIA,2024-25
Shot Chart Detail,0022400009,23,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,1,9,34,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,7,21,1,1,20241115,IND,MIA,2024-25
Shot Chart Detail,0022400009,26,1626167,Myles Turner,1610612754,Indiana Pacers,1,9,10,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,-29,121,1,0,20241115,IND,MIA,2024-25
Shot Chart Detail,0022400009,31,1641767,Ben Sheppard,1610612754,Indiana Pacers,1,8,42,Made Shot,Jump Bank Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-130,243,1,1,20241115,IND,MIA,2024-25
Shot Chart Detail,0022400009,35,1630169,Tyrese Haliburton,1610612754,Indiana Pacers,1,8,33,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,28,-190,217,1,1,20241115,IND,MIA,2024-25
Shot Chart Detail,0022400009,47,1627783,Pascal Siakam,1610612754,Indiana Pacers,1,7,30,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,228,131,1,0,20241115,IND,MIA,2024-25
Shot Chart Detail,0022400009,49,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,1,7,25,Missed Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-22,18,1,0,20241115,IND,MIA,2024-25
Shot Chart Detail,0022400009,51,1627783,Pascal Siakam,1610612754,Indiana Pacers,1,7,22,Missed Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,13,25,1,0,20241115,IND,MIA,2024-25
Shot Chart Detail,0022400009,55,1630169,Tyrese Haliburton,1610612754,Indiana Pacers,1,7,3,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,44,101,1,0,20241115,IND,MIA,2024-25
Shot Chart Detail,0022400009,73,1630169,Tyrese Haliburton,1610612754,Indiana Pacers,1,6,14,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20,115,174,1,1,20241115,IND,MIA,2024-25
Shot Chart Detail,0022400009,84,1641716,Jarace Walker,1610612754,Indiana Pacers,1,5,50,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,234,5,1,1,20241115,IND,MIA,2024-25
Shot Chart Detail,0022400009,90,1630167,Obi Toppin,1610612754,Indiana Pacers,1,5,9,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-60,36,1,1,20241115,IND,MIA,2024-25
Shot Chart Detail,0022400009,93,1630169,Tyrese Haliburton,1610612754,Indiana Pacers,1,4,40,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,50,247,1,1,20241115,IND,MIA,2024-25
Shot Chart Detail,0022400009,102,204456,T.J. McConnell,1610612754,Indiana Pacers,1,4,10,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-17,33,1,0,20241115,IND,MIA,2024-25
Shot Chart Detail,0022400009,108,204456,T.J. McConnell,1610612754,Indiana Pacers,1,3,55,Made Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,33,43,1,1,20241115,IND,MIA,2024-25
Shot Chart Detail,0022400009,110,1641716,Jarace Walker,1610612754,Indiana Pacers,1,3,33,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-2,48,1,0,20241115,IND,MIA,2024-25
Shot Chart Detail,0022400009,113,1630167,Obi Toppin,1610612754,Indiana Pacers,1,3,8,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,140,225,1,0,20241115,IND,MIA,2024-25
Shot Chart Detail,0022400009,126,204456,T.J. McConnell,1610612754,Indiana Pacers,1,2,32,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,11,12,1,1,20241115,IND,MIA,2024-25
Shot Chart Detail,0022400009,142,1641767,Ben Sheppard,1610612754,Indiana Pacers,1,1,46,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-107,242,1,0,20241115,IND,MIA,2024-25
Shot Chart Detail,0022400009,146,1626167,Myles Turner,1610612754,Indiana Pacers,1,1,27,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,0,1,1,20241115,IND,MIA,2024-25
Shot Chart Detail,0022400009,149,1627783,Pascal Siakam,1610612754,Indiana Pacers,1,0,54,Missed Shot,Turnaround Bank shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,11,39,1,0,20241115,IND,MIA,2024-25
Shot Chart Detail,0022400009,159,1626167,Myles Turner,1610612754,Indiana Pacers,1,0,6,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,227,28,1,1,20241115,IND,MIA,2024-25
Shot Chart Detail,0022400009,173,204456,T.J. McConnell,1610612754,Indiana Pacers,2,10,45,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,31,18,1,1,20241115,IND,MIA,2024-25
Shot Chart Detail,0022400009,191,1627783,Pascal Siakam,1610612754,Indiana Pacers,2,9,28,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,14,7,146,1,1,20241115,IND,MIA,2024-25
Shot Chart Detail,0022400009,193,204456,T.J. McConnell,1610612754,Indiana Pacers,2,8,48,Missed Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,17,18,1,0,20241115,IND,MIA,2024-25
Shot Chart Detail,0022400009,196,1627783,Pascal Siakam,1610612754,Indiana Pacers,2,8,26,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,17,29,1,1,20241115,IND,MIA,2024-25
Shot Chart Detail,0022400009,207,1627783,Pascal Siakam,1610612754,Indiana Pacers,2,7,56,Missed Shot,Turnaround Hook Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,9,98,16,1,0,20241115,IND,MIA,2024-25
Shot Chart Detail,0022400009,221,1630169,Tyrese Haliburton,1610612754,Indiana Pacers,2,7,20,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-138,236,1,1,20241115,IND,MIA,2024-25
Shot Chart Detail,0022400009,225,1630167,Obi Toppin,1610612754,Indiana Pacers,2,6,54,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-21,41,1,1,20241115,IND,MIA,2024-25
Shot Chart Detail,0022400009,244,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,2,6,2,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,40,253,1,0,20241115,IND,MIA,2024-25
