Name,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3
Russell Westbrook,PG,67,34.4,28.1,9.4,22.0,42.6,1.3,4.3,29.9,8.1,9.8,83.5,7.3,8.6,2.1,0.2,4.4,31,11
James Harden,SG,81,36.8,27.4,8.0,18.1,44.0,2.6,6.9,37.5,8.8,10.2,86.8,5.7,7.0,1.9,0.7,4.0,21,4
Kevin Durant,PF,27,33.8,25.4,8.8,17.3,51.0,2.4,5.9,40.3,5.4,6.3,85.4,6.6,4.1,0.9,0.9,2.7,5,0
LeBron James,SF,69,36.1,25.3,9.0,18.5,48.8,1.7,4.9,35.4,5.4,7.7,71.0,6.0,7.4,1.6,0.7,3.9,22,2
Anthony Davis,PF,68,36.1,24.4,9.4,17.6,53.5,0.0,0.2,8.3,5.5,6.8,80.5,10.2,2.2,1.5,2.9,1.4,42,0
Carmelo Anthony,PF,40,35.7,24.2,9.0,20.2,44.4,1.5,4.5,34.1,4.7,5.9,79.7,6.6,3.1,1.0,0.4,2.2,5,0
DeMarcus Cousins,C,59,34.1,24.1,8.4,18.1,46.7,0.0,0.1,25.0,7.2,9.2,78.2,12.7,3.6,1.5,1.7,4.3,47,2
Stephen Curry,PG,80,32.7,23.8,8.2,16.8,48.7,3.6,8.1,44.3,3.9,4.2,91.4,4.3,7.7,2.0,0.2,3.1,23,0
LaMarcus Aldridge,C,71,35.4,23.4,9.3,19.9,46.6,0.5,1.5,35.2,4.3,5.1,84.5,10.2,1.7,0.7,1.0,1.7,39,0
Kobe Bryant,SF,35,34.5,22.3,7.6,20.4,37.3,1.5,5.3,29.3,5.6,6.9,81.3,5.7,5.6,1.3,0.2,3.7,4,2
Blake Griffin,PF,67,35.2,21.9,8.6,17.1,50.2,0.1,0.4,40.0,4.6,6.4,72.8,7.6,5.3,0.9,0.5,2.3,18,0
Kyrie Irving,PG,75,36.4,21.7,7.7,16.5,46.8,2.1,5.0,41.5,4.2,4.9,86.3,3.2,5.2,1.5,0.3,2.5,6,0
Klay Thompson,SG,77,31.9,21.7,7.8,16.9,46.3,3.1,7.1,43.9,2.9,3.3,87.9,3.2,2.9,1.1,0.8,1.9,1,0
Dwyane Wade,G,62,31.8,21.5,8.2,17.5,47.0,0.5,1.6,28.4,4.6,6.0,76.8,3.5,4.8,1.2,0.3,3.4,3,0
Chris Bosh,PF,44,35.4,21.1,7.8,16.9,46.0,1.4,3.8,37.5,4.1,5.3,77.2,7.0,2.2,0.9,0.6,2.2,7,0
Rudy Gay,SF,68,35.4,21.1,7.5,16.4,45.5,1.2,3.2,35.9,5.0,5.8,85.8,5.9,3.7,1.0,0.6,2.7,2,0
Damian Lillard,PG,82,35.7,21.0,7.2,16.6,43.4,2.4,7.0,34.3,4.2,4.9,86.4,4.6,6.2,1.2,0.3,2.7,6,0
DeMar DeRozan,SF,60,35.0,20.1,6.8,16.5,41.3,0.4,1.5,28.4,6.0,7.2,83.2,4.6,3.5,1.2,0.2,2.3,4,0
Jimmy Butler III,SF,65,38.7,20.0,6.5,14.0,46.2,1.1,3.0,37.8,5.9,7.1,83.4,5.8,3.3,1.8,0.6,1.4,4,0
Kevin Martin,SG,39,33.4,20.0,6.8,16.0,42.7,1.9,4.9,39.3,4.4,4.9,88.1,3.6,2.3,0.8,0.0,1.9,0,0
Nikola Vucevic,C,74,34.2,19.3,8.5,16.3,52.3,0.0,0.1,33.3,2.2,2.9,75.2,10.9,2.0,0.7,0.7,2.0,45,0
Gordon Hayward,SF,76,34.4,19.3,6.4,14.3,44.5,1.6,4.3,36.4,4.9,6.1,81.2,4.9,4.1,1.4,0.4,2.7,2,0
Chris Paul,PG,82,34.8,19.1,6.9,14.3,48.5,1.7,4.3,39.8,3.5,3.9,90.0,4.6,10.2,1.9,0.2,2.3,40,1
Monta Ellis,SG,80,33.7,18.9,7.5,16.9,44.5,1.0,3.6,28.5,2.9,3.8,75.2,2.4,4.1,1.9,0.3,2.5,3,0
Pau Gasol,PF,78,34.4,18.5,7.3,14.8,49.4,0.2,0.3,46.2,3.8,4.7,80.3,11.8,2.7,0.3,1.9,2.0,54,0
Victor Oladipo,SG,72,35.7,17.9,6.6,15.1,43.6,1.2,3.4,33.9,3.6,4.4,81.9,4.2,4.1,1.7,0.3,2.8,3,0
Kyle Lowry,PG,70,34.5,17.8,6.1,14.9,41.2,1.9,5.6,33.8,3.6,4.5,80.8,4.7,6.8,1.6,0.2,2.5,13,2
Derrick Rose,PG,51,30.0,17.7,6.6,16.4,40.5,1.5,5.3,28.0,3.0,3.7,81.3,3.2,4.9,0.7,0.3,3.2,4,0
John Wall,PG,79,35.9,17.6,6.6,14.8,44.5,0.8,2.7,30.0,3.6,4.6,78.5,4.6,10.0,1.7,0.6,3.8,40,0
Marc Gasol,C,81,33.2,17.4,6.5,13.2,49.4,0.0,0.2,17.6,4.3,5.4,79.5,7.8,3.8,0.9,1.6,2.2,20,0
Kemba Walker,PG,62,34.2,17.3,6.1,15.8,38.5,1.4,4.5,30.4,3.8,4.6,82.7,3.5,5.1,1.4,0.5,1.6,4,0
Dirk Nowitzki,F,77,29.6,17.3,6.3,13.8,45.9,1.4,3.6,38.0,3.3,3.8,88.2,5.9,1.9,0.5,0.4,1.1,6,0
Brook Lopez,C,72,29.2,17.2,7.0,13.7,51.3,0.0,0.1,10.0,3.1,3.8,81.4,7.4,0.7,0.6,1.8,1.4,17,0
Tobias Harris,F,68,34.8,17.1,6.5,14.0,46.6,1.3,3.5,36.4,2.8,3.6,78.8,6.3,1.8,1.0,0.5,1.7,11,0
Eric Bledsoe,SG,81,34.6,17.0,5.8,12.9,44.7,1.1,3.4,32.4,4.4,5.4,80.0,5.2,6.1,1.6,0.6,3.4,13,2
Brandon Knight,PG,63,32.3,17.0,6.0,14.1,42.2,2.0,5.1,38.9,3.1,3.5,87.4,3.9,5.2,1.4,0.2,3.0,2,0
Andrew Wiggins,SF,82,36.2,16.9,6.1,13.9,43.7,0.5,1.5,31.0,4.3,5.7,76.0,4.6,2.1,1.0,0.6,2.2,2,0
Tony Wroten,SG,30,29.8,16.9,5.8,14.5,40.3,1.2,4.7,26.1,4.0,6.0,66.7,2.9,5.2,1.6,0.3,3.8,2,0
Paul Millsap,PF,73,32.7,16.7,6.1,12.7,47.6,1.1,3.0,35.6,3.5,4.6,75.7,7.8,3.1,1.8,0.9,2.3,15,0
Al Jefferson,C,65,30.6,16.6,7.5,15.5,48.1,0.0,0.1,40.0,1.7,2.5,65.5,8.4,1.7,0.7,1.3,1.0,22,0
Tyreke Evans,G,79,34.1,16.6,6.6,14.7,44.7,0.9,2.9,30.4,2.6,3.7,69.4,5.3,6.6,1.3,0.5,3.1,18,1
Kawhi Leonard,SF,64,31.8,16.5,6.2,12.8,47.9,1.0,3.0,34.9,3.2,3.9,80.2,7.2,2.5,2.3,0.8,1.5,14,0
Isaiah Thomas,G,67,25.8,16.4,5.0,11.9,42.1,1.9,5.2,37.3,4.5,5.2,86.8,2.3,4.2,0.9,0.1,2.1,0,0
