Player,Age,Tm,Pos,Season,Lg,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Christian Koloko,22.0,TOR,C,Career,NBA,58.0,19.0,13.8,1.2,2.6,0.48,0.0,0.2,0.083,1.2,2.4,0.514,0.483,0.6,1.0,0.627,1.4,1.5,2.9,0.5,0.4,1.0,0.3,2.2,3.1
Chris Boucher,30.0,TOR,PF,Career,NBA,307.0,23.0,18.4,3.2,6.7,0.486,0.9,2.6,0.334,2.4,4.0,0.586,0.552,1.7,2.2,0.78,1.9,3.5,5.4,0.5,0.5,1.1,0.5,2.0,9.1
Dalano Banton,23.0,TOR,PG,Career,NBA,95.0,3.0,10.3,1.5,3.5,0.416,0.3,1.1,0.275,1.2,2.4,0.478,0.458,0.5,0.7,0.632,0.5,1.3,1.8,1.4,0.4,0.2,0.7,1.1,3.7
Fred VanVleet,28.0,TOR,PG,Career,NBA,417.0,268.0,29.7,4.9,12.2,0.402,2.4,6.4,0.373,2.5,5.8,0.434,0.5,2.4,2.7,0.869,0.4,2.9,3.3,5.3,1.3,0.4,1.7,2.1,14.6
Gary Trent Jr.,24.0,TOR,SG,Career,NBA,270.0,160.0,28.9,5.1,12.2,0.421,2.4,6.3,0.384,2.7,5.9,0.461,0.52,1.7,2.1,0.827,0.4,1.9,2.3,1.5,1.2,0.2,0.7,1.6,14.4
Jakob Poeltl,27.0,TOR,C,Career,NBA,488.0,235.0,21.1,3.6,5.7,0.628,0.0,0.0,0.5,3.6,5.7,0.628,0.628,0.9,1.7,0.536,2.6,3.9,6.5,1.6,0.6,1.3,1.1,2.4,8.1
Jeff Dowtin,25.0,TOR,PG,Career,NBA,34.0,0.0,10.8,1.0,2.4,0.398,0.2,0.7,0.24,0.8,1.7,0.466,0.434,0.2,0.3,0.727,0.4,0.8,1.2,1.2,0.4,0.1,0.3,0.5,2.4
Joe Wieskamp,23.0,TOR,SF,Career,NBA,38.0,0.0,6.7,0.6,1.8,0.329,0.4,1.4,0.309,0.2,0.4,0.4,0.45,0.2,0.3,0.538,0.1,0.4,0.5,0.3,0.1,0.1,0.1,0.4,1.8
Malachi Flynn,24.0,TOR,PG,Career,NBA,144.0,21.0,15.0,2.0,5.3,0.374,0.9,2.7,0.335,1.1,2.6,0.414,0.459,0.6,0.8,0.752,0.2,1.5,1.8,1.9,0.5,0.1,0.6,1.2,5.5
OG Anunoby,25.0,TOR,SF,Career,NBA,368.0,294.0,28.4,4.4,9.3,0.471,1.6,4.3,0.375,2.8,5.0,0.553,0.558,1.2,1.7,0.744,1.1,3.2,4.3,1.5,1.2,0.5,1.3,2.4,11.6
Otto Porter Jr.,29.0,TOR,SF,Career,NBA,512.0,318.0,25.8,4.1,8.5,0.478,1.3,3.3,0.397,2.7,5.2,0.529,0.555,1.1,1.4,0.797,1.2,3.9,5.0,1.5,1.1,0.4,0.8,1.8,10.5
Pascal Siakam,28.0,TOR,PF,Career,NBA,471.0,377.0,30.6,6.5,13.2,0.487,1.0,3.1,0.327,5.4,10.1,0.537,0.526,3.1,4.0,0.774,1.5,5.1,6.5,3.5,0.9,0.7,1.9,2.8,17.0
Precious Achiuwa,23.0,TOR,C,Career,NBA,189.0,44.0,19.1,3.1,6.5,0.474,0.4,1.4,0.321,2.6,5.1,0.515,0.508,1.2,1.9,0.605,1.7,3.7,5.3,0.9,0.5,0.5,1.0,1.8,7.8
Ron Harper Jr.,22.0,TOR,PF,Career,NBA,9.0,0.0,5.3,0.9,1.8,0.5,0.3,1.0,0.333,0.6,0.8,0.714,0.594,0.1,0.1,1.0,0.3,0.4,0.8,0.4,0.0,0.1,0.0,0.3,2.2
Scottie Barnes,21.0,TOR,SF,Career,NBA,151.0,150.0,35.1,6.1,12.9,0.473,0.8,2.8,0.29,5.3,10.1,0.523,0.504,2.3,3.1,0.755,2.5,4.6,7.1,4.2,1.1,0.8,1.9,2.4,15.3
Thaddeus Young,34.0,TOR,PF,Career,NBA,1139.0,720.0,28.6,5.3,10.6,0.503,0.5,1.4,0.328,4.9,9.2,0.529,0.524,1.2,1.9,0.663,2.0,3.7,5.7,1.8,1.4,0.4,1.4,2.1,12.4
Will Barton,32.0,TOR,SG,Career,NBA,679.0,286.0,25.2,4.2,9.7,0.43,1.3,3.7,0.355,2.8,6.0,0.477,0.498,1.6,2.0,0.787,0.7,3.4,4.1,2.7,0.7,0.4,1.4,1.5,11.2
