Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,Traded,Position
Trae Young,76,76.0,36.0,24.2,0.5,2.6,3.1,11.6,1.2,0.2,4.7,1.9,2.5,7.4,18.1,41.1,2.9,8.4,34.0,6.5,7.4,87.5,4.6,9.7,47.4,1.338,0.49,False,G
De'Andre Hunter,37,4.0,28.8,19.0,0.7,3.2,3.9,1.5,0.8,0.1,1.6,2.4,1.0,6.1,13.3,46.1,2.6,6.7,39.3,4.1,4.8,85.8,3.5,6.6,53.1,1.427,0.56,True,F
Jalen Johnson,36,36.0,35.7,18.9,1.7,8.3,10.0,5.0,1.6,1.0,2.9,1.9,1.7,7.5,15.1,50.0,1.2,3.9,31.2,2.6,3.5,74.6,6.3,11.1,56.6,1.255,0.54,False,F
Jacob Toppin,1,0.0,27.0,17.0,1.0,3.0,4.0,2.0,0.0,0.0,1.0,0.0,2.0,6.0,12.0,50.0,5.0,8.0,62.5,0.0,0.0,0.0,1.0,4.0,25.0,1.417,0.71,True,F
Caris LeVert,26,0.0,26.6,14.9,0.7,3.0,3.7,2.9,0.9,0.5,1.0,2.0,3.0,5.6,11.6,48.2,1.8,5.2,33.8,2.0,2.8,72.2,3.8,6.3,60.0,1.289,0.56,True,G
Dyson Daniels,76,76.0,33.8,14.1,1.6,4.3,5.9,4.4,3.0,0.7,2.0,2.3,2.1,6.0,12.1,49.3,1.1,3.1,34.0,1.1,1.8,59.3,4.9,9.1,54.5,1.163,0.54,False,G
Onyeka Okongwu,74,40.0,27.9,13.4,3.0,5.9,8.9,2.3,0.9,0.9,1.2,2.6,1.9,5.2,9.2,56.7,0.6,2.0,32.4,2.2,2.9,75.9,4.6,7.2,63.4,1.444,0.6,False,F
Zaccharie Risacher,75,73.0,24.6,12.6,1.1,2.4,3.6,1.2,0.7,0.5,1.2,2.0,1.0,4.8,10.4,45.8,1.6,4.6,35.5,1.4,2.0,71.1,3.1,5.8,54.0,1.209,0.54,False,F
Georges Niang,28,2.0,23.0,12.1,0.5,2.5,3.0,1.6,0.4,0.3,1.2,2.6,1.3,4.3,9.7,44.1,2.7,6.6,41.3,0.8,1.0,79.3,1.6,3.1,50.0,1.246,0.58,True,F
Bogdan Bogdanovic,24,0.0,24.9,10.0,0.5,2.3,2.8,2.0,0.8,0.3,1.5,2.4,1.3,3.5,9.3,37.1,1.8,6.1,30.1,1.3,1.4,88.2,1.6,3.3,50.0,1.071,0.47,True,G
Terance Mann,30,1.0,22.7,9.8,1.2,1.9,3.1,2.1,0.6,0.1,0.7,2.0,2.8,3.9,7.3,54.1,1.1,2.9,38.6,0.8,1.2,66.7,2.8,4.3,64.6,1.349,0.62,True,G
Clint Capela,55,41.0,21.4,8.9,3.2,5.4,8.5,1.1,0.6,1.0,0.9,1.9,1.3,4.0,7.1,55.9,0.0,0.0,0.0,0.9,1.8,53.6,4.0,7.1,56.0,1.251,0.56,False,C
Larry Nance Jr.,24,3.0,19.3,8.5,1.0,3.3,4.3,1.6,0.8,0.5,0.7,1.5,2.4,3.3,6.5,51.6,1.4,3.2,44.7,0.4,0.5,69.2,1.9,3.3,58.2,1.31,0.63,False,F
Garrison Mathews,47,2.0,17.7,7.5,0.3,1.6,1.9,1.3,0.6,0.3,0.7,1.7,1.9,2.2,5.5,39.7,1.8,4.6,39.0,1.4,1.7,82.1,0.4,0.8,43.6,1.374,0.56,False,G
Vit Krejci,57,16.0,20.2,7.2,0.4,2.4,2.7,2.6,0.6,0.5,0.9,1.8,2.9,2.5,5.1,49.7,1.6,3.6,43.7,0.6,0.8,71.1,1.0,1.5,64.0,1.411,0.65,False,G
Daeqwon Plowden,6,0.0,12.0,7.2,0.7,1.2,1.8,0.3,0.0,0.0,0.7,1.7,0.5,2.7,4.2,64.0,1.5,2.8,52.9,0.3,0.3,100.0,1.2,1.3,87.5,1.72,0.82,False,G
Mouhamed Gueye,33,28.0,16.2,6.0,1.3,2.9,4.2,0.8,0.8,1.0,0.5,1.7,1.8,2.2,5.2,42.1,0.6,2.5,25.9,1.0,1.3,76.2,1.5,2.7,56.7,1.152,0.48,False,F
Keaton Wallace,31,5.0,16.2,5.4,0.2,1.4,1.6,2.6,0.9,0.3,1.1,1.3,2.5,2.1,5.2,40.1,0.9,2.6,32.9,0.4,0.4,100.0,1.2,2.6,47.5,1.037,0.48,False,G
Kobe Bufkin,10,0.0,12.4,5.3,0.5,1.6,2.1,1.7,0.3,0.2,0.8,0.9,2.1,1.8,4.7,38.3,0.4,1.9,21.1,1.3,1.8,72.2,1.4,2.8,50.0,1.128,0.43,False,G
David Roddy,27,3.0,12.8,4.5,0.4,2.2,2.6,1.1,0.4,0.3,0.7,0.7,1.5,1.6,3.4,47.3,0.6,1.6,37.2,0.7,0.8,81.8,1.0,1.9,56.0,1.312,0.56,True,F
Dominick Barlow,35,4.0,10.7,4.2,1.0,1.4,2.4,0.5,0.3,0.5,0.1,1.3,3.8,1.7,3.2,53.1,0.2,0.8,25.9,0.6,0.9,63.6,1.5,2.5,61.6,1.31,0.56,False,F
Total,82,,,118.2,11.9,32.6,44.5,29.6,9.7,5.1,14.7,19.1,2.0,43.4,91.8,47.2,13.5,37.7,35.8,18.0,23.2,77.5,29.9,54.1,55.2,1.287,0.55,False,Total
