Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF
Cam Thomas G,25,23.0,31.2,24.0,0.6,2.7,3.3,3.8,0.6,0.1,2.5,1.8,1.5,8.0,18.2,43.8,2.7,7.8,34.9,5.3,6.0,88.1,5.2,10.4,50.6,1.319,0.51
Cameron Johnson F,57,57.0,31.6,18.8,0.9,3.4,4.3,3.4,0.9,0.4,1.7,1.8,2.0,6.2,13.1,47.5,2.8,7.2,39.0,3.5,3.9,89.3,3.4,5.9,57.8,1.432,0.58
Dennis Schroder G *,23,23.0,33.6,18.4,0.2,2.8,3.0,6.6,1.1,0.2,2.6,2.4,2.6,6.4,14.1,45.2,2.5,6.5,38.7,3.1,3.5,88.9,3.9,7.6,50.9,1.305,0.54
D'Angelo Russell G *,29,26.0,24.7,12.9,0.4,2.4,2.8,5.6,1.1,0.7,2.0,2.1,2.8,4.1,11.3,36.7,2.0,6.6,29.7,2.6,3.2,82.6,2.2,4.7,46.7,1.141,0.45
Drew Timme F,9,2.0,28.2,12.1,1.9,5.3,7.2,2.2,0.4,0.1,1.7,2.3,1.3,5.0,11.3,44.1,1.0,3.9,25.7,1.1,1.8,62.5,4.0,7.4,53.7,1.069,0.49
Keon Johnson G,79,56.0,24.4,10.6,0.8,3.0,3.8,2.2,1.0,0.4,1.5,2.6,1.5,3.8,9.9,38.9,1.6,5.1,31.4,1.4,1.8,77.0,2.2,4.8,46.8,1.077,0.47
Dorian Finney-Smith F *,20,20.0,29.0,10.4,1.6,3.0,4.6,1.6,0.9,0.6,0.9,2.7,1.7,3.7,8.0,45.9,2.4,5.4,43.5,0.8,1.2,62.5,1.3,2.6,51.0,1.308,0.61
Nic Claxton C,70,62.0,26.9,10.3,2.2,5.1,7.4,2.2,0.9,1.4,1.2,2.1,1.8,4.6,8.1,56.3,0.1,0.3,23.8,1.1,2.2,51.3,4.5,7.8,57.6,1.275,0.57
Trendon Watford F,44,6.0,20.8,10.2,0.8,2.8,3.6,2.6,0.6,0.3,1.9,2.2,1.4,3.7,8.0,46.9,0.7,2.0,33.0,2.1,2.8,76.2,3.1,6.0,51.5,1.286,0.51
Ziaire Williams F,63,45.0,24.5,10.0,1.0,3.6,4.6,1.3,1.0,0.4,1.1,2.4,1.3,3.4,8.3,41.2,1.6,4.8,34.1,1.6,2.0,82.1,1.8,3.5,50.9,1.215,0.51
