Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,Traded,Position
Jayson Tatum,72,72.0,36.4,26.8,0.7,8.0,8.7,6.0,1.1,0.5,2.9,2.2,2.1,9.2,20.3,45.2,3.5,10.1,34.3,5.0,6.1,81.4,5.7,10.2,55.9,1.319,0.54,False,F
Jaylen Brown,63,63.0,34.3,22.2,1.3,4.5,5.8,4.5,1.2,0.3,2.6,2.4,1.8,8.2,17.7,46.3,1.8,5.7,32.4,3.9,5.1,76.4,6.4,12.1,52.9,1.25,0.52,False,G
Kristaps Porzingis,42,42.0,28.8,19.5,1.6,5.1,6.8,2.1,0.7,1.5,1.3,2.8,1.6,6.6,13.7,48.3,2.5,6.0,41.2,3.8,4.7,80.9,4.1,7.7,53.7,1.425,0.57,False,C
Derrick White,76,76.0,33.9,16.4,0.9,3.6,4.5,4.8,0.9,1.1,1.7,1.8,2.8,5.6,12.6,44.2,3.5,9.1,38.3,1.8,2.1,83.9,2.1,3.5,59.3,1.301,0.58,False,G
Payton Pritchard,80,3.0,28.4,14.3,1.3,2.6,3.8,3.5,0.9,0.2,1.0,1.5,3.4,5.1,10.8,47.2,3.2,7.8,40.7,0.9,1.1,84.5,1.9,3.0,64.2,1.321,0.62,False,G
Jrue Holiday,62,62.0,30.6,11.1,1.2,3.0,4.3,3.9,1.1,0.4,1.2,1.6,3.1,4.1,9.2,44.3,1.7,4.9,35.3,1.1,1.2,90.9,2.4,4.3,54.7,1.197,0.54,False,G
Al Horford,60,42.0,27.7,9.0,1.3,4.8,6.2,2.1,0.6,0.9,0.8,1.4,2.8,3.3,7.7,42.3,1.9,5.2,36.3,0.6,0.6,89.5,1.4,2.5,55.1,1.167,0.55,False,C
Sam Hauser,71,19.0,21.7,8.5,0.6,2.5,3.2,0.9,0.6,0.2,0.3,1.2,2.8,3.0,6.7,45.1,2.3,5.6,41.6,0.2,0.2,100.0,0.7,1.1,64.0,1.276,0.63,False,F
Luke Kornet,73,16.0,18.6,6.0,2.6,2.7,5.3,1.6,0.5,1.0,0.4,1.6,3.8,2.6,3.8,66.8,0.0,0.0,0.0,0.9,1.3,69.1,2.6,3.8,67.5,1.575,0.67,False,C
Neemias Queta,62,6.0,13.9,5.0,1.4,2.4,3.8,0.7,0.3,0.7,0.6,1.7,1.1,2.1,3.3,65.0,0.0,0.0,0.0,0.7,1.0,75.4,2.1,3.2,66.0,1.527,0.65,False,C
Baylor Scheierman,31,2.0,12.4,3.6,0.6,1.5,2.1,1.1,0.5,0.1,0.4,0.7,2.8,1.3,3.5,35.5,0.8,2.6,31.7,0.3,0.4,75.0,0.4,0.9,46.4,1.027,0.47,False,G
Torrey Craig,17,3.0,11.8,2.7,1.1,1.7,2.8,0.7,0.4,0.6,0.5,1.1,1.5,0.9,2.6,35.6,0.5,1.8,29.0,0.3,0.5,62.5,0.4,0.8,50.0,1.022,0.46,True,SF
Miles Norris,3,0.0,11.7,2.3,0.7,2.3,3.0,0.0,0.7,0.3,0.0,0.0,0.0,0.7,3.0,22.2,0.7,2.3,28.6,0.3,0.7,50.0,0.0,0.7,0.0,0.778,0.33,False,F
Drew Peterson,25,1.0,7.4,2.2,0.4,1.2,1.6,0.5,0.2,0.1,0.3,0.7,1.6,0.7,1.6,41.5,0.5,1.3,39.4,0.3,0.4,77.8,0.2,0.3,50.0,1.317,0.57,False,F
JD Davison,16,0.0,5.8,2.1,0.1,0.7,0.8,0.8,0.3,0.1,0.8,0.1,1.0,0.8,2.1,35.3,0.3,1.1,22.2,0.3,0.4,71.4,0.5,1.0,50.0,0.971,0.41,False,G
Jaden Springer,26,0.0,5.4,1.7,0.2,0.8,0.9,0.4,0.5,0.0,0.2,0.7,2.5,0.5,1.3,35.3,0.2,0.7,31.6,0.6,0.8,71.4,0.2,0.6,40.0,1.324,0.44,True,G
Jordan Walsh,52,1.0,7.8,1.6,0.4,0.9,1.3,0.4,0.2,0.2,0.3,0.6,1.1,0.6,1.6,36.1,0.3,1.1,27.3,0.1,0.2,58.3,0.3,0.5,53.6,0.988,0.45,False,G
Xavier Tillman,33,2.0,7.0,1.0,0.3,1.0,1.3,0.2,0.3,0.2,0.4,0.5,0.5,0.4,1.6,24.5,0.2,1.0,15.6,0.1,0.1,75.0,0.2,0.6,38.1,0.642,0.29,False,F
Total,82,,,116.3,11.4,33.9,45.3,26.1,7.2,5.5,11.4,15.9,2.3,41.6,90.0,46.2,17.8,48.2,36.8,15.3,19.1,79.9,23.9,41.8,57.1,1.292,0.56,False,Total
