Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF
LaMelo Ball G,47,47.0,32.0,25.2,1.0,3.9,4.9,7.4,1.1,0.3,3.6,3.3,2.1,8.6,21.3,40.5,3.8,11.2,33.9,4.1,4.9,84.3,4.8,10.1,47.8,1.18,0.49
Brandon Miller F,27,27.0,34.2,21.0,0.9,3.9,4.9,3.6,1.1,0.7,2.8,2.7,1.3,7.3,18.2,40.3,3.9,10.9,35.5,2.5,2.9,86.1,3.5,7.3,47.5,1.157,0.51
Miles Bridges F,64,64.0,31.7,20.3,1.1,6.4,7.5,3.9,0.7,0.7,2.1,1.5,1.8,7.3,17.0,43.1,2.2,7.0,31.3,3.5,4.0,87.0,5.1,10.0,51.3,1.194,0.5
Mark Williams C,44,41.0,26.6,15.3,3.0,7.2,10.2,2.5,0.7,1.2,1.6,2.4,1.5,6.1,10.2,60.4,0.0,0.1,0.0,3.0,3.7,80.4,6.1,10.1,60.9,1.501,0.6
Tre Mann G,13,0.0,24.5,14.1,0.9,2.0,2.9,3.0,0.5,0.3,1.9,1.8,1.6,5.4,12.4,43.5,1.8,4.6,40.0,1.5,1.6,90.5,3.5,7.8,45.5,1.137,0.51
Grant Williams F,16,7.0,29.9,10.4,1.1,4.0,5.1,2.3,1.1,0.8,1.8,2.9,1.3,3.4,7.7,43.9,1.7,4.6,36.5,1.9,2.3,83.8,1.7,3.1,55.1,1.35,0.55
Nick Smith Jr. G,60,27.0,22.8,9.9,0.2,1.9,2.1,2.4,0.3,0.1,1.4,1.3,1.8,3.7,9.5,39.1,1.7,5.1,34.0,0.7,0.8,93.5,2.0,4.4,45.0,1.04,0.48
Jusuf Nurkic C *,26,9.0,18.1,9.2,1.5,5.0,6.5,2.6,0.7,0.7,1.5,2.0,1.7,3.6,7.3,49.7,0.5,1.8,28.3,1.4,2.3,62.7,3.1,5.5,56.6,1.259,0.53
Nick Richards C *,21,9.0,21.0,8.9,2.4,5.1,7.5,1.3,0.3,1.2,1.6,2.3,0.8,3.0,5.4,56.1,0.0,0.0,0.0,2.8,4.1,67.8,3.0,5.4,56.6,1.64,0.56
Josh Okogie G *,15,6.0,18.3,8.9,0.9,1.9,2.7,1.3,1.8,0.5,1.0,1.3,1.3,2.5,6.5,38.8,1.1,3.3,32.0,2.7,3.5,77.4,1.5,3.2,45.8,1.357,0.47
Cody Martin SF *,39,8.0,24.8,7.8,1.0,3.5,4.5,2.3,1.1,0.7,1.1,1.8,2.1,3.0,6.9,43.3,1.0,3.2,32.3,0.9,1.3,69.4,1.9,3.7,52.8,1.142,0.51
KJ Simpson G,36,15.0,23.4,7.8,1.1,1.9,3.0,3.1,0.9,0.2,1.6,1.6,2.0,2.9,8.4,34.6,0.9,3.6,25.4,1.1,1.4,82.0,2.0,4.8,41.5,0.937,0.4
Vasilije Micic G *,36,16.0,21.2,7.5,0.6,1.9,2.4,3.5,0.4,0.0,2.1,1.2,1.7,2.6,7.6,34.8,1.3,3.5,36.0,0.9,1.1,82.9,1.4,4.1,33.8,0.985,0.43
Josh Green G,68,67.0,27.8,7.4,0.8,1.7,2.5,1.6,1.1,0.2,1.0,2.4,1.5,2.6,6.2,42.8,1.4,3.6,39.1,0.7,1.1,68.1,1.2,2.5,48.0,1.202,0.54
Damion Baugh G,15,2.0,24.7,7.3,0.9,2.4,3.3,3.7,1.0,0.1,2.1,1.5,1.8,2.8,8.7,32.3,0.8,3.7,21.4,0.9,1.0,86.7,2.0,4.9,40.5,0.838,0.37
Marcus Garrett G,4,0.0,19.8,7.0,0.3,1.3,1.5,3.3,0.8,0.5,1.5,2.5,2.2,2.8,6.8,40.7,0.8,2.0,37.5,0.8,1.0,75.0,2.0,4.8,42.1,1.037,0.46
Jaylen Sims G,6,0.0,18.7,7.0,0.5,0.5,1.0,2.0,0.5,0.2,1.3,1.7,1.5,2.0,4.7,42.9,1.0,2.5,40.0,2.0,2.5,80.0,1.0,2.2,46.2,1.5,0.54
DaQuan Jeffries SG,47,20.0,22.8,6.7,0.8,2.1,2.9,1.1,0.6,0.5,0.7,2.1,1.5,2.5,6.2,40.5,1.2,3.5,33.5,0.5,0.6,80.0,1.3,2.7,49.6,1.082,0.5
Seth Curry SG,68,14.0,15.6,6.5,0.4,1.3,1.7,0.9,0.4,0.1,0.5,0.9,1.9,2.4,5.0,47.8,1.2,2.7,45.6,0.5,0.6,84.6,1.2,2.4,50.3,1.294,0.6
Isaiah Wong G,20,0.0,13.3,6.0,0.7,0.9,1.6,1.4,0.6,0.0,0.9,1.1,1.6,2.1,5.3,39.0,0.7,1.7,39.4,1.3,1.7,73.5,1.4,3.6,38.9,1.143,0.45
Tidjane Salaun F,60,10.0,20.7,5.9,1.2,3.5,4.7,1.2,0.5,0.2,1.0,1.4,1.3,1.9,5.8,33.0,1.0,3.4,28.3,1.1,1.6,71.3,0.9,2.3,40.0,1.023,0.41
Moussa Diabate F,71,8.0,17.5,5.7,2.6,3.5,6.2,0.8,0.6,0.6,0.9,1.5,0.9,2.4,3.9,59.6,0.0,0.1,0.0,1.0,1.6,59.5,2.4,3.9,60.9,1.439,0.6
Wendell Moore Jr. F *,16,0.0,17.5,5.4,1.2,2.0,3.2,1.2,0.6,0.1,1.1,1.0,1.1,2.3,4.8,47.4,0.6,1.7,37.0,0.3,0.5,62.5,1.6,3.1,53.1,1.145,0.54
Malachi Flynn PG,4,0.0,11.0,4.0,0.8,1.0,1.8,1.8,0.8,0.0,1.0,1.0,1.8,1.3,3.3,38.5,0.3,1.0,25.0,1.3,1.5,83.3,1.0,2.3,44.4,1.231,0.42
Taj Gibson F,37,11.0,11.1,2.9,1.4,1.9,3.2,0.6,0.2,0.5,0.7,1.5,0.8,1.3,2.6,49.5,0.0,0.1,50.0,0.3,0.5,60.0,1.2,2.5,49.5,1.126,0.5
Elfrid Payton G *,6,2.0,20.5,1.0,0.2,2.0,2.2,3.3,1.0,0.5,1.2,2.0,2.9,0.5,3.5,14.3,0.0,0.0,0.0,0.0,0.0,0.0,0.5,3.5,14.3,0.286,0.14
Jared Rhoden G *,4,0.0,3.0,1.0,0.5,0.5,1.0,0.5,0.3,0.0,0.3,0.3,2.0,0.5,2.0,25.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,1.5,33.3,0.5,0.25
Total,82,,,105.1,12.2,33.0,45.2,24.3,7.4,4.5,14.9,18.7,1.6,38.3,89.1,43.0,13.0,38.3,33.9,15.5,19.8,78.3,25.3,50.8,49.9,1.179,0.5
