Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF
Luka Doncic G *,22,22.0,35.7,28.1,0.7,7.6,8.3,7.8,2.0,0.4,3.4,2.6,2.3,9.8,21.2,46.4,3.4,9.6,35.4,5.1,6.6,76.7,6.4,11.5,55.5,1.328,0.54
Kyrie Irving G,50,50.0,36.1,24.7,1.2,3.6,4.8,4.6,1.3,0.5,2.2,2.0,2.1,8.9,18.9,47.3,2.9,7.2,40.1,3.9,4.3,91.6,6.1,11.7,51.7,1.306,0.55
Anthony Davis F *,9,9.0,29.6,20.0,1.7,8.4,10.1,4.4,0.6,2.2,2.2,1.8,2.0,7.8,16.9,46.1,0.8,3.3,23.3,3.7,5.3,68.8,7.0,13.6,51.6,1.184,0.48
P.J. Washington F,57,56.0,32.2,14.7,1.4,6.3,7.8,2.3,1.1,1.1,2.1,2.3,1.1,5.3,11.7,45.3,1.6,4.2,38.1,2.5,3.5,72.2,3.7,7.5,49.3,1.257,0.52
Klay Thompson G,72,72.0,27.3,14.0,0.6,2.8,3.4,2.0,0.7,0.4,1.2,1.1,1.6,5.0,12.2,41.2,3.0,7.7,39.1,0.9,1.0,90.5,2.0,4.5,44.8,1.146,0.53
Naji Marshall F,69,31.0,27.8,13.2,1.1,3.7,4.8,3.0,1.0,0.2,1.6,1.6,1.9,5.2,10.3,50.8,0.9,3.2,27.5,1.9,2.3,81.3,4.4,7.2,61.1,1.284,0.55
Daniel Gafford F,57,31.0,21.5,12.3,2.7,4.1,6.8,1.4,0.4,1.8,1.2,2.7,1.2,5.0,7.1,70.2,0.0,0.0,0.0,2.4,3.4,68.9,5.0,7.1,70.2,1.739,0.7
Moses Brown C *,4,2.0,18.3,11.8,2.0,5.8,7.8,0.5,1.0,0.8,1.3,2.8,0.4,5.3,7.3,72.4,0.0,0.0,0.0,1.3,1.5,83.3,5.3,7.3,72.4,1.621,0.72
Kai Jones PF *,12,6.0,21.7,11.4,2.1,4.5,6.6,1.3,0.8,0.8,0.7,2.3,1.9,5.1,6.1,83.6,0.1,0.3,33.3,1.2,1.7,70.0,5.0,5.8,85.7,1.877,0.84
Max Christie G *,32,11.0,30.4,11.2,0.4,3.8,4.2,2.5,0.9,0.3,1.5,1.3,1.6,3.9,9.4,41.1,1.7,4.7,36.4,1.8,2.0,86.2,2.2,4.7,45.7,1.189,0.5
Spencer Dinwiddie PG,79,30.0,27.0,11.0,0.2,2.4,2.6,4.4,0.9,0.2,1.3,1.5,3.4,3.6,8.6,41.6,1.4,4.1,33.4,2.5,3.1,80.2,2.2,4.5,49.2,1.279,0.5
Quentin Grimes G *,47,12.0,22.8,10.2,0.6,3.2,3.8,2.1,0.7,0.2,1.3,1.7,1.7,3.6,7.8,46.3,1.7,4.3,39.8,1.3,1.7,76.5,1.9,3.5,54.3,1.315,0.57
Dereck Lively II C,36,29.0,23.1,8.7,2.9,4.6,7.5,2.4,0.6,1.6,1.1,2.8,2.1,3.7,5.3,70.2,0.0,0.0,0.0,1.3,2.0,63.0,3.7,5.3,70.2,1.644,0.7
Jaden Hardy G,57,3.0,15.9,8.7,0.2,1.4,1.6,1.4,0.5,0.1,1.4,1.6,1.0,3.2,7.3,43.5,1.3,3.5,38.6,1.1,1.5,69.8,1.8,3.8,47.9,1.198,0.53
Dante Exum G,20,13.0,18.6,8.7,0.2,1.5,1.7,2.8,0.6,0.2,1.1,1.7,2.5,3.2,6.7,47.8,1.2,2.7,43.4,1.2,1.6,74.2,2.1,4.1,50.6,1.299,0.56
Brandon Williams G,33,3.0,14.8,8.3,0.4,1.4,1.8,2.3,0.7,0.2,1.2,1.0,1.9,3.0,5.7,52.1,0.7,1.8,40.0,1.7,2.0,83.3,2.2,3.9,57.8,1.463,0.59
Caleb Martin F *,14,0.0,19.6,5.4,0.7,2.2,2.9,1.9,0.9,0.2,0.9,1.7,2.0,2.0,5.1,38.9,0.3,1.1,25.0,1.1,1.7,62.5,1.7,4.0,42.9,1.042,0.42
Kessler Edwards F,40,18.0,15.2,4.2,0.6,2.3,2.9,1.1,0.5,0.5,0.4,1.6,2.6,1.7,3.4,49.6,0.6,1.4,40.7,0.3,0.3,92.3,1.1,2.0,55.6,1.244,0.58
Olivier-Maxence Prosper F,52,4.0,11.2,3.9,0.8,1.6,2.4,0.8,0.5,0.1,0.3,0.5,2.9,1.3,3.3,40.2,0.2,1.0,23.5,0.9,1.5,64.5,1.1,2.4,47.2,1.155,0.44
Maxi Kleber F,34,4.0,18.7,3.0,0.7,2.1,2.8,1.3,0.3,0.5,0.7,1.9,1.9,1.1,2.8,38.5,0.4,1.4,26.5,0.5,0.6,76.2,0.7,1.4,51.1,1.073,0.45
Kylor Kelley C *,8,1.0,8.4,3.0,1.0,1.6,2.6,0.3,0.0,0.3,0.1,1.0,2.0,1.3,1.6,76.9,0.0,0.0,0.0,0.5,0.8,66.7,1.3,1.6,76.9,1.846,0.77
Dwight Powell F,55,3.0,10.0,2.1,0.9,1.3,2.1,1.0,0.3,0.4,0.3,1.4,3.1,0.8,1.1,68.9,0.0,0.1,40.0,0.5,0.8,65.1,0.7,1.0,71.4,1.869,0.7
Markieff Morris PF *,7,0.0,5.9,1.7,0.0,1.1,1.1,0.6,0.1,0.1,0.3,0.3,2.0,0.7,3.1,22.7,0.3,1.9,15.4,0.0,0.0,0.0,0.4,1.3,33.3,0.545,0.27
Jazian Gortman G,16,0.0,3.6,1.5,0.1,0.3,0.3,0.4,0.1,0.1,0.3,0.6,1.2,0.6,1.4,39.1,0.3,0.7,36.4,0.1,0.3,50.0,0.3,0.8,41.7,1.043,0.48
Total,82,,,114.2,10.1,33.0,43.0,25.2,7.8,5.4,13.3,17.8,1.9,42.0,87.7,47.9,12.4,34.2,36.4,17.8,23.1,77.0,29.5,53.6,55.2,1.302,0.55
