Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF
Nikola Jokic C,70,70.0,36.7,29.6,2.9,9.9,12.7,10.2,1.8,0.6,3.3,2.3,3.1,11.2,19.5,57.6,2.0,4.7,41.7,5.2,6.4,80.0,9.3,14.8,62.7,1.518,0.63
Jamal Murray G,67,67.0,36.1,21.4,0.7,3.2,3.9,6.0,1.4,0.5,2.1,1.9,2.9,7.9,16.7,47.4,2.3,5.9,39.3,3.3,3.7,88.6,5.6,10.8,51.8,1.281,0.54
Michael Porter Jr. F,77,77.0,33.7,18.2,1.8,5.2,7.0,2.1,0.6,0.5,1.4,2.0,1.6,6.9,13.6,50.4,2.5,6.4,39.5,1.9,2.5,76.8,4.4,7.3,59.9,1.334,0.6
Christian Braun G,79,77.0,33.9,15.4,1.2,3.9,5.2,2.6,1.1,0.5,1.0,2.2,2.5,6.0,10.4,58.0,1.1,2.8,39.7,2.2,2.7,82.7,4.9,7.6,64.8,1.484,0.63
Aaron Gordon F,51,42.0,28.4,14.7,1.6,3.3,4.8,3.2,0.5,0.3,1.4,1.6,2.2,5.2,9.7,53.1,1.5,3.4,43.6,2.8,3.5,81.0,3.7,6.4,58.2,1.505,0.61
Russell Westbrook G,75,36.0,27.9,13.3,1.4,3.6,4.9,6.1,1.4,0.5,3.2,2.5,1.9,5.0,11.1,44.9,1.3,3.9,32.3,2.1,3.1,66.1,3.7,7.2,51.7,1.196,0.51
Julian Strawther G,65,4.0,21.3,9.0,0.3,1.9,2.2,1.3,0.6,0.2,0.9,2.3,1.5,3.2,7.5,43.2,1.4,4.1,34.9,1.1,1.4,82.2,1.8,3.3,53.5,1.21,0.53
Peyton Watson G,68,18.0,24.4,8.1,0.7,2.7,3.4,1.4,0.7,1.4,0.8,1.8,1.7,3.0,6.3,47.7,0.7,2.0,35.3,1.4,2.0,69.3,2.3,4.3,53.4,1.287,0.53
Jalen Pickett G,49,4.0,13.6,4.1,0.3,1.1,1.4,2.2,0.4,0.1,0.5,0.8,4.5,1.6,3.7,42.8,0.8,2.1,39.6,0.1,0.2,75.0,0.8,1.6,46.8,1.111,0.54
DeAndre Jordan C,56,5.0,12.3,3.7,1.5,3.6,5.1,0.9,0.3,0.5,0.7,1.3,1.3,1.6,2.5,65.0,0.0,0.0,0.0,0.5,1.1,42.2,1.6,2.5,65.0,1.493,0.65
Dario Saric F,16,4.0,13.1,3.5,0.9,2.3,3.1,1.4,0.4,0.1,0.9,1.2,1.5,1.3,3.6,36.2,0.4,1.6,26.9,0.4,0.6,70.0,0.9,2.0,43.8,0.966,0.42
Zeke Nnaji F,57,4.0,10.7,3.2,0.6,1.0,1.6,0.4,0.4,0.7,0.2,1.1,1.6,1.2,2.5,49.6,0.3,0.9,32.7,0.5,0.8,61.4,0.9,1.6,59.6,1.305,0.56
Hunter Tyson F,51,2.0,7.8,2.6,0.5,1.0,1.5,0.4,0.2,0.1,0.3,0.9,1.4,0.9,2.4,37.5,0.5,1.5,31.1,0.4,0.5,75.0,0.4,0.9,47.8,1.117,0.47
Vlatko Cancar SF,13,0.0,10.5,1.8,0.5,2.0,2.5,0.7,0.2,0.2,0.8,0.8,0.8,0.8,2.0,38.5,0.3,1.2,26.7,0.0,0.0,0.0,0.5,0.8,54.5,0.923,0.46
PJ Hall C,19,0.0,3.5,1.7,0.3,0.8,1.2,0.2,0.0,0.2,0.1,0.6,2.0,0.7,1.3,58.3,0.1,0.4,25.0,0.2,0.2,75.0,0.6,0.8,75.0,1.375,0.63
Trey Alexander G,24,0.0,4.9,1.3,0.0,0.5,0.5,0.5,0.1,0.0,0.2,0.4,2.2,0.5,1.7,31.7,0.1,0.7,17.6,0.1,0.2,75.0,0.4,1.0,41.7,0.78,0.35
Spencer Jones F,20,0.0,6.3,1.3,0.4,0.5,0.9,0.3,0.3,0.3,0.3,0.9,1.0,0.6,1.7,32.4,0.1,0.9,5.9,0.2,0.2,100.0,0.5,0.9,58.8,0.765,0.34
Total,82,,,120.8,11.2,34.5,45.7,31.0,8.0,4.9,13.5,17.6,2.3,45.4,89.8,50.6,12.0,31.9,37.6,17.9,23.3,77.0,33.4,57.8,57.8,1.345,0.57
