Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF
Cade Cunningham G,70,70.0,35.0,26.1,0.8,5.3,6.1,9.1,1.0,0.8,4.4,2.8,2.1,9.8,20.8,46.9,2.1,6.0,35.6,4.5,5.3,84.6,7.6,14.8,51.5,1.256,0.52
Jaden Ivey G,30,30.0,29.9,17.6,1.3,2.8,4.1,4.0,0.9,0.4,3.0,2.2,1.3,6.3,13.8,46.0,2.1,5.1,40.9,2.8,3.9,73.3,4.2,8.6,49.0,1.278,0.54
Malik Beasley SG,82,18.0,27.8,16.3,0.6,2.0,2.6,1.7,0.9,0.1,1.0,1.5,1.7,5.6,13.1,43.0,3.9,9.3,41.6,1.2,1.7,67.9,1.7,3.7,46.6,1.247,0.58
Tolu Smith F,1,0.0,22.0,14.0,4.0,4.0,8.0,0.0,0.0,0.0,2.0,3.0,0.0,6.0,9.0,66.7,0.0,0.0,0.0,2.0,3.0,66.7,6.0,9.0,66.7,1.556,0.67
Tobias Harris F,73,73.0,31.6,13.7,0.9,5.0,5.9,2.2,1.0,0.8,1.2,1.9,1.9,5.3,11.0,47.7,1.2,3.6,34.5,2.0,2.3,86.1,4.0,7.4,54.2,1.245,0.53
Jalen Duren C,78,78.0,26.1,11.8,3.6,6.8,10.3,2.7,0.7,1.1,1.7,3.2,1.5,4.8,7.0,69.2,0.0,0.0,0.0,2.1,3.1,66.9,4.8,7.0,69.2,1.681,0.69
Tim Hardaway Jr. G,77,77.0,28.0,11.0,0.2,2.1,2.4,1.6,0.5,0.1,0.6,1.2,2.6,3.6,8.8,40.6,2.2,5.9,36.8,1.6,1.9,85.5,1.4,2.9,48.4,1.241,0.53
Dennis Schroder G *,28,8.0,25.2,10.8,0.5,2.2,2.6,5.3,0.5,0.2,1.3,2.0,4.2,3.4,9.0,37.8,1.1,3.8,30.2,2.9,3.4,83.3,2.3,5.2,43.4,1.203,0.44
Ausar Thompson G,59,48.0,22.5,10.1,1.9,3.3,5.1,2.3,1.7,0.7,1.4,2.8,1.7,4.2,7.8,53.5,0.2,0.8,22.4,1.5,2.4,64.1,4.0,7.0,57.2,1.291,0.55
Marcus Sasser G,57,1.0,14.2,6.6,0.3,0.9,1.2,2.3,0.6,0.1,0.9,1.3,2.5,2.4,5.2,46.3,1.0,2.7,38.2,0.8,0.9,84.3,1.4,2.5,54.9,1.267,0.56
Ronald Holland II F,81,2.0,15.6,6.4,0.5,2.2,2.7,1.0,0.6,0.2,0.9,1.7,1.1,2.4,5.1,47.4,0.4,1.9,23.8,1.1,1.5,75.4,2.0,3.3,60.8,1.255,0.52
Isaiah Stewart F,72,4.0,19.9,6.0,1.8,3.7,5.5,1.7,0.4,1.4,0.9,2.5,1.8,2.4,4.4,55.9,0.2,0.7,32.1,0.9,1.2,75.9,2.2,3.6,60.7,1.381,0.59
Simone Fontecchio F,75,0.0,16.5,5.9,0.7,2.2,2.9,0.9,0.4,0.2,0.7,1.3,1.2,2.0,5.0,40.2,1.0,3.0,33.5,0.9,1.1,83.3,1.0,1.9,50.7,1.196,0.5
Alondes Williams G,1,0.0,4.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,inf,2.0,2.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,1.0,100.0,2.5,1.25
Paul Reed F,45,0.0,9.7,4.1,0.9,1.8,2.7,1.0,0.9,0.6,0.6,1.7,1.7,1.6,3.2,50.7,0.2,0.6,28.6,0.7,0.9,76.2,1.4,2.5,56.1,1.296,0.54
Ron Harper Jr. G,1,0.0,17.0,4.0,4.0,3.0,7.0,2.0,0.0,0.0,0.0,0.0,inf,1.0,8.0,12.5,0.0,6.0,0.0,2.0,2.0,100.0,1.0,2.0,50.0,0.5,0.13
Lindy Waters III F *,14,0.0,8.8,3.4,0.3,0.7,1.0,0.7,0.4,0.1,0.2,0.5,3.3,1.1,3.1,36.4,1.1,2.7,39.5,0.0,0.0,0.0,0.1,0.4,16.7,1.068,0.53
Wendell Moore Jr. F *,20,1.0,11.0,3.2,0.6,1.7,2.2,1.2,0.5,0.2,0.5,0.8,2.6,1.2,2.5,46.0,0.2,0.7,28.6,0.7,0.7,92.9,1.0,1.8,52.8,1.26,0.5
Bobi Klintman F,8,0.0,5.3,1.9,0.1,0.8,0.9,0.9,0.3,0.1,0.1,1.0,7.0,0.8,1.3,60.0,0.3,0.6,40.0,0.1,0.3,50.0,0.5,0.6,80.0,1.5,0.7
Daniss Jenkins G,7,0.0,3.3,1.0,0.0,0.3,0.3,0.4,0.0,0.0,0.1,0.3,3.0,0.4,1.4,30.0,0.1,1.0,14.3,0.0,0.3,0.0,0.3,0.4,66.7,0.7,0.35
Cole Swider F *,2,0.0,6.5,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.5,inf,0.0,2.5,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,82,,,115.5,11.4,33.4,44.8,26.4,8.0,5.3,14.1,20.7,1.9,42.7,89.8,47.6,12.8,35.4,36.2,17.2,22.3,77.4,29.9,54.4,55.0,1.286,0.55
