Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,Traded,Position
Stephen Curry,70,70.0,32.2,24.5,0.6,3.9,4.4,6.0,1.1,0.4,2.9,1.4,2.1,8.1,18.0,44.8,4.4,11.2,39.7,4.0,4.3,93.3,3.6,6.8,53.4,1.366,0.57,False,G
Jimmy Butler III,30,30.0,32.7,17.9,2.3,3.2,5.5,5.9,1.7,0.3,1.5,1.0,4.0,5.3,11.1,47.6,0.6,2.3,27.9,6.7,7.7,87.0,4.7,8.9,52.6,1.611,0.5,True,F
Andrew Wiggins,43,43.0,30.1,17.6,1.5,3.0,4.6,2.4,0.9,0.8,1.3,1.6,1.8,6.1,13.7,44.4,2.2,5.8,37.9,3.2,4.2,77.7,3.9,7.9,49.1,1.284,0.52,True,F
Jonathan Kuminga,47,10.0,24.3,15.3,1.2,3.4,4.6,2.2,0.8,0.4,1.5,1.9,1.5,5.5,12.1,45.4,1.0,3.2,30.5,3.3,5.0,66.8,4.5,8.9,50.8,1.266,0.49,False,F
Brandin Podziemski,64,33.0,26.8,11.7,1.0,4.1,5.1,3.4,1.1,0.2,1.2,1.5,2.9,4.4,9.8,44.5,1.8,4.8,37.2,1.1,1.5,75.8,2.6,5.0,51.6,1.188,0.54,False,G
Buddy Hield,82,22.0,22.7,11.1,0.6,2.6,3.2,1.6,0.8,0.3,1.1,1.6,1.5,4.0,9.6,41.7,2.5,6.7,37.0,0.6,0.8,82.8,1.5,2.9,52.7,1.16,0.55,False,G
Dennis Schroder,24,18.0,26.2,10.6,0.4,1.9,2.3,4.4,1.0,0.1,2.0,2.8,2.2,3.9,10.5,37.5,1.5,4.8,32.2,1.2,1.6,74.4,2.4,5.7,41.9,1.012,0.45,True,G
De'Anthony Melton,6,2.0,20.2,10.3,1.0,2.3,3.3,2.8,1.2,0.3,1.7,3.0,1.7,3.7,9.0,40.7,2.2,5.8,37.1,0.8,1.3,62.5,1.5,3.2,47.4,1.148,0.53,False,G
Moses Moody,74,34.0,22.3,9.8,0.7,1.9,2.6,1.3,0.8,0.4,0.7,1.6,1.8,3.3,7.7,43.3,1.7,4.6,37.4,1.4,1.8,79.7,1.6,3.1,51.9,1.275,0.54,False,G
Draymond Green,68,66.0,29.2,9.0,1.1,5.0,6.1,5.6,1.5,1.0,2.6,3.2,2.2,3.2,7.5,42.4,1.2,3.6,32.5,1.5,2.2,68.7,2.0,3.9,51.7,1.204,0.5,False,F
Quinten Post,42,14.0,16.3,8.1,0.8,2.7,3.5,1.3,0.4,0.4,0.8,2.0,1.7,2.9,6.5,44.9,1.7,4.3,40.8,0.5,0.6,77.8,1.2,2.3,52.6,1.241,0.58,False,C
Trayce Jackson-Davis,62,37.0,15.6,6.6,2.0,3.0,5.0,1.7,0.4,0.6,0.7,1.2,2.3,2.8,4.9,57.6,0.0,0.0,0.0,1.0,1.6,57.8,2.8,4.8,58.2,1.348,0.58,False,F
Gary Payton II,62,11.0,15.0,6.5,0.9,2.1,3.0,1.3,0.8,0.3,0.6,1.7,2.1,2.8,4.8,57.4,0.5,1.5,32.6,0.4,0.6,71.1,2.3,3.3,69.0,1.342,0.63,False,G
Lindy Waters III,38,9.0,17.2,5.5,0.4,2.1,2.5,1.1,0.6,0.3,0.4,1.4,2.5,2.0,5.4,37.1,1.3,3.9,33.1,0.2,0.3,72.7,0.7,1.5,47.4,1.02,0.49,True,F
Kyle Anderson,36,3.0,15.0,5.3,0.8,2.3,3.1,2.3,0.7,0.6,0.6,1.1,4.1,2.1,4.7,45.0,0.5,1.4,36.5,0.5,0.8,66.7,1.6,3.3,48.7,1.118,0.51,True,F
Kevon Looney,76,6.0,15.0,4.5,2.4,3.6,6.1,1.6,0.6,0.5,0.5,2.0,3.0,1.9,3.7,51.4,0.0,0.1,40.0,0.7,1.3,56.6,1.9,3.6,51.6,1.237,0.52,False,F
Gui Santos,56,2.0,13.6,4.1,1.3,1.8,3.1,1.4,0.4,0.2,0.8,1.6,1.9,1.5,3.2,45.8,0.6,1.8,33.0,0.5,0.8,69.0,0.9,1.4,63.2,1.268,0.55,False,F
Jackson Rowe,6,0.0,8.7,3.7,0.5,1.3,1.8,0.7,0.7,0.0,0.2,0.7,4.0,1.3,2.8,47.1,0.5,1.7,30.0,0.5,1.0,50.0,0.8,1.2,71.4,1.294,0.56,False,F
Kevin Knox II,14,0.0,6.0,3.3,0.5,0.7,1.2,0.4,0.1,0.3,0.3,0.4,1.3,1.3,2.6,50.0,0.3,1.1,26.7,0.4,0.6,75.0,1.0,1.5,66.7,1.278,0.56,False,F
Pat Spencer,39,0.0,6.4,2.5,0.4,0.8,1.2,1.2,0.4,0.1,0.5,0.5,2.7,1.1,2.6,40.6,0.1,0.6,22.7,0.3,0.4,73.3,0.9,2.0,45.6,0.97,0.43,False,G
Braxton Key,3,0.0,3.7,1.0,0.3,0.3,0.7,0.0,0.7,0.0,0.3,0.0,0.0,0.0,1.3,0.0,0.0,0.3,0.0,1.0,2.0,50.0,0.0,1.0,0.0,0.75,0.0,False,F
Reece Beekman,2,0.0,2.0,1.0,0.5,0.0,0.5,0.5,0.5,0.0,0.0,0.5,inf,0.5,0.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,100.0,2.0,1.0,True,G
Yuri Collins,2,0.0,8.0,1.0,1.0,0.5,1.5,2.0,1.0,0.0,0.0,2.5,inf,0.5,1.5,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.5,33.3,0.667,0.33,False,G
Total,82,,,113.8,12.5,32.8,45.4,29.1,9.4,4.8,13.2,19.2,2.2,40.8,90.4,45.1,15.4,42.4,36.4,16.9,22.1,76.4,25.3,48.0,52.8,1.259,0.54,False,Total
