Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,Traded,Position
Jalen Green,82,82.0,32.9,21.0,0.5,4.0,4.6,3.4,0.9,0.3,2.5,1.5,1.4,7.4,17.5,42.3,2.9,8.1,35.4,3.3,4.1,81.3,4.6,9.5,48.2,1.199,0.5,False,G
Alperen Sengun,76,76.0,31.5,19.1,3.4,6.9,10.3,4.9,1.1,0.8,2.6,2.8,1.9,7.5,15.0,49.6,0.3,1.2,23.3,3.9,5.6,69.2,7.2,13.9,51.9,1.269,0.51,False,C
Fred VanVleet,60,60.0,35.2,14.1,0.5,3.2,3.7,5.6,1.6,0.4,1.5,2.3,3.8,4.8,12.7,37.8,2.7,7.7,34.5,1.9,2.3,81.0,2.1,5.0,43.0,1.112,0.48,False,G
Amen Thompson,69,42.0,32.2,14.1,2.8,5.4,8.2,3.8,1.4,1.3,2.0,2.4,1.9,5.6,10.1,55.7,0.4,1.3,27.5,2.4,3.6,68.4,5.3,8.8,59.9,1.392,0.57,False,G
Dillon Brooks,75,75.0,31.8,14.0,1.0,2.7,3.7,1.7,0.8,0.2,1.0,3.2,1.7,5.1,11.9,42.9,2.5,6.3,39.7,1.3,1.6,81.8,2.6,5.7,46.5,1.177,0.53,False,F
Jabari Smith Jr.,57,39.0,30.1,12.2,1.8,5.2,7.0,1.1,0.4,0.7,1.1,2.2,1.0,4.4,9.9,43.8,1.7,4.9,35.4,1.8,2.2,82.5,2.6,5.1,51.9,1.233,0.52,False,F
Tari Eason,57,16.0,24.9,12.0,2.2,4.1,6.4,1.5,1.7,0.9,1.1,2.4,1.3,4.8,9.8,48.7,1.1,3.2,34.2,1.4,1.8,76.0,3.7,6.6,55.7,1.227,0.54,False,F
Cam Whitmore,51,3.0,16.2,9.4,0.7,2.3,3.0,1.0,0.6,0.3,0.9,0.9,1.1,3.5,7.9,44.4,1.3,3.6,35.5,1.1,1.4,75.0,2.2,4.3,51.8,1.184,0.52,False,F
N'Faly Dante,4,0.0,12.8,6.0,1.5,3.8,5.3,0.5,0.3,1.3,0.5,2.3,1.0,2.5,3.3,76.9,0.0,0.0,0.0,1.0,1.3,80.0,2.5,3.3,76.9,1.846,0.77,False,C
Aaron Holiday,62,3.0,12.8,5.5,0.2,1.0,1.3,1.3,0.3,0.2,0.6,1.0,2.2,1.9,4.3,43.7,1.2,2.9,39.8,0.5,0.7,82.9,0.7,1.4,51.7,1.269,0.57,False,G
Jeff Green,32,3.0,12.4,5.4,0.3,1.5,1.8,0.6,0.2,0.1,0.3,1.0,2.2,1.9,3.8,50.4,0.9,2.5,36.7,0.7,0.8,80.8,1.0,1.3,76.2,1.421,0.62,False,F
Jock Landale,42,3.0,11.9,4.8,1.3,1.9,3.3,0.9,0.3,0.2,0.5,1.2,1.8,1.9,3.6,53.3,0.3,0.6,42.3,0.6,1.0,67.5,1.7,3.0,55.6,1.316,0.57,False,C
Reed Sheppard,52,3.0,12.6,4.4,0.3,1.2,1.5,1.4,0.7,0.3,0.7,1.0,2.0,1.6,4.6,35.1,0.9,2.7,33.8,0.3,0.3,81.3,0.7,1.9,37.1,0.958,0.45,False,G
David Roddy,3,0.0,11.7,4.3,0.0,1.7,1.7,0.7,0.0,0.3,0.3,0.3,2.0,1.7,4.3,38.5,0.3,2.3,14.3,0.7,1.3,50.0,1.3,2.0,66.7,1.0,0.42,True,F
Steven Adams,58,3.0,13.7,3.9,2.9,2.8,5.6,1.1,0.4,0.5,0.9,1.0,1.2,1.6,2.9,54.5,0.0,0.0,0.0,0.7,1.6,46.2,1.6,2.8,55.2,1.347,0.54,False,C
Jae'Sean Tate,52,2.0,11.3,3.6,1.0,1.3,2.3,0.9,0.5,0.1,0.4,1.6,2.1,1.3,2.8,47.3,0.3,0.9,34.8,0.6,0.9,68.1,1.0,2.0,52.9,1.27,0.53,False,F
Nate Williams,20,0.0,7.4,3.3,0.3,0.4,0.7,0.5,0.4,0.2,0.7,0.8,0.6,1.4,3.1,43.5,0.3,1.3,23.1,0.3,0.4,62.5,1.1,1.8,58.3,1.048,0.48,False,G
Jack McVeigh,9,0.0,4.8,1.6,0.2,0.3,0.6,0.1,0.0,0.2,0.2,0.3,0.5,0.6,1.9,29.4,0.4,1.4,30.8,0.0,0.0,0.0,0.1,0.4,25.0,0.824,0.41,False,G
Total,82,,,114.3,14.6,33.8,48.5,23.3,8.4,5.0,13.0,19.0,1.8,42.5,93.4,45.5,12.7,35.8,35.3,16.7,22.6,73.8,29.8,57.6,51.8,1.224,0.52,False,Total
