Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF
Giannis Antetokounmpo F,67,67.0,34.2,30.4,2.2,9.7,11.9,6.5,0.9,1.2,3.1,2.3,2.1,11.8,19.7,60.1,0.2,0.9,22.2,6.5,10.6,61.7,11.6,18.7,62.0,1.544,0.61
Damian Lillard G,58,58.0,36.1,24.9,0.5,4.2,4.7,7.1,1.2,0.2,2.8,1.7,2.5,7.7,17.1,44.8,3.4,9.0,37.6,6.2,6.8,92.1,4.3,8.1,52.8,1.459,0.55
Kyle Kuzma F *,33,32.0,31.8,14.5,0.8,4.8,5.6,2.2,0.5,0.4,2.2,2.0,1.0,5.4,11.9,45.5,1.5,4.6,33.3,2.1,3.2,66.3,3.9,7.3,53.3,1.216,0.52
Bobby Portis F,49,7.0,25.4,13.9,1.8,6.6,8.4,2.1,0.7,0.5,1.2,1.9,1.8,5.7,12.1,46.6,1.3,3.6,36.5,1.2,1.5,83.6,4.3,8.5,50.8,1.143,0.52
Brook Lopez C,80,80.0,31.8,13.0,1.4,3.6,5.0,1.8,0.6,1.9,1.1,2.1,1.7,4.9,9.7,50.9,1.7,4.7,37.3,1.4,1.7,82.6,3.2,5.0,63.6,1.345,0.6
Khris Middleton F *,23,7.0,23.2,12.6,0.2,3.5,3.7,4.4,0.7,0.2,1.6,2.3,2.8,4.7,9.2,51.2,1.5,3.7,40.7,1.7,2.0,84.8,3.2,5.4,58.4,1.374,0.59
Kevin Porter Jr. G *,30,2.0,19.9,11.7,0.4,3.5,3.9,3.7,1.3,0.1,1.7,1.6,2.2,4.0,8.2,49.4,1.0,2.4,40.8,2.7,3.1,87.1,3.1,5.8,52.9,1.437,0.55
Gary Trent Jr. G,74,9.0,25.6,11.1,0.3,2.0,2.3,1.2,1.0,0.1,0.6,1.7,2.1,3.8,8.9,43.1,2.4,5.9,41.6,1.1,1.2,84.8,1.4,3.0,46.0,1.254,0.57
Taurean Prince F,80,73.0,27.1,8.2,0.4,3.2,3.6,1.9,1.0,0.2,1.0,2.1,1.9,2.9,6.4,45.7,1.8,4.2,43.9,0.5,0.6,81.3,1.1,2.2,49.2,1.276,0.6
AJ Green G,73,7.0,22.7,7.4,0.2,2.1,2.4,1.5,0.5,0.1,0.5,2.2,2.7,2.5,5.8,42.9,2.1,5.0,42.7,0.3,0.4,81.5,0.4,0.8,44.3,1.276,0.61
Ryan Rollins G,56,19.0,14.6,6.2,0.4,1.6,1.9,1.9,0.8,0.3,0.9,1.6,2.0,2.4,4.8,48.7,0.9,2.1,40.8,0.6,0.8,80.0,1.5,2.7,55.0,1.288,0.58
Pat Connaughton G,41,1.0,14.7,5.3,0.5,2.2,2.7,1.7,0.2,0.3,0.6,1.1,2.9,2.0,4.3,46.9,0.6,2.0,32.1,0.6,0.8,77.4,1.4,2.3,59.4,1.22,0.54
Pete Nance F *,6,1.0,11.7,3.8,0.5,1.3,1.8,1.2,0.2,0.3,0.7,1.2,1.8,1.5,2.8,52.9,0.8,2.0,41.7,0.0,0.0,0.0,0.7,0.8,80.0,1.353,0.68
Andre Jackson Jr. G,67,43.0,14.6,3.4,1.0,1.7,2.7,1.2,0.5,0.2,0.9,1.7,1.4,1.4,2.9,47.7,0.4,1.1,39.5,0.2,0.4,50.0,1.0,1.8,52.9,1.168,0.55
Jamaree Bouyea G,5,1.0,12.4,3.4,0.2,0.8,1.0,2.0,0.8,0.4,1.6,0.4,1.3,1.2,2.4,50.0,0.2,1.0,20.0,0.8,1.2,66.7,1.0,1.4,71.4,1.417,0.54
Tyler Smith F,23,0.0,5.3,2.9,0.3,0.8,1.1,0.2,0.1,0.2,0.3,0.5,0.5,1.0,2.2,48.0,0.6,1.3,43.3,0.3,0.3,75.0,0.5,0.9,55.0,1.34,0.61
AJ Johnson G *,7,0.0,6.3,2.9,0.0,1.0,1.0,1.0,0.1,0.0,0.6,0.0,1.8,1.1,2.7,42.1,0.4,0.7,60.0,0.1,0.3,50.0,0.7,2.0,35.7,1.053,0.5
Delon Wright G *,26,2.0,15.6,2.5,0.6,1.2,1.8,1.8,0.9,0.3,0.5,0.7,3.4,0.8,3.2,26.8,0.5,1.9,24.5,0.3,0.6,56.3,0.4,1.3,30.3,0.793,0.34
Jericho Sims C *,14,0.0,15.0,2.4,1.4,3.4,4.9,0.8,0.1,0.6,0.9,1.4,0.9,1.2,1.8,68.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.8,68.0,1.36,0.68
MarJon Beauchamp F *,26,0.0,4.7,2.0,0.3,1.0,1.2,0.3,0.1,0.0,0.5,0.4,0.6,0.7,1.8,38.3,0.3,0.8,33.3,0.3,0.5,75.0,0.4,1.0,42.3,1.106,0.46
Chris Livingston F,21,1.0,5.0,1.4,0.5,1.2,1.7,0.2,0.2,0.0,0.3,0.4,0.8,0.4,1.3,33.3,0.0,0.4,0.0,0.6,0.8,75.0,0.4,0.9,47.4,1.111,0.33
Liam Robbins C,13,0.0,4.4,0.7,0.5,0.4,0.9,0.2,0.2,0.2,0.5,0.7,0.3,0.2,0.6,25.0,0.0,0.2,0.0,0.4,0.8,50.0,0.2,0.5,33.3,1.125,0.25
Stanley Umude G,22,0.0,3.9,0.7,0.2,0.6,0.8,0.2,0.1,0.3,0.1,0.4,1.3,0.2,1.2,19.2,0.1,0.7,20.0,0.1,0.2,50.0,0.1,0.5,18.2,0.577,0.25
Total,82,,,115.5,8.2,35.1,43.4,25.5,7.3,4.7,12.8,17.9,2.0,42.0,86.4,48.6,14.2,36.6,38.7,17.3,23.1,75.0,27.9,49.7,56.0,1.337,0.57
