Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,Traded,Position
Zion Williamson,30,30.0,28.6,24.6,2.5,4.7,7.2,5.3,1.2,0.9,3.0,2.7,1.8,9.6,16.9,56.7,0.1,0.4,23.1,5.3,8.0,65.6,9.5,16.5,57.6,1.451,0.57,False,F
Brandon Ingram,18,18.0,33.1,22.2,0.9,4.6,5.6,5.2,0.9,0.6,3.8,2.5,1.3,8.6,18.5,46.5,2.4,6.4,37.4,2.6,3.1,85.5,6.2,12.1,51.4,1.201,0.53,False,F
Trey Murphy III,53,51.0,35.0,21.2,0.9,4.2,5.1,3.5,1.1,0.7,1.9,2.1,1.8,7.2,15.8,45.4,3.0,8.3,36.1,3.8,4.3,88.7,4.2,7.6,55.6,1.34,0.55,False,F
CJ McCollum,56,56.0,32.7,21.1,0.8,3.0,3.8,4.1,0.8,0.4,1.9,2.2,2.1,7.9,17.9,44.4,3.1,8.2,37.3,2.2,3.1,71.7,4.9,9.7,50.5,1.183,0.53,False,G
Dejounte Murray,31,31.0,32.6,17.5,0.5,5.9,6.5,7.4,2.0,0.4,3.4,2.0,2.2,6.3,15.9,39.3,1.7,5.6,29.9,3.3,4.0,82.3,4.6,10.3,44.4,1.097,0.45,False,G
Jordan Hawkins,56,9.0,23.6,10.8,0.4,2.4,2.8,1.2,0.5,0.4,1.0,0.9,1.1,3.7,9.9,37.2,2.0,5.9,33.1,1.4,1.8,81.6,1.7,4.0,43.3,1.086,0.47,False,G
Brandon Boston,42,10.0,23.6,10.7,0.7,2.5,3.2,2.2,1.3,0.2,1.2,1.7,1.8,4.0,9.1,43.6,1.2,3.3,35.0,1.6,2.0,78.8,2.8,5.7,48.5,1.176,0.5,False,SG
Kelly Olynyk,20,20.0,25.4,10.7,1.9,4.0,5.9,3.6,0.9,0.6,2.1,3.2,1.8,3.8,7.5,50.0,0.7,1.8,38.9,2.5,3.3,75.4,3.1,5.7,53.5,1.42,0.55,True,F
Jose Alvarado,56,23.0,24.4,10.3,0.5,1.9,2.4,4.6,1.3,0.3,1.5,1.6,3.0,3.6,9.3,39.2,2.0,5.5,35.9,1.1,1.3,81.1,1.7,3.8,43.9,1.111,0.5,False,G
Herbert Jones,20,20.0,32.4,10.3,1.1,2.8,3.9,3.3,1.9,0.5,1.8,3.3,1.9,3.8,8.6,43.6,1.1,3.6,30.6,1.7,2.0,82.5,2.7,5.0,53.0,1.192,0.5,False,F
Keion Brooks Jr.,14,6.0,23.7,10.1,0.9,3.3,4.1,0.9,0.7,0.7,0.9,2.1,1.1,3.8,7.8,48.6,1.0,3.1,32.6,1.6,2.1,73.3,2.8,4.7,59.1,1.303,0.55,False,SF
Yves Missi,73,67.0,26.8,9.1,3.5,4.7,8.2,1.4,0.5,1.3,1.1,2.0,1.2,3.7,6.7,54.7,0.0,0.0,0.0,1.7,2.8,62.3,3.7,6.7,54.8,1.352,0.55,False,C
Lester Quinones,9,0.0,18.4,8.6,0.1,1.6,1.7,2.6,0.3,0.2,1.1,2.0,2.3,3.0,7.8,38.6,1.4,4.6,31.7,1.1,1.3,83.3,1.6,3.2,48.3,1.1,0.48,True,G
Jaylen Nowell,8,0.0,21.0,8.4,0.8,1.8,2.5,2.3,0.1,0.5,1.0,1.1,2.3,3.3,9.1,35.6,1.0,3.4,29.6,0.9,1.4,63.6,2.3,5.8,39.1,0.918,0.41,False,G
Bruce Brown,23,12.0,24.7,8.2,1.0,3.2,4.2,2.4,0.7,0.3,0.9,2.0,2.8,3.2,7.7,41.0,0.7,2.0,35.6,1.2,1.6,75.0,2.5,5.8,42.9,1.062,0.46,True,G
Karlo Matkovic,42,7.0,18.8,7.7,1.5,3.5,5.0,1.1,0.5,1.0,1.0,2.5,1.1,3.2,5.6,57.4,0.5,1.6,31.8,0.8,1.0,77.3,2.7,4.0,67.5,1.383,0.62,False,F
Antonio Reeves,44,6.0,15.0,6.9,0.4,1.0,1.4,0.9,0.5,0.1,0.7,0.9,1.3,2.6,5.6,45.6,1.2,2.9,39.5,0.6,0.8,80.0,1.4,2.7,52.1,1.23,0.56,False,G
