Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,Traded,Position
Jalen Brunson,65,65.0,35.4,26.0,0.4,2.5,2.9,7.3,0.9,0.1,2.5,2.1,2.9,9.0,18.5,48.8,2.3,6.1,38.3,5.7,6.9,82.1,6.7,12.4,53.9,1.408,0.55,False,G
Karl-Anthony Towns,72,72.0,35.0,24.4,2.9,9.8,12.8,3.1,1.0,0.7,2.7,3.5,1.2,8.9,16.9,52.6,2.0,4.7,42.0,4.7,5.7,82.9,6.9,12.2,56.7,1.448,0.58,False,C
OG Anunoby,74,74.0,36.6,18.0,1.3,3.5,4.8,2.2,1.5,0.9,1.4,2.3,1.6,6.6,13.9,47.6,2.3,6.2,37.2,2.5,3.1,81.0,4.3,7.7,56.1,1.297,0.56,False,F
Mikal Bridges,82,82.0,37.0,17.6,0.9,2.3,3.2,3.7,0.9,0.5,1.6,1.5,2.3,7.2,14.4,50.0,2.0,5.6,35.4,1.2,1.4,81.4,5.2,8.8,59.4,1.221,0.57,False,G
Josh Hart,77,77.0,37.6,13.6,2.1,7.5,9.6,5.9,1.5,0.4,2.1,2.6,2.9,5.2,10.0,52.5,1.1,3.3,33.3,2.1,2.7,77.6,4.2,6.7,61.8,1.365,0.58,False,G
Miles McBride,64,10.0,24.9,9.5,0.7,1.8,2.5,2.9,1.0,0.3,0.6,1.7,4.6,3.5,8.5,40.6,1.8,4.9,36.9,0.8,1.0,81.3,1.7,3.7,45.5,1.117,0.51,False,G
Cameron Payne,72,5.0,15.1,6.9,0.2,1.3,1.4,2.8,0.5,0.2,0.7,1.5,3.9,2.5,6.2,40.1,1.3,3.6,36.3,0.7,0.8,90.7,1.2,2.6,45.3,1.121,0.51,False,PG
Precious Achiuwa,57,10.0,20.5,6.6,1.8,3.8,5.6,1.0,0.8,0.7,0.8,1.4,1.2,2.9,5.7,50.2,0.2,0.6,27.8,0.7,1.2,59.4,2.7,5.1,52.9,1.159,0.52,False,PF
Landry Shamet,50,0.0,15.2,5.7,0.2,1.0,1.2,0.5,0.5,0.0,0.4,1.0,1.2,2.1,4.6,46.1,1.2,3.1,39.7,0.2,0.4,66.7,0.9,1.5,59.5,1.243,0.6,False,G
Mitchell Robinson,17,3.0,17.1,5.1,3.1,2.9,5.9,0.8,0.9,1.1,0.6,1.5,1.3,2.2,3.3,66.1,0.0,0.0,0.0,0.8,1.1,68.4,2.2,3.3,66.1,1.554,0.66,False,C
Delon Wright,14,5.0,16.4,4.3,0.9,0.6,1.4,2.1,0.9,0.2,0.6,0.6,3.6,1.6,3.5,46.9,0.6,1.7,33.3,0.4,0.6,66.7,1.1,1.8,60.0,1.224,0.55,True,G
P.J. Tucker,3,1.0,19.3,3.0,1.3,1.3,2.7,0.0,0.3,0.3,0.3,2.7,0.0,1.0,2.3,42.9,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.3,0.0,1.286,0.64,False,PF
MarJon Beauchamp,6,0.0,2.8,2.5,0.3,1.2,1.5,0.2,0.2,0.0,0.2,0.3,1.0,0.8,1.8,45.5,0.2,0.8,20.0,0.7,0.7,100.0,0.7,1.0,66.7,1.364,0.5,True,F
Tyler Kolek,41,0.0,7.2,2.0,0.2,0.5,0.7,1.7,0.3,0.1,0.4,0.6,3.9,0.7,2.0,32.9,0.3,1.1,29.8,0.3,0.4,76.5,0.3,0.9,37.1,0.988,0.41,False,G
Ariel Hukporti,25,1.0,8.7,1.9,0.6,1.5,2.0,0.4,0.0,0.6,0.8,1.3,0.5,0.8,1.2,67.7,0.0,0.0,0.0,0.2,0.5,46.2,0.8,1.2,67.7,1.548,0.68,False,C
Pacome Dadiet,18,0.0,6.2,1.7,0.2,0.8,1.0,0.3,0.2,0.1,0.2,0.4,1.3,0.6,1.7,32.3,0.3,1.1,31.6,0.2,0.3,66.7,0.2,0.7,33.3,0.968,0.42,False,F
Jericho Sims,39,5.0,10.8,1.6,1.3,2.0,3.3,0.6,0.2,0.3,0.5,1.2,1.0,0.7,1.2,60.9,0.0,0.0,0.0,0.2,0.3,61.5,0.7,1.2,60.9,1.391,0.61,True,C
Kevin McCullar Jr.,4,0.0,7.3,1.5,0.0,2.0,2.0,0.5,0.3,0.3,0.0,1.5,inf,0.5,1.8,28.6,0.0,0.3,0.0,0.5,0.5,100.0,0.5,1.5,33.3,0.857,0.29,False,G
Matt Ryan,19,0.0,3.6,1.5,0.0,0.4,0.4,0.2,0.1,0.0,0.2,0.1,1.0,0.5,1.6,32.3,0.3,1.0,31.6,0.1,0.1,100.0,0.2,0.6,33.3,0.903,0.42,False,F
Anton Watson,9,0.0,2.4,0.9,0.1,0.2,0.3,0.2,0.1,0.0,0.2,0.3,1.0,0.4,1.0,44.4,0.0,0.1,0.0,0.0,0.0,0.0,0.4,0.9,50.0,0.889,0.44,False,F
Jacob Toppin,16,0.0,3.1,0.4,0.1,0.6,0.7,0.3,0.1,0.0,0.1,0.2,2.0,0.2,0.6,30.0,0.0,0.1,0.0,0.0,0.0,0.0,0.2,0.5,37.5,0.6,0.3,True,F
Total,82,,,115.8,10.9,31.8,42.6,27.5,8.2,4.0,12.2,17.2,2.3,43.3,89.2,48.6,12.6,34.1,36.9,16.5,20.7,80.0,30.8,55.1,55.8,1.298,0.56,False,Total
