Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,Traded,Position
Tyrese Maxey,52,52.0,37.7,26.3,0.3,3.1,3.3,6.1,1.8,0.4,2.4,2.2,2.6,9.2,21.0,43.7,3.1,9.2,33.7,4.9,5.6,87.9,6.1,11.8,51.5,1.255,0.51,False,G
Joel Embiid,19,19.0,30.2,23.8,1.9,6.3,8.2,4.5,0.7,0.9,3.3,2.2,1.4,7.4,16.6,44.4,1.2,4.1,29.9,7.8,8.9,88.2,6.2,12.5,49.2,1.435,0.48,False,C
Quentin Grimes,28,25.0,33.7,21.9,1.0,4.1,5.2,4.5,1.5,0.4,2.9,2.1,1.6,7.7,16.4,46.9,2.9,7.9,37.3,3.6,4.8,75.2,4.8,8.5,55.9,1.336,0.56,True,G
Paul George,41,41.0,32.5,16.2,0.6,4.8,5.3,4.3,1.8,0.5,2.6,2.5,1.7,6.0,13.9,43.0,2.3,6.5,35.8,1.9,2.4,81.4,3.6,7.4,49.3,1.167,0.51,False,F
Jared McCain,23,8.0,25.7,15.3,0.6,1.9,2.4,2.6,0.7,0.0,1.6,1.6,1.6,5.5,11.9,46.0,2.2,5.8,38.3,2.1,2.4,87.5,3.3,6.1,53.2,1.285,0.55,False,G
Kelly Oubre Jr.,60,57.0,34.6,15.1,1.6,4.5,6.1,1.8,1.5,0.5,1.3,3.0,1.4,5.8,12.4,47.0,1.2,4.0,29.3,2.3,3.1,75.1,4.6,8.3,55.5,1.223,0.52,False,G
Lonnie Walker IV,20,7.0,23.9,12.4,0.3,2.9,3.2,2.5,0.5,0.3,1.3,1.4,2.0,4.5,10.6,42.0,2.3,6.4,35.4,1.2,1.5,80.0,2.2,4.3,51.8,1.165,0.53,False,G
Jared Butler,28,17.0,24.4,11.5,0.4,2.1,2.5,4.9,1.1,0.3,1.8,2.0,2.7,4.2,9.9,42.6,1.6,4.6,35.2,1.4,1.6,87.0,2.6,5.3,49.0,1.159,0.51,True,G
Guerschon Yabusele,70,43.0,27.1,11.0,1.9,3.7,5.6,2.1,0.8,0.3,1.2,2.3,1.7,4.0,8.0,50.1,1.5,3.9,38.0,1.4,2.0,72.5,2.5,4.1,61.6,1.364,0.59,False,F
Justin Edwards,44,26.0,26.3,10.1,1.0,2.3,3.4,1.6,1.0,0.4,1.1,2.2,1.4,3.9,8.6,45.5,1.6,4.3,36.3,0.7,1.0,69.6,2.3,4.3,54.8,1.177,0.55,False,F
Caleb Martin,31,24.0,30.4,9.1,1.4,3.0,4.4,2.2,1.1,0.6,1.4,2.0,1.6,3.3,7.5,43.5,1.1,2.8,37.9,1.5,2.4,62.2,2.2,4.7,46.9,1.211,0.51,True,F
Oshae Brissett,6,2.0,23.7,8.7,1.2,2.5,3.7,0.7,0.7,0.5,1.3,2.3,0.5,3.2,6.5,48.7,1.0,3.0,33.3,1.3,2.3,57.1,2.2,3.5,61.9,1.333,0.56,False,SF
