Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,Traded,Position
Anfernee Simons,70,70.0,32.7,19.3,0.4,2.3,2.7,4.8,0.9,0.1,2.0,1.7,2.4,6.8,16.1,42.6,3.1,8.5,36.3,2.5,2.8,90.2,3.8,7.6,49.6,1.198,0.52,False,G
Shaedon Sharpe,72,52.0,31.3,18.5,0.9,3.6,4.5,2.8,0.9,0.2,2.1,1.7,1.3,6.9,15.3,45.2,2.0,6.6,31.1,2.6,3.4,78.5,4.9,8.8,55.7,1.209,0.52,False,G
Deni Avdija,72,54.0,30.0,16.9,1.5,5.7,7.3,3.9,1.0,0.5,2.7,2.4,1.4,5.6,11.7,47.6,1.7,4.8,36.5,4.0,5.2,78.0,3.8,7.0,55.2,1.444,0.55,False,F
Jerami Grant,47,47.0,32.4,14.4,0.6,2.9,3.5,2.1,0.9,1.0,1.4,2.3,1.6,4.6,12.2,37.3,2.3,6.3,36.5,3.0,3.5,84.9,2.3,5.9,38.1,1.179,0.47,False,F
Deandre Ayton,40,40.0,30.2,14.4,3.1,7.1,10.2,1.6,0.8,1.0,1.7,2.2,0.9,6.6,11.7,56.6,0.2,0.8,18.8,1.0,1.5,66.7,6.5,10.9,59.4,1.231,0.57,False,C
Scoot Henderson,66,10.0,26.7,12.7,0.8,2.2,3.0,5.1,1.0,0.2,2.7,2.7,1.9,4.3,10.4,41.9,1.6,4.5,35.4,2.4,3.1,76.7,2.8,5.9,46.9,1.222,0.5,False,G
Toumani Camara,78,78.0,32.7,11.3,2.2,3.6,5.8,2.2,1.5,0.6,1.4,2.9,1.6,4.2,9.2,45.8,1.7,4.6,37.5,1.2,1.6,72.2,2.5,4.6,54.2,1.232,0.55,False,F
Dalano Banton,67,7.0,16.7,8.3,0.4,1.6,2.0,2.4,0.6,0.5,1.3,0.9,1.9,3.0,7.6,39.1,1.1,3.3,32.4,1.4,1.9,72.8,1.9,4.3,44.2,1.103,0.46,False,G
Matisse Thybulle,15,5.0,20.8,7.5,0.9,2.5,3.5,1.9,2.2,0.6,0.9,0.9,2.2,2.8,5.9,47.7,1.4,3.2,43.8,0.5,1.0,46.7,1.4,2.7,52.5,1.273,0.6,False,G
Donovan Clingan,67,37.0,19.8,6.5,3.2,4.6,7.9,1.1,0.5,1.6,1.1,2.8,1.1,2.7,5.0,53.9,0.2,0.7,28.6,0.9,1.6,59.6,2.5,4.3,58.2,1.305,0.56,False,C
Robert Williams III,20,3.0,17.6,5.8,1.8,4.2,5.9,1.1,0.7,1.7,0.9,1.6,1.2,2.5,3.9,64.1,0.1,0.2,33.3,0.8,0.9,88.2,2.5,3.8,65.3,1.487,0.65,False,C
Jabari Walker,60,1.0,12.5,5.2,1.0,2.5,3.5,0.6,0.6,0.1,0.6,1.5,1.1,2.0,3.8,51.5,0.5,1.2,38.9,0.8,1.2,69.0,1.5,2.6,57.3,1.367,0.58,False,F
Duop Reath,46,0.0,10.2,4.2,1.0,1.0,2.0,0.6,0.3,0.3,0.3,0.9,1.6,1.5,3.6,42.2,0.7,2.3,32.1,0.4,0.5,90.9,0.8,1.3,60.0,1.169,0.52,False,C
Kris Murray,69,6.0,15.1,4.2,1.1,1.5,2.6,1.0,0.5,0.2,0.6,1.0,1.6,1.7,4.0,41.9,0.4,1.7,22.5,0.4,0.8,45.6,1.3,2.3,56.6,1.029,0.47,False,F
Taze Moore,2,0.0,10.0,3.0,2.0,2.0,4.0,0.5,1.0,0.0,1.0,0.0,0.5,1.0,5.0,20.0,0.5,2.0,25.0,0.5,1.0,50.0,0.5,3.0,16.7,0.6,0.25,False,G
Rayan Rupert,52,0.0,8.8,3.0,0.5,0.8,1.3,0.5,0.3,0.1,0.6,0.7,0.8,1.1,2.7,40.8,0.3,1.1,27.1,0.4,0.6,76.7,0.8,1.6,50.6,1.092,0.46,False,G
Sidy Cissoko,5,0.0,12.0,2.0,1.0,1.2,2.2,1.8,0.2,0.2,1.8,0.8,1.0,0.8,2.4,33.3,0.0,1.2,0.0,0.4,0.6,66.7,0.8,1.2,66.7,0.833,0.33,True,G
Bryce McGowens,13,0.0,2.5,1.0,0.2,0.1,0.2,0.2,0.1,0.0,0.3,0.2,0.5,0.3,1.1,28.6,0.0,0.3,0.0,0.4,0.5,83.3,0.3,0.8,40.0,0.929,0.29,False,G
Justin Minaya,19,0.0,5.3,0.9,0.3,0.3,0.5,0.4,0.3,0.1,0.3,0.6,1.4,0.4,1.1,38.1,0.1,0.5,20.0,0.0,0.1,0.0,0.3,0.6,54.5,0.857,0.43,False,F
Total,82,,,110.9,13.4,31.4,44.8,23.8,8.3,5.3,15.1,19.0,1.6,40.5,90.2,45.0,12.9,37.7,34.2,16.9,22.2,76.2,27.7,52.5,52.7,1.229,0.52,False,Total
