Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,Traded,Position
De'Aaron Fox,45,45.0,37.0,25.0,1.0,4.0,5.0,6.1,1.5,0.4,3.0,2.6,2.1,9.2,19.6,46.9,2.0,6.4,32.2,4.5,5.5,82.9,7.2,13.3,53.9,1.273,0.52,True,G
Zach LaVine,32,32.0,36.6,22.4,0.3,3.2,3.5,3.8,0.6,0.1,2.7,1.8,1.4,8.2,16.0,51.1,3.2,7.2,44.6,2.8,3.2,87.4,5.0,8.8,56.4,1.398,0.61,True,G
DeMar DeRozan,77,77.0,35.9,22.2,0.6,3.2,3.9,4.4,0.8,0.4,1.4,1.9,3.3,8.1,17.0,47.7,1.1,3.3,32.8,4.9,5.7,85.7,7.0,13.7,51.3,1.307,0.51,False,G
Domantas Sabonis,70,70.0,34.7,19.1,3.8,10.1,13.9,6.0,0.7,0.4,2.9,3.3,2.1,7.5,12.8,59.0,0.9,2.2,41.7,3.1,4.1,75.4,6.6,10.5,62.7,1.497,0.63,False,F
Malik Monk,65,45.0,31.6,17.2,0.5,3.3,3.8,5.6,0.9,0.6,2.4,2.4,2.3,6.3,14.4,43.9,2.1,6.6,32.5,2.4,2.7,86.5,4.2,7.9,53.4,1.19,0.51,False,G
Keegan Murray,76,76.0,34.3,12.4,1.9,4.8,6.7,1.4,0.8,0.9,0.8,2.4,1.8,4.8,10.8,44.4,2.0,5.9,34.3,0.8,0.9,83.3,2.8,4.9,56.6,1.149,0.54,False,F
Jonas Valanciunas,32,9.0,16.9,8.7,2.2,4.8,7.0,1.8,0.5,0.6,1.0,2.6,1.8,3.6,6.4,55.6,0.0,0.3,10.0,1.6,1.8,84.7,3.5,6.1,57.9,1.361,0.56,True,C
Keon Ellis,80,28.0,24.4,8.3,0.8,1.9,2.7,1.5,1.5,0.8,0.9,2.2,1.7,2.8,5.8,48.9,1.7,4.0,43.3,0.9,1.1,84.9,1.1,1.8,61.5,1.435,0.64,False,G
Kevin Huerter,43,15.0,20.9,7.9,0.4,2.3,2.8,1.7,0.8,0.4,0.9,1.6,2.0,3.0,7.2,41.3,1.4,4.8,30.2,0.5,0.7,71.4,1.5,2.4,62.9,1.09,0.51,True,G
Trey Lyles,69,5.0,19.6,6.5,1.2,3.4,4.6,1.2,0.6,0.3,0.6,1.2,2.1,2.3,5.4,42.0,1.2,3.4,34.0,0.8,1.2,70.0,1.1,2.0,55.9,1.206,0.53,False,PF
Jake LaRavia,19,0.0,19.3,6.1,1.2,1.6,2.8,1.3,0.9,0.2,0.9,2.1,1.5,2.2,5.1,43.8,1.1,2.7,38.5,0.6,1.0,57.9,1.2,2.3,50.0,1.198,0.54,True,F
Devin Carter,36,0.0,11.0,3.8,0.5,1.6,2.1,1.1,0.6,0.1,0.5,1.1,2.3,1.3,3.5,37.0,0.5,1.7,29.5,0.7,1.2,59.1,0.8,1.8,43.9,1.087,0.44,False,G
Doug McDermott,42,3.0,8.1,3.5,0.1,0.5,0.5,0.2,0.1,0.0,0.1,0.7,1.2,1.2,2.8,42.7,1.0,2.4,43.6,0.1,0.1,60.0,0.1,0.4,37.5,1.256,0.62,False,F
Isaac Jones,40,0.0,7.6,3.4,0.6,0.9,1.4,0.3,0.1,0.3,0.4,0.8,0.8,1.4,2.1,65.1,0.1,0.2,37.5,0.6,0.9,63.9,1.3,1.9,68.0,1.614,0.67,False,C
Markelle Fultz,21,0.0,8.8,2.9,0.3,0.7,1.0,1.3,0.5,0.1,0.7,0.6,1.8,1.3,3.2,41.8,0.2,0.4,50.0,0.0,0.0,100.0,1.1,2.8,40.7,0.91,0.45,False,PG
Jae Crowder,9,2.0,11.4,2.6,0.7,1.6,2.2,0.7,0.3,0.0,0.4,1.1,1.5,0.8,2.4,31.8,0.4,1.7,26.7,0.6,0.7,83.3,0.3,0.8,42.9,1.045,0.41,False,PF
Mason Jones,10,0.0,4.5,2.3,0.2,0.7,0.9,1.1,0.0,0.1,0.1,0.3,11.0,0.9,1.8,50.0,0.1,0.8,12.5,0.4,0.5,80.0,0.8,1.0,80.0,1.278,0.53,False,G
Orlando Robinson,9,0.0,6.3,2.1,0.3,1.2,1.6,1.0,0.3,0.1,0.4,0.7,2.3,0.8,1.9,41.2,0.1,0.6,20.0,0.4,0.8,57.1,0.7,1.3,50.0,1.118,0.44,True,C
