Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,Traded,Position
Lauri Markkanen,47,47.0,31.4,19.0,1.5,4.4,5.9,1.5,0.7,0.4,1.4,1.7,1.1,6.3,14.9,42.3,2.9,8.5,34.6,3.4,3.9,87.6,3.4,6.4,52.5,1.274,0.52,False,F
John Collins,40,31.0,30.5,19.0,2.2,6.0,8.2,2.0,1.0,1.0,2.6,2.9,0.8,7.0,13.3,52.7,1.5,3.7,39.9,3.5,4.1,84.8,5.5,9.6,57.7,1.427,0.58,False,F
Collin Sexton,63,61.0,27.9,18.4,1.0,1.8,2.7,4.2,0.7,0.1,2.5,2.3,1.7,6.6,13.8,48.0,1.7,4.3,40.6,3.4,4.0,86.5,4.9,9.5,51.3,1.337,0.54,False,G
Keyonte George,67,35.0,31.5,16.8,0.4,3.4,3.8,5.6,0.7,0.1,2.7,1.7,2.1,5.4,13.7,39.1,2.6,7.6,34.3,3.5,4.3,81.8,2.8,6.1,44.9,1.224,0.49,False,G
Jordan Clarkson,37,9.0,26.0,16.2,0.7,2.5,3.2,3.7,0.8,0.2,2.3,1.4,1.6,5.4,13.3,40.8,2.3,6.3,36.2,3.1,3.9,79.7,3.2,7.1,44.8,1.217,0.49,False,G
Walker Kessler,58,58.0,30.0,11.1,4.6,7.6,12.2,1.7,0.6,2.4,1.5,2.2,1.1,4.8,7.2,66.3,0.1,0.6,17.6,1.4,2.6,52.0,4.7,6.6,70.6,1.53,0.67,False,C
Brice Sensabaugh,71,15.0,20.2,10.9,0.6,2.4,3.0,1.5,0.6,0.1,1.5,1.6,1.0,3.9,8.4,45.9,2.2,5.2,42.2,0.9,1.0,89.0,1.7,3.2,52.0,1.289,0.59,False,F
Kyle Filipowski,72,27.0,21.1,9.6,1.6,4.6,6.1,1.9,0.7,0.3,1.4,2.4,1.4,3.6,7.2,50.2,1.1,3.1,35.0,1.3,2.0,65.0,2.5,4.1,61.4,1.332,0.58,False,F
Johnny Juzang,64,18.0,19.8,8.9,0.7,2.2,2.9,1.1,0.6,0.1,0.6,2.0,1.9,3.2,7.4,42.9,1.8,4.9,37.6,0.7,0.8,84.9,1.3,2.5,53.4,1.202,0.55,False,G
Svi Mykhailiuk,38,13.0,20.0,8.8,0.6,1.8,2.4,2.0,0.5,0.2,1.4,1.1,1.5,3.1,7.9,39.1,1.8,5.3,34.5,0.7,0.9,80.0,1.3,2.6,48.5,1.106,0.51,False,G
Isaiah Collier,71,46.0,25.9,8.7,0.5,2.9,3.3,6.3,0.9,0.2,2.9,2.1,2.1,3.3,7.8,42.2,0.6,2.4,24.9,1.5,2.2,68.2,2.7,5.4,49.7,1.108,0.46,False,G
Oscar Tshiebwe,14,1.0,18.2,7.6,3.3,5.4,8.7,0.6,0.9,0.1,0.7,1.7,0.9,3.0,5.0,60.0,0.0,0.0,0.0,1.6,2.2,74.2,3.0,5.0,60.0,1.529,0.6,False,C
KJ Martin,19,9.0,22.7,6.3,0.5,2.3,2.8,1.5,0.3,0.3,0.6,2.1,2.4,2.6,5.4,49.0,0.4,1.9,18.9,0.7,0.9,72.2,2.3,3.4,66.2,1.176,0.52,True,F
Drew Eubanks,37,4.0,15.4,5.8,1.1,3.5,4.5,1.2,0.3,0.9,0.8,1.2,1.5,2.4,3.9,60.7,0.1,0.1,60.0,1.0,1.5,63.2,2.3,3.8,60.7,1.483,0.62,True,F
Taylor Hendricks,3,3.0,25.0,4.7,1.7,3.3,5.0,0.7,1.7,1.3,0.7,2.7,1.0,1.3,6.0,22.2,1.0,4.0,25.0,1.0,1.3,75.0,0.3,2.0,16.7,0.778,0.31,False,F
Cody Williams,50,21.0,21.2,4.6,0.5,1.7,2.3,1.2,0.5,0.3,0.9,1.9,1.3,1.7,5.1,32.3,0.7,2.7,25.9,0.6,0.8,72.5,1.0,2.4,39.3,0.895,0.39,False,F
Patty Mills,17,0.0,15.3,4.4,0.2,1.1,1.2,1.2,0.7,0.2,0.9,0.7,1.3,1.5,4.5,34.2,1.0,3.4,29.8,0.3,0.3,100.0,0.5,1.1,47.4,0.974,0.45,True,PG
Micah Potter,38,10.0,18.6,4.3,1.1,3.2,4.3,0.8,0.4,0.4,0.8,1.3,1.0,1.5,3.6,42.2,0.8,2.6,31.6,0.4,0.5,85.0,0.7,1.0,70.3,1.2,0.54,False,C
Jaden Springer,17,2.0,13.2,3.8,0.8,1.2,2.0,1.4,0.7,0.2,0.7,1.5,1.9,1.4,3.3,41.1,0.4,1.7,20.7,0.7,1.0,70.6,1.0,1.6,63.0,1.143,0.46,True,G
Elijah Harkless,10,0.0,13.8,3.2,0.9,1.2,2.1,0.8,1.0,0.1,0.3,1.8,2.7,1.1,3.5,31.4,0.7,2.5,28.0,0.3,0.6,50.0,0.4,1.0,40.0,0.914,0.41,False,G
Total,82,,,111.9,12.0,33.4,45.4,25.5,6.8,4.4,16.5,18.9,1.6,40.3,88.7,45.4,14.0,39.8,35.0,17.3,22.4,77.4,26.4,48.8,54.0,1.262,0.53,False,Total
