Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,Traded,Position
Jordan Poole,68,68.0,29.4,20.5,0.5,2.5,3.0,4.5,1.3,0.4,3.0,3.0,1.5,6.7,15.5,43.2,3.5,9.1,37.8,3.6,4.0,88.3,3.3,6.4,51.0,1.316,0.54,False,G
Kyle Kuzma,32,30.0,27.7,15.2,0.8,4.9,5.8,2.5,0.6,0.2,2.3,1.6,1.1,6.0,14.2,42.0,1.4,5.0,28.1,1.8,3.1,60.2,4.6,9.2,49.5,1.068,0.47,True,F
Alex Sarr,67,67.0,27.1,13.0,1.9,4.6,6.5,2.4,0.7,1.5,1.7,2.2,1.4,4.9,12.4,39.4,1.6,5.1,30.8,1.7,2.5,67.9,3.3,7.3,45.4,1.05,0.46,False,C
Malcolm Brogdon,24,13.0,23.5,12.7,0.9,2.9,3.8,4.1,0.5,0.2,1.6,1.3,2.6,4.3,10.0,43.3,0.7,2.3,28.6,3.4,3.8,88.0,3.7,7.7,47.8,1.271,0.47,False,G
Bilal Coulibaly,59,59.0,33.0,12.3,1.5,3.4,5.0,3.4,1.3,0.7,2.1,2.4,1.6,4.5,10.6,42.1,1.1,3.8,28.1,2.3,3.1,74.6,3.4,6.8,50.0,1.165,0.47,False,G
Corey Kispert,61,0.0,26.3,11.6,0.6,2.4,3.0,1.7,0.4,0.2,1.0,1.6,1.6,4.2,9.3,45.1,2.0,5.4,36.4,1.2,1.4,85.2,2.2,3.9,57.4,1.248,0.56,False,F
Jonas Valanciunas,49,12.0,20.0,11.5,2.4,5.8,8.2,2.2,0.4,0.6,1.8,2.0,1.2,4.7,8.6,54.7,0.1,0.6,25.9,1.9,2.2,89.6,4.6,8.1,56.7,1.336,0.56,True,C
Khris Middleton,14,14.0,22.1,10.7,0.6,3.1,3.7,3.4,1.3,0.2,1.4,1.6,2.5,3.7,9.0,41.3,0.9,3.4,27.7,2.4,2.7,86.8,2.8,5.6,49.4,1.19,0.46,True,F
Bub Carrington,82,57.0,30.0,9.8,0.4,3.8,4.2,4.4,0.7,0.3,1.7,2.3,2.6,3.7,9.1,40.1,1.7,5.0,33.9,0.8,1.0,81.2,2.0,4.2,47.5,1.079,0.49,False,G
Tristan Vukcevic,35,1.0,14.7,9.4,0.7,3.0,3.7,1.1,0.3,0.7,1.2,1.6,0.9,3.4,6.9,49.6,1.1,2.9,37.3,1.5,1.9,77.6,2.3,4.0,58.6,1.364,0.57,False,F
Marcus Smart,15,1.0,18.7,9.3,0.3,1.7,1.9,2.5,1.1,0.2,1.3,1.5,2.0,3.2,7.3,44.0,1.3,3.4,39.2,1.6,2.3,68.6,1.9,3.9,48.3,1.284,0.53,True,G
AJ Johnson,22,11.0,27.0,9.1,0.4,2.0,2.4,3.1,0.5,0.1,1.4,2.3,2.2,3.4,8.8,38.1,1.0,3.9,24.7,1.4,1.6,88.6,2.4,5.0,48.6,1.031,0.44,True,G
Justin Champagnie,62,31.0,21.6,8.8,1.8,3.9,5.7,1.0,1.0,0.6,0.9,1.8,1.1,3.4,6.6,51.1,1.2,3.1,38.3,0.8,1.2,68.5,2.2,3.5,62.4,1.324,0.6,False,F
Colby Jones,15,0.0,25.7,8.7,0.9,3.4,4.3,2.5,1.3,0.4,1.1,1.6,2.3,3.2,6.9,46.6,0.8,2.6,30.8,1.5,2.3,65.7,2.4,4.3,56.3,1.272,0.52,True,G
Kyshawn George,68,38.0,26.5,8.7,0.7,3.5,4.2,2.5,1.0,0.7,1.4,3.0,1.7,3.0,8.0,37.2,1.7,5.2,32.2,1.0,1.4,75.3,1.3,2.8,46.4,1.081,0.48,False,F
Richaun Holmes,31,7.0,17.2,7.4,2.0,3.7,5.7,1.4,0.3,0.7,0.7,1.6,2.0,2.9,4.5,64.7,0.0,0.1,0.0,1.6,1.9,83.3,2.9,4.4,66.2,1.655,0.65,False,F
