Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,Position,Traded
Jalen Johnson,47,47.0,35.6,23.2,1.6,9.0,10.5,8.0,1.3,0.5,3.5,2.1,2.3,8.6,17.2,50.2,1.7,4.7,36.4,4.3,5.5,77.5,6.9,12.5,55.4,1.351,0.55,F,False
Nickeil Alexander-Walker,50,43.0,32.9,20.3,0.6,2.9,3.5,3.5,1.1,0.6,2.0,2.1,1.8,6.9,15.8,43.8,3.1,8.3,38.0,3.4,3.8,87.5,3.8,7.5,50.1,1.288,0.54,G,False
Trae Young,10,10.0,28.0,19.3,0.0,1.5,1.5,8.9,1.0,0.1,2.6,2.0,3.4,5.6,13.5,41.5,1.8,5.9,30.5,6.3,7.3,86.3,3.8,7.6,50.0,1.43,0.48,G,False
CJ McCollum,12,1.0,27.4,18.7,0.8,2.8,3.5,3.3,0.8,0.5,1.7,1.7,2.0,7.3,15.6,47.1,2.3,6.3,37.3,1.7,2.6,64.5,5.0,9.3,53.6,1.198,0.55,G,True
Kristaps Porzingis,17,12.0,24.3,17.1,1.2,3.9,5.1,2.7,0.5,1.3,0.9,3.2,2.9,5.6,12.4,45.7,1.8,5.1,36.0,4.0,4.8,84.0,3.8,7.3,52.4,1.386,0.53,C,False
Onyeka Okongwu,47,36.0,32.0,16.3,1.9,6.0,7.9,3.3,1.2,1.0,2.0,3.5,1.7,6.1,12.6,48.2,2.0,5.4,36.7,2.1,2.7,78.1,4.1,7.1,57.0,1.293,0.56,F,False
Dyson Daniels,50,50.0,33.8,11.4,2.2,4.3,6.5,6.3,1.9,0.4,2.0,2.2,3.1,5.1,10.3,49.7,0.2,1.4,12.7,1.0,1.7,61.9,4.9,8.8,55.7,1.113,0.51,G,False
Zaccharie Risacher,38,38.0,24.5,11.0,0.9,2.5,3.4,1.4,0.9,0.5,0.9,2.2,1.5,4.3,9.2,46.3,1.6,4.3,35.8,0.9,1.4,61.8,2.7,4.9,55.7,1.191,0.55,F,False
Corey Kispert,12,6.0,19.9,9.9,0.4,1.8,2.2,1.7,0.5,0.1,0.8,0.7,2.0,3.5,8.0,43.8,1.6,4.5,35.2,1.3,1.6,84.2,1.9,3.5,54.8,1.24,0.54,F,True
Vit Krejci,46,8.0,22.3,9.0,0.4,1.7,2.1,1.5,0.8,0.3,0.7,2.3,2.3,3.1,6.7,46.4,2.2,5.2,42.3,0.6,0.8,75.0,0.9,1.5,60.9,1.344,0.63,G,True
Luke Kennard,46,0.0,20.5,7.9,0.4,1.7,2.2,2.1,0.7,0.1,0.7,1.2,3.0,2.8,5.2,53.8,1.6,3.2,49.7,0.7,0.8,91.4,1.2,2.0,60.4,1.517,0.69,G,False
Asa Newell,35,0.0,11.0,5.2,0.9,1.2,2.1,0.5,0.4,0.3,0.5,1.6,0.9,2.1,3.8,54.5,0.7,1.8,41.9,0.4,0.6,59.1,1.3,2.0,65.7,1.386,0.64,F,False
Mouhamed Gueye,50,5.0,16.4,4.9,1.2,2.4,3.6,1.0,0.9,0.6,0.5,1.8,1.9,1.9,4.3,43.9,0.5,1.8,27.5,0.6,1.0,62.0,1.4,2.5,56.1,1.14,0.5,F,False
Keaton Wallace,39,2.0,11.4,3.9,0.1,1.1,1.2,2.1,0.5,0.1,0.6,0.9,3.6,1.4,3.5,41.5,0.8,2.1,39.8,0.2,0.3,54.5,0.6,1.3,44.2,1.119,0.54,G,False
Christian Koloko,7,2.0,15.0,3.9,1.0,2.0,3.0,0.6,0.3,1.0,0.7,3.0,0.8,1.7,3.6,48.0,0.1,0.6,25.0,0.3,0.3,100.0,1.6,3.0,52.4,1.08,0.5,C,True
Caleb Houstan,10,0.0,4.9,2.3,0.4,0.1,0.5,0.2,0.1,0.1,0.4,0.6,0.5,0.7,1.5,46.7,0.6,1.2,50.0,0.3,0.3,100.0,0.1,0.3,33.3,1.533,0.67,G,False
Jacob Toppin,5,0.0,3.4,1.6,0.0,0.2,0.2,0.2,0.0,0.2,0.0,0.2,inf,0.8,1.2,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.2,66.7,1.333,0.67,F,False
N'Faly Dante,4,0.0,3.8,0.8,0.8,1.0,1.8,0.0,0.5,0.0,0.3,0.3,0.0,0.3,1.0,25.0,0.0,0.0,0.0,0.3,0.3,100.0,0.3,1.0,25.0,0.75,0.25,C,False
RayJ Dennis,1,0.0,5.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,inf,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,G,True
Total,52,,,117.3,9.9,32.3,42.2,30.7,9.4,4.6,13.6,19.9,2.3,43.3,91.5,47.3,14.6,39.2,37.3,16.1,20.8,77.3,28.7,52.3,54.9,1.283,0.55,Total,False
