Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,Position,Traded
Michael Porter Jr.,39,39.0,33.1,25.5,1.3,6.0,7.3,3.2,1.1,0.3,2.5,2.1,1.3,9.0,18.8,48.0,3.7,9.6,38.9,3.7,4.4,84.7,5.3,9.3,57.3,1.353,0.58,F,False
Cam Thomas,24,8.0,24.3,15.6,0.4,1.4,1.8,3.1,0.2,0.1,2.0,1.3,1.5,5.1,12.8,39.9,1.6,4.9,32.5,3.8,4.5,84.3,3.5,8.0,44.5,1.218,0.46,G,False
Noah Clowney,44,38.0,28.6,13.0,1.0,3.3,4.3,1.9,0.8,0.8,1.8,2.7,1.1,4.0,10.2,38.9,2.0,6.5,31.5,3.0,3.7,80.2,1.9,3.7,51.8,1.267,0.49,F,False
Nic Claxton,47,46.0,29.3,12.2,2.6,4.7,7.3,4.0,0.7,1.3,1.4,2.4,2.8,5.0,8.6,57.8,0.0,0.3,16.7,2.2,3.5,62.0,4.9,8.4,59.0,1.415,0.58,C,False
Egor Demin,43,36.0,24.7,10.5,0.5,2.6,3.1,3.3,0.8,0.3,1.8,1.8,1.8,3.5,8.8,40.2,2.5,6.3,39.5,1.0,1.1,85.7,1.0,2.5,42.1,1.198,0.54,G,False
Ziaire Williams,35,4.0,22.9,9.7,0.6,1.9,2.5,0.8,1.1,0.5,1.0,2.2,0.8,3.1,7.5,41.2,1.6,5.2,31.1,1.9,2.1,88.0,1.5,2.3,64.6,1.294,0.52,F,False
Day'Ron Sharpe,47,3.0,18.4,8.2,2.7,4.0,6.6,2.3,1.1,0.4,1.6,2.2,1.4,3.1,5.1,61.0,0.1,0.7,22.6,1.8,2.7,68.0,3.0,4.5,66.7,1.602,0.62,C,False
Danny Wolf,35,7.0,19.9,7.7,1.1,3.4,4.5,1.9,0.6,0.4,1.1,1.9,1.8,2.8,7.2,38.9,1.1,3.5,31.4,1.1,1.3,80.4,1.7,3.7,45.8,1.075,0.46,F,False
Terance Mann,43,40.0,25.4,7.6,1.2,2.1,3.3,3.4,0.7,0.2,1.1,2.6,3.0,2.8,6.2,45.1,0.9,2.5,33.9,1.2,1.4,82.3,1.9,3.7,52.9,1.233,0.52,G,False
Tyrese Martin,37,6.0,18.8,7.3,0.9,2.0,2.9,1.9,0.6,0.1,0.9,0.8,2.1,2.7,6.9,39.2,1.4,4.1,33.6,0.5,0.7,73.1,1.3,2.8,47.6,1.059,0.49,G,False
Drake Powell,38,9.0,18.9,6.1,0.3,1.3,1.6,1.6,0.6,0.1,1.0,1.4,1.6,2.1,4.8,44.2,0.7,2.4,30.8,1.1,1.2,91.3,1.4,2.4,57.8,1.271,0.52,G,False
Nolan Traore,27,4.0,19.4,6.0,0.2,1.2,1.4,2.9,0.4,0.4,1.4,1.7,2.1,2.1,6.1,35.2,0.9,2.7,31.1,0.9,1.1,79.3,1.3,3.4,38.5,0.982,0.42,G,False
Jalen Wilson,33,0.0,14.5,5.5,0.2,1.3,1.5,0.6,0.3,0.1,0.5,1.3,1.3,1.7,4.5,38.0,1.0,2.8,36.2,1.0,1.3,75.0,0.7,1.7,41.1,1.207,0.49,F,False
Ben Saraf,18,5.0,17.4,4.6,0.3,1.2,1.5,2.6,0.8,0.2,1.8,1.2,1.4,1.6,4.8,32.2,0.6,2.4,25.6,0.9,1.2,76.2,0.9,2.4,38.6,0.954,0.39,G,False
E.J. Liddell,10,0.0,4.9,2.2,0.3,0.8,1.1,0.0,0.1,0.0,0.0,0.4,0.0,0.8,1.7,47.1,0.4,1.1,36.4,0.2,0.3,66.7,0.4,0.6,66.7,1.294,0.59,F,False
Tyson Etienne,8,0.0,4.3,1.5,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.6,1.0,0.5,1.9,26.7,0.5,1.6,30.8,0.0,0.0,0.0,0.0,0.3,0.0,0.8,0.4,G,False
Total,49,,,107.1,11.0,29.4,40.4,25.2,7.5,4.3,14.7,20.0,1.7,37.6,85.0,44.3,13.8,40.4,34.1,18.0,23.1,78.1,23.8,44.6,53.5,1.26,0.52,Total,False
