Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,Position,Traded
Jaylen Brown,46,46.0,34.3,29.5,1.2,5.8,7.0,4.8,1.0,0.4,3.6,2.8,1.3,10.9,22.5,48.6,2.2,5.9,36.3,5.5,7.0,77.5,8.8,16.6,53.0,1.31,0.53,G,False
Derrick White,49,49.0,34.2,17.3,1.0,3.4,4.5,5.6,1.2,1.4,1.9,1.7,2.9,6.0,15.4,39.0,2.9,8.8,32.3,2.4,2.7,89.5,3.1,6.5,48.1,1.125,0.48,G,False
Payton Pritchard,50,48.0,32.6,17.1,0.9,3.4,4.3,5.3,0.7,0.1,1.1,1.4,4.9,6.5,14.0,46.0,2.6,7.2,35.4,1.7,1.9,85.6,3.9,6.8,57.4,1.221,0.55,G,False
Anfernee Simons,49,0.0,24.5,14.2,0.5,1.9,2.4,2.4,0.6,0.1,1.1,1.7,2.1,5.1,11.6,44.0,2.7,6.7,39.5,1.3,1.5,88.9,2.4,4.9,50.2,1.222,0.55,G,False
Neemias Queta,48,47.0,25.4,10.1,3.0,5.3,8.3,1.5,0.9,1.4,1.0,2.8,1.5,4.3,6.7,63.7,0.0,0.1,0.0,1.6,2.3,67.0,4.3,6.6,64.8,1.509,0.64,C,False
Sam Hauser,49,21.0,23.9,9.2,0.7,3.2,3.8,1.4,0.6,0.3,0.6,1.4,2.6,3.2,7.7,41.3,2.6,6.6,39.5,0.2,0.2,91.7,0.6,1.0,52.9,1.197,0.58,F,False
Luka Garza,42,2.0,17.1,8.1,2.5,1.8,4.3,1.1,0.5,0.5,0.6,2.4,1.8,3.0,5.0,59.0,0.8,1.7,45.7,1.4,1.8,78.7,2.2,3.4,65.5,1.608,0.67,C,False
Josh Minott,33,10.0,15.9,5.8,1.2,2.4,3.6,1.0,0.7,0.4,0.6,1.5,1.7,2.1,4.1,50.7,1.0,2.3,44.2,0.6,0.8,76.9,1.1,1.8,59.3,1.412,0.63,F,False
Jordan Walsh,46,20.0,18.3,5.5,1.4,2.9,4.3,0.8,0.8,0.5,0.5,2.2,1.6,2.0,4.0,51.4,0.7,1.8,37.8,0.7,1.0,77.3,1.4,2.2,62.4,1.383,0.6,G,False
Hugo Gonzalez,46,2.0,15.4,3.9,0.9,2.5,3.4,0.6,0.6,0.3,0.6,1.8,1.0,1.6,3.4,47.1,0.5,1.6,34.7,0.2,0.5,47.6,1.0,1.8,57.8,1.168,0.55,G,False
Baylor Scheierman,46,6.0,13.8,3.5,0.4,2.0,2.4,0.9,0.6,0.1,0.4,1.4,2.1,1.2,2.8,44.5,0.8,2.0,40.4,0.2,0.3,83.3,0.4,0.7,55.9,1.266,0.59,G,False
Ron Harper Jr.,8,1.0,8.5,3.0,0.9,1.0,1.9,0.9,0.1,0.4,0.1,0.9,7.0,1.1,3.0,37.5,0.8,2.4,31.6,0.0,0.0,0.0,0.4,0.6,60.0,1.0,0.5,G,False
Chris Boucher,9,0.0,10.4,2.3,0.2,1.8,2.0,0.3,0.6,0.8,0.1,1.9,3.0,0.9,2.8,32.0,0.2,1.7,13.3,0.3,0.4,75.0,0.7,1.1,60.0,0.84,0.36,F,False
Xavier Tillman,14,1.0,7.9,2.2,0.7,1.1,1.8,0.4,0.4,0.1,0.4,0.6,1.0,1.0,2.2,45.2,0.2,1.1,20.0,0.0,0.0,0.0,0.8,1.1,68.8,1.0,0.5,F,False
Amari Williams,13,2.0,8.2,1.7,0.5,1.6,2.1,0.5,0.2,0.7,0.5,1.1,1.0,0.5,1.2,46.7,0.0,0.0,0.0,0.6,0.9,66.7,0.5,1.2,46.7,1.467,0.47,F,False
Max Shulga,1,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,G,False
Total,51,,,115.9,12.8,32.5,45.3,24.0,7.7,5.2,11.3,20.0,2.1,42.8,91.4,46.9,15.6,42.5,36.7,14.6,18.5,79.1,27.2,48.9,55.7,1.268,0.55,Total,False
