Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,Position,Traded
Brandon Miller,34,34.0,30.3,20.6,1.1,3.6,4.7,3.4,1.0,0.9,2.5,2.6,1.3,7.1,16.6,43.1,2.9,8.0,36.6,3.4,3.9,87.9,4.2,8.6,49.1,1.245,0.52,F,False
LaMelo Ball,41,38.0,27.4,19.1,0.9,4.0,4.9,7.5,1.1,0.2,3.1,2.6,2.4,6.7,16.6,40.6,3.3,9.2,36.3,2.3,2.6,88.8,3.4,7.4,45.9,1.153,0.51,G,False
Kon Knueppel,50,49.0,32.0,18.7,1.2,4.3,5.5,3.6,0.7,0.2,2.2,2.2,1.7,6.5,13.4,48.2,3.3,7.8,42.5,2.5,2.8,89.2,3.1,5.6,56.3,1.397,0.61,G,False
Miles Bridges,50,50.0,32.4,18.3,1.0,5.1,6.1,3.5,0.5,0.5,1.4,1.9,2.4,6.5,14.6,44.7,2.2,6.5,33.0,3.1,3.7,83.6,4.4,8.1,54.1,1.251,0.52,F,False
Collin Sexton,42,12.0,22.3,14.2,0.4,1.5,1.9,3.7,0.9,0.2,2.1,1.8,1.8,4.8,9.9,48.8,1.4,3.5,39.3,3.2,3.7,87.7,3.5,6.4,53.9,1.44,0.56,G,False
Ryan Kalkbrenner,39,26.0,23.4,8.6,2.4,3.7,6.1,0.7,0.5,1.5,1.1,1.7,0.6,3.6,4.7,77.2,0.0,0.1,0.0,1.3,1.9,67.1,3.6,4.7,78.0,1.821,0.77,C,False
Moussa Diabate,47,21.0,25.0,8.4,3.6,4.9,8.5,1.5,0.7,1.0,0.9,2.5,1.7,3.3,5.1,64.0,0.0,0.0,100.0,1.8,2.8,65.6,3.2,5.1,63.9,1.644,0.64,F,False
Tre Mann,30,1.0,16.3,7.5,0.6,1.6,2.3,2.2,0.5,0.1,1.3,1.7,1.7,2.8,7.6,37.4,1.3,4.0,32.8,0.5,0.6,84.2,1.5,3.6,42.6,0.991,0.46,G,False
PJ Hall,8,2.0,15.9,7.0,2.5,2.9,5.4,0.6,0.1,0.9,1.3,1.6,0.5,2.6,4.4,60.0,0.3,0.3,100.0,1.5,2.1,70.6,2.4,4.1,57.6,1.6,0.63,C,True
Tidjane Salaun,31,0.0,16.0,6.4,0.8,3.6,4.4,0.8,0.4,0.2,0.8,1.5,1.1,2.4,4.5,51.8,1.0,2.3,44.3,0.7,1.0,70.0,1.4,2.3,59.2,1.404,0.63,F,False
KJ Simpson,14,2.0,15.9,6.0,0.4,1.7,2.1,2.5,1.1,0.0,1.7,1.0,1.5,2.2,6.4,34.8,0.9,2.8,30.8,0.7,1.1,62.5,1.4,3.6,38.0,0.944,0.42,G,False
Grant Williams,10,0.0,17.7,5.8,1.0,3.0,4.0,1.1,0.5,0.2,0.6,1.2,1.8,1.9,5.3,35.8,1.0,3.8,26.3,1.0,1.3,76.9,0.9,1.5,60.0,1.094,0.45,F,False
Sion James,51,18.0,24.2,5.7,0.6,2.9,3.5,1.9,0.5,0.3,0.9,1.8,2.2,1.7,4.7,37.4,0.9,2.7,34.5,1.3,1.5,85.5,0.8,1.9,41.4,1.223,0.47,G,False
Josh Green,27,0.0,15.7,4.2,1.0,1.0,2.0,1.0,0.5,0.1,0.6,1.1,1.6,1.4,3.4,42.9,1.0,2.4,39.4,0.3,0.4,81.8,0.5,0.9,52.0,1.242,0.57,G,False
Liam McNeeley,28,0.0,12.2,4.1,0.4,1.8,2.1,0.8,0.2,0.1,0.4,1.3,1.9,1.2,3.1,38.6,0.8,2.1,37.9,0.9,1.1,80.6,0.4,1.1,40.0,1.307,0.51,G,False
Antonio Reeves,7,0.0,8.0,3.0,0.1,0.6,0.7,0.3,0.1,0.0,0.0,0.4,inf,1.1,2.3,50.0,0.7,1.4,50.0,0.0,0.0,0.0,0.4,0.9,50.0,1.313,0.66,G,False
Pat Connaughton,22,0.0,7.0,2.9,0.3,1.1,1.4,0.6,0.2,0.0,0.1,0.2,4.7,1.0,2.0,48.9,0.5,1.2,40.7,0.4,0.6,61.5,0.5,0.8,61.1,1.4,0.61,G,False
Mason Plumlee,14,2.0,8.9,1.9,0.7,2.1,2.9,1.1,0.4,0.0,0.6,0.7,1.8,0.6,0.9,75.0,0.0,0.0,0.0,0.6,0.9,66.7,0.6,0.9,75.0,2.167,0.75,C,False
Drew Peterson,6,0.0,10.7,0.8,0.5,1.0,1.5,0.3,0.5,0.2,0.0,0.5,inf,0.3,2.7,12.5,0.0,2.0,0.0,0.2,0.3,50.0,0.3,0.7,50.0,0.313,0.13,F,False
Total,51,,,116.0,12.3,33.8,46.0,26.6,6.6,4.6,14.8,19.1,1.8,41.1,88.9,46.3,15.2,41.1,37.0,18.5,22.8,81.3,25.9,47.8,54.3,1.305,0.55,Total,False
