Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,Position,Traded
Coby White,29,26.0,29.1,18.6,0.2,3.5,3.7,4.7,0.7,0.1,3.0,2.4,1.5,5.9,13.6,43.8,2.5,7.2,34.6,4.3,5.3,80.5,3.4,6.4,54.1,1.374,0.53,G,False
Josh Giddey,34,31.0,32.1,18.6,1.2,7.4,8.6,8.8,0.9,0.3,3.5,1.6,2.5,6.4,13.8,46.2,1.7,4.7,36.6,4.1,5.2,77.5,4.6,9.1,51.1,1.343,0.52,G,False
Nikola Vucevic,48,48.0,30.8,16.9,2.1,6.9,9.0,3.8,0.7,0.6,1.4,2.0,2.6,6.9,13.8,50.5,1.7,4.5,37.6,1.3,1.5,83.8,5.2,9.2,56.8,1.227,0.57,C,False
Ayo Dosunmu,45,10.0,26.4,15.0,0.7,2.3,3.0,3.6,0.8,0.3,1.4,1.7,2.7,5.6,10.8,51.4,1.9,4.3,45.1,2.0,2.3,85.7,3.6,6.5,55.6,1.393,0.6,G,False
Matas Buzelis,51,51.0,28.2,14.9,1.1,4.2,5.3,2.0,0.6,1.5,1.8,2.5,1.1,5.4,11.4,47.3,2.0,5.4,36.6,2.2,2.9,77.4,3.4,5.9,57.1,1.316,0.56,F,False
Tre Jones,38,20.0,26.8,12.4,0.6,2.3,3.0,5.8,1.3,0.2,1.4,1.4,4.3,4.4,7.9,55.0,0.6,1.7,32.8,3.1,3.6,84.8,3.8,6.3,60.9,1.556,0.58,G,False
Kevin Huerter,44,11.0,23.6,10.9,0.5,3.3,3.8,2.6,0.8,0.6,1.1,1.9,2.4,4.2,9.2,45.5,1.6,5.1,31.4,0.9,1.3,73.2,2.6,4.1,63.0,1.186,0.54,G,False
Jalen Smith,42,11.0,20.1,10.1,1.9,5.0,6.9,1.3,0.4,0.8,1.0,2.0,1.3,3.7,7.5,48.6,1.6,4.1,38.6,1.2,1.6,72.5,2.1,3.5,60.3,1.338,0.59,F,False
Zach Collins,10,0.0,18.4,9.7,1.6,4.0,5.6,1.5,0.2,0.4,1.0,1.8,1.5,3.7,6.4,57.8,0.9,2.1,42.9,1.4,2.0,70.0,2.8,4.3,65.1,1.516,0.65,F,False
Isaac Okoro,43,43.0,25.7,8.7,1.1,1.6,2.7,1.5,0.6,0.5,0.6,2.5,2.3,3.2,6.9,47.1,1.1,3.1,34.1,1.2,1.6,76.1,2.2,3.7,58.1,1.271,0.55,F,False
Patrick Williams,47,2.0,18.7,6.7,0.7,2.3,3.0,1.2,0.6,0.3,1.0,1.3,1.2,2.4,6.3,38.0,1.3,3.3,38.2,0.7,1.0,70.2,1.1,2.9,37.7,1.075,0.48,F,False
Yuki Kawamura,3,0.0,21.3,5.7,0.7,4.0,4.7,5.0,1.3,0.0,0.3,1.3,15.0,1.3,4.3,30.8,1.0,3.7,27.3,2.0,2.0,100.0,0.3,0.7,50.0,1.308,0.42,G,False
Jevon Carter,23,0.0,11.0,5.4,0.2,0.9,1.1,0.8,0.6,0.1,0.5,0.8,1.7,1.8,4.5,39.8,1.4,3.4,41.0,0.4,0.4,100.0,0.4,1.1,36.0,1.204,0.55,G,False
Dalen Terry,34,0.0,11.1,3.5,0.6,1.3,1.9,1.3,0.6,0.3,0.6,1.0,2.0,1.3,3.0,44.1,0.6,1.4,41.3,0.3,0.5,52.9,0.8,1.6,46.4,1.157,0.53,F,False
Emanuel Miller,5,0.0,6.6,3.0,0.2,0.4,0.6,0.8,0.4,0.0,0.0,0.4,inf,1.2,2.6,46.2,0.4,1.2,33.3,0.2,0.4,50.0,0.8,1.4,57.1,1.154,0.54,F,False
Julian Phillips,35,2.0,9.5,2.8,0.6,0.6,1.3,0.2,0.5,0.2,0.2,0.9,1.0,1.1,2.5,42.0,0.5,1.4,32.7,0.3,0.3,81.8,0.6,1.1,53.8,1.125,0.51,F,False
Trentyn Flowers,2,0.0,3.0,2.0,0.5,0.0,0.5,0.5,0.0,0.0,0.5,0.5,1.0,1.0,1.5,66.7,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,100.0,1.333,0.67,F,False
Lachlan Olbrich,14,0.0,7.8,1.2,0.8,1.8,2.6,0.8,0.1,0.1,0.3,1.6,2.8,0.4,1.2,35.3,0.1,0.4,16.7,0.3,0.7,40.0,0.4,0.8,45.5,1.0,0.38,C,False
Noa Essengue,2,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,1.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,F,False
Total,51,,,117.2,10.1,35.1,45.3,29.5,7.3,5.0,13.7,18.7,2.2,42.7,90.3,47.3,14.6,39.7,36.8,17.1,21.8,78.6,28.1,50.6,55.5,1.297,0.55,Total,False
