Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,Position,Traded
Donovan Mitchell,47,48.0,33.9,28.8,0.8,3.8,4.6,5.8,1.5,0.2,3.1,2.4,1.9,10.0,20.7,48.3,3.7,9.7,38.2,5.0,5.9,84.2,6.3,11.0,57.3,1.387,0.57,G,False
Darius Garland,26,26.0,30.5,18.0,0.5,2.0,2.4,6.9,0.8,0.1,2.8,1.8,2.5,6.5,14.5,45.1,2.3,6.3,36.0,2.6,3.0,86.1,4.3,8.2,52.1,1.239,0.53,G,False
Evan Mobley,42,40.0,33.4,17.9,2.3,6.5,8.8,4.0,0.9,2.0,2.1,2.5,1.9,6.9,13.5,51.2,1.1,3.8,30.4,2.9,4.6,63.5,5.8,9.8,59.3,1.324,0.55,C,False
Jarrett Allen,39,40.0,27.1,14.0,2.3,5.7,8.0,2.0,1.0,0.9,1.4,1.8,1.4,5.5,9.1,60.5,0.0,0.2,11.1,3.0,4.0,75.5,5.5,8.8,61.7,1.542,0.61,C,False
Jaylon Tyson,46,32.0,27.9,14.0,2.0,3.5,5.5,2.4,0.9,0.4,1.5,2.7,1.6,5.3,10.3,51.6,2.1,4.5,47.3,1.2,1.6,76.7,3.2,5.9,54.8,1.354,0.62,G,False
De'Andre Hunter,43,23.0,26.2,14.0,0.7,3.6,4.2,2.1,0.7,0.1,1.7,2.5,1.3,4.7,11.2,42.3,1.7,5.5,30.8,2.8,3.2,86.9,3.0,5.7,53.5,1.245,0.5,F,True
Sam Merrill,27,19.0,25.6,13.6,0.7,1.6,2.3,2.4,0.6,0.1,0.9,2.7,2.6,4.4,9.4,47.1,3.5,7.6,45.9,1.2,1.4,86.8,1.0,1.9,52.0,1.439,0.65,G,False
Nae'Qwan Tomlin,40,2.0,17.1,6.6,1.4,1.8,3.2,0.9,0.8,0.6,0.4,2.0,2.3,2.7,5.4,49.1,0.4,2.0,21.5,0.9,1.2,73.5,2.2,3.4,65.0,1.227,0.53,F,False
Dean Wade,42,22.0,22.9,5.8,0.8,3.3,4.2,1.5,0.8,0.4,0.3,1.6,5.0,2.0,4.7,41.7,1.2,3.5,34.0,0.6,0.9,75.0,0.8,1.2,63.5,1.221,0.54,F,False
Thomas Bryant,35,0.0,9.9,5.0,0.7,1.9,2.6,0.6,0.2,0.4,0.4,1.2,1.4,1.8,3.5,51.6,0.7,1.8,36.5,0.7,0.9,81.3,1.1,1.7,67.8,1.434,0.61,C,False
Tyrese Proctor,37,1.0,10.6,4.9,0.2,0.9,1.1,1.4,0.4,0.0,0.6,1.2,2.2,1.7,4.3,38.8,0.9,2.7,35.4,0.6,0.7,85.2,0.7,1.6,44.3,1.138,0.5,G,False
Craig Porter Jr.,45,2.0,17.8,4.8,1.4,2.1,3.5,3.2,1.0,0.6,0.9,1.2,3.6,2.0,4.2,46.3,0.6,1.4,38.5,0.4,0.6,55.2,1.4,2.8,50.4,1.142,0.53,G,False
Lonzo Ball,35,3.0,20.8,4.6,0.7,3.3,4.0,3.9,1.3,0.3,1.5,1.3,2.6,1.5,5.0,30.1,1.1,4.2,27.2,0.4,0.6,66.7,0.4,0.8,44.8,0.909,0.41,G,False
Larry Nance Jr.,23,2.0,13.4,3.4,0.9,1.7,2.7,1.0,0.7,0.2,0.5,2.0,2.1,1.3,3.7,36.0,0.6,1.9,29.5,0.1,0.2,60.0,0.8,1.8,42.9,0.907,0.44,F,False
Chris Livingston,3,0.0,5.7,3.0,0.0,1.0,1.0,0.3,0.3,0.0,0.0,1.3,inf,1.3,2.3,57.1,0.0,1.0,0.0,0.3,0.3,100.0,1.3,1.3,100.0,1.286,0.57,F,False
Luke Travers,12,0.0,8.6,2.3,0.8,1.3,2.0,0.8,0.6,0.3,0.3,0.5,3.0,0.8,3.0,25.0,0.1,1.3,6.3,0.8,0.8,100.0,0.7,1.7,40.0,0.778,0.26,F,False
Tristan Enaruna,1,0.0,3.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,inf,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,2.0,1.0,F,False
Total,52,,,119.4,12.2,32.5,44.7,28.6,9.1,5.1,13.7,20.0,2.1,43.6,91.9,47.4,14.8,41.2,35.8,17.6,22.6,77.7,28.8,50.7,56.8,1.3,0.55,Total,False
