Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,Position,Traded
Anthony Davis,20,20.0,31.3,20.4,3.1,8.0,11.1,2.8,1.1,1.7,2.1,2.1,1.4,8.5,16.7,50.6,0.5,1.9,27.0,3.0,4.1,72.8,8.0,14.9,53.5,1.219,0.52,F,False
Cooper Flagg,46,46.0,34.1,20.1,1.2,5.5,6.7,4.2,1.2,0.8,2.2,2.2,1.9,7.7,15.9,48.4,1.0,3.5,29.4,3.7,4.6,80.2,6.7,12.3,53.9,1.267,0.52,F,False
Naji Marshall,49,26.0,29.3,14.5,0.9,4.1,5.0,2.9,1.0,0.1,1.4,2.0,2.1,5.3,10.1,52.9,0.9,2.9,30.0,3.0,3.9,77.2,4.5,7.2,62.0,1.44,0.57,F,False
P.J. Washington,36,34.0,30.9,14.2,1.5,5.7,7.2,1.9,1.0,1.4,2.1,2.3,0.9,5.4,12.1,44.7,1.2,4.0,30.1,2.1,3.2,66.4,4.2,8.1,51.9,1.17,0.5,F,False
Max Christie,46,37.0,29.5,13.1,0.2,3.2,3.4,2.2,0.5,0.3,1.1,1.4,1.9,4.5,9.6,46.6,2.5,5.8,43.4,1.7,1.9,86.4,1.9,3.8,51.4,1.368,0.6,G,False
Brandon Williams,43,11.0,21.9,12.6,0.5,2.3,2.9,3.6,1.0,0.2,1.9,1.7,1.9,4.4,9.6,46.2,0.5,2.4,21.0,3.2,4.1,78.4,3.9,7.2,54.9,1.312,0.49,G,False
Klay Thompson,46,8.0,22.2,11.6,0.3,2.2,2.5,1.4,0.5,0.3,0.9,1.0,1.5,4.1,10.6,38.7,2.9,7.7,37.9,0.5,0.7,70.6,1.2,2.9,40.9,1.099,0.52,G,False
D'Angelo Russell,26,3.0,19.0,10.2,0.3,2.0,2.3,4.0,0.5,0.1,1.9,1.2,2.1,3.6,8.9,40.5,1.3,4.3,29.5,1.7,2.3,71.7,2.3,4.6,50.8,1.138,0.48,G,False
Daniel Gafford,34,24.0,21.1,8.1,2.2,4.4,6.6,0.9,0.7,1.3,1.3,2.4,0.7,3.1,4.9,63.1,0.0,0.0,0.0,1.8,2.4,75.6,3.1,4.9,63.1,1.631,0.63,F,False
Jaden Hardy,34,4.0,12.6,6.9,0.3,1.1,1.4,0.9,0.3,0.1,0.8,1.1,1.1,2.3,5.7,40.2,1.4,3.6,37.1,0.9,1.2,77.5,0.9,2.1,45.7,1.201,0.52,G,False
Ryan Nembhard,37,17.0,18.8,6.7,0.2,1.6,1.8,4.8,0.2,0.0,1.5,1.4,3.3,2.8,6.4,43.6,0.9,2.3,37.6,0.3,0.4,76.9,1.9,4.1,47.0,1.051,0.5,G,False
Jeremiah Robinson-Earl,5,0.0,12.2,4.4,0.8,2.2,3.0,0.6,0.4,0.0,0.4,0.6,1.5,1.6,3.4,47.1,0.4,1.6,25.0,0.8,0.8,100.0,1.2,1.8,66.7,1.294,0.53,F,True
Dereck Lively II,7,4.0,16.4,4.3,2.0,3.3,5.3,1.9,0.6,1.6,1.4,3.0,1.3,1.6,2.6,61.1,0.0,0.0,0.0,1.1,1.4,80.0,1.6,2.6,61.1,1.667,0.61,C,False
Moussa Cisse,29,1.0,12.0,3.8,1.9,2.6,4.4,0.2,0.3,1.1,0.8,1.8,0.3,1.4,2.3,62.7,0.0,0.0,0.0,0.9,1.9,48.2,1.4,2.3,62.7,1.657,0.63,C,False
Caleb Martin,43,8.0,13.4,3.2,0.5,1.9,2.4,1.6,0.7,0.3,0.6,1.4,2.6,1.2,2.9,43.1,0.3,0.8,34.3,0.4,0.7,61.3,1.0,2.0,46.6,1.114,0.48,F,False
Dwight Powell,36,7.0,14.6,3.1,1.4,2.4,3.9,1.0,0.5,0.3,0.5,2.0,1.9,1.0,1.6,63.2,0.0,0.0,0.0,1.1,1.7,65.0,1.0,1.6,64.3,1.947,0.63,F,False
Miles Kelly,11,0.0,8.5,2.6,0.4,1.2,1.5,0.6,0.3,0.0,0.4,0.9,1.8,1.0,2.7,36.7,0.6,2.2,29.2,0.0,0.0,0.0,0.4,0.5,66.7,0.967,0.48,G,False
Total,50,,,113.8,10.2,35.0,45.2,25.1,7.5,5.6,14.4,18.6,1.7,42.1,89.5,47.0,10.9,32.0,34.2,18.7,25.0,74.5,31.2,57.5,54.2,1.272,0.53,Total,False
