Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,Position,Traded
Cade Cunningham,43,43.0,35.2,25.3,1.0,4.5,5.5,9.8,1.5,0.9,3.7,3.2,2.6,8.9,19.3,46.0,1.9,5.8,32.4,5.7,7.1,80.9,7.0,13.4,51.9,1.315,0.51,G,False
Jalen Duren,42,42.0,28.2,18.0,3.8,6.9,10.7,1.8,0.9,0.8,1.9,2.9,0.9,7.0,11.1,63.4,0.0,0.0,0.0,4.0,5.4,73.1,7.0,11.1,63.4,1.623,0.63,C,False
Tobias Harris,34,34.0,27.7,13.5,0.9,3.7,4.6,2.5,0.9,0.2,1.1,1.9,2.2,4.9,10.6,45.9,1.4,3.9,35.3,2.4,2.7,87.9,3.5,6.7,52.0,1.268,0.52,F,False
Duncan Robinson,47,47.0,28.5,12.0,0.4,2.3,2.7,1.8,0.7,0.3,0.7,2.2,2.6,4.0,9.3,43.5,2.9,7.3,40.1,1.0,1.4,73.4,1.1,2.0,55.8,1.291,0.59,F,False
Ausar Thompson,45,44.0,25.7,10.6,2.1,3.8,6.0,2.7,1.8,0.8,1.4,2.8,1.9,4.3,8.5,51.2,0.1,0.4,30.0,1.8,3.1,57.6,4.2,8.0,52.4,1.249,0.52,G,False
Isaiah Stewart,45,11.0,23.4,10.2,1.7,3.7,5.4,1.2,0.3,1.8,1.2,3.0,1.1,3.9,7.3,53.5,0.7,2.3,32.4,1.7,2.2,75.0,3.2,5.0,63.1,1.401,0.59,F,False
Jaden Ivey,33,2.0,16.8,8.2,0.6,1.6,2.2,1.6,0.5,0.4,1.1,1.3,1.5,3.0,6.7,45.0,1.3,3.4,37.2,0.9,1.2,78.9,1.7,3.2,53.3,1.227,0.55,G,False
Ronald Holland II,47,5.0,20.6,8.1,1.0,3.2,4.2,1.4,1.4,0.4,1.4,2.3,1.0,3.0,7.2,41.4,0.6,2.7,23.8,1.5,1.9,79.1,2.3,4.5,51.9,1.13,0.46,F,False
Daniss Jenkins,41,7.0,16.8,7.9,0.5,1.2,1.8,3.3,0.9,0.2,1.3,1.4,2.5,2.8,6.7,42.1,1.0,2.5,38.5,1.3,1.7,79.7,1.8,4.1,44.4,1.19,0.49,G,False
Caris LeVert,32,0.0,19.8,7.8,0.3,1.5,1.8,2.8,0.9,0.7,1.4,1.5,2.1,2.8,6.6,42.9,1.1,3.2,33.0,1.1,1.7,67.9,1.8,3.3,52.3,1.19,0.51,G,False
Javonte Green,49,4.0,18.7,7.1,0.8,2.0,2.8,0.8,1.3,0.3,0.6,1.5,1.2,2.4,5.3,45.0,1.1,2.9,36.8,1.3,1.6,79.7,1.3,2.3,55.3,1.349,0.55,G,False
Marcus Sasser,14,0.0,10.0,5.9,0.1,0.9,0.9,1.9,0.7,0.1,0.6,0.9,3.4,2.0,4.3,46.7,1.1,2.8,41.0,0.7,0.8,90.9,0.9,1.5,57.1,1.367,0.6,G,False
Paul Reed,34,6.0,11.6,5.5,1.8,2.4,4.2,1.2,0.9,0.6,1.0,1.5,1.2,2.4,4.0,59.1,0.2,0.6,35.0,0.5,0.9,56.3,2.2,3.4,63.2,1.365,0.62,F,False
Tolu Smith,5,0.0,11.0,5.2,2.0,3.6,5.6,0.8,0.4,1.0,0.8,1.4,1.0,1.4,3.0,46.7,0.0,0.0,0.0,2.4,3.0,80.0,1.4,3.0,46.7,1.733,0.47,F,False
Chaz Lanier,18,0.0,9.0,3.1,0.3,0.6,0.9,0.7,0.3,0.0,0.1,0.3,6.0,1.0,2.8,35.3,0.8,2.3,33.3,0.3,0.3,100.0,0.2,0.5,44.4,1.078,0.49,G,False
Bobi Klintman,8,0.0,7.5,2.1,0.6,1.5,2.1,0.5,0.3,0.0,0.6,1.3,0.8,0.9,2.8,31.8,0.4,1.4,27.3,0.0,0.4,0.0,0.5,1.4,36.4,0.773,0.39,F,False
Colby Jones,1,0.0,7.0,2.0,0.0,4.0,4.0,2.0,0.0,0.0,0.0,1.0,inf,1.0,3.0,33.3,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.667,0.33,G,False
Wendell Moore Jr.,3,0.0,14.3,2.0,0.3,1.0,1.3,1.0,0.7,0.3,0.3,0.3,3.0,1.0,2.0,50.0,0.0,0.3,0.0,0.0,0.0,0.0,1.0,1.7,60.0,1.0,0.5,F,False
Isaac Jones,1,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,0.5,C,True
Total,49,,,117.5,13.1,32.6,45.7,26.8,10.6,6.3,14.5,22.6,1.8,43.0,89.7,48.0,11.1,31.7,35.0,20.3,27.0,75.3,32.0,58.0,55.1,1.309,0.54,Total,False
