Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,Position,Traded
Stephen Curry,39,39.0,31.3,27.2,0.4,3.1,3.5,4.8,1.1,0.4,2.8,1.9,1.7,8.9,19.1,46.8,4.5,11.5,39.1,4.9,5.2,93.1,4.4,7.6,58.4,1.426,0.59,G,False
Jimmy Butler III,38,38.0,31.1,20.0,2.3,3.2,5.6,4.9,1.4,0.2,1.6,1.2,3.1,6.3,12.2,51.9,0.8,2.2,37.6,6.5,7.6,86.4,5.5,9.9,55.2,1.645,0.55,F,False
Jonathan Kuminga,20,13.0,23.8,12.1,1.5,4.4,5.9,2.5,0.4,0.3,2.3,1.7,1.1,4.4,9.7,45.4,0.9,2.7,32.1,2.5,3.3,74.2,3.6,7.1,50.4,1.247,0.5,F,False
Brandin Podziemski,51,19.0,26.8,12.1,0.7,3.9,4.6,3.6,1.1,0.2,1.5,1.9,2.3,4.2,9.4,45.3,1.7,4.4,38.5,1.9,2.5,76.2,2.5,4.9,51.4,1.289,0.54,G,False
De'Anthony Melton,24,0.0,21.3,11.6,0.6,2.3,2.9,2.3,1.5,0.5,1.6,2.4,1.4,4.2,9.8,42.7,1.3,4.5,28.7,2.0,2.4,81.0,2.9,5.3,54.8,1.188,0.49,G,False
Moses Moody,49,38.0,24.5,11.2,0.9,2.3,3.2,1.4,0.9,0.6,0.9,1.9,1.6,3.8,8.7,43.5,2.4,5.8,40.7,1.2,1.6,75.9,1.4,2.9,49.0,1.28,0.57,G,False
Draymond Green,42,42.0,26.6,8.4,0.7,5.0,5.7,5.2,0.9,0.7,2.7,3.1,1.9,3.0,7.4,41.3,1.5,4.5,31.9,0.8,1.2,70.0,1.6,2.8,56.3,1.135,0.51,F,False
Buddy Hield,44,3.0,17.5,8.0,0.6,1.9,2.5,1.5,0.8,0.2,1.0,1.3,1.6,3.0,6.8,43.3,1.5,4.4,34.4,0.6,0.8,79.4,1.4,2.4,60.0,1.18,0.55,G,False
Quinten Post,51,32.0,17.8,8.0,1.0,3.0,4.0,1.4,0.5,0.5,0.8,1.9,1.8,3.0,6.8,43.8,1.5,4.4,35.0,0.5,0.6,83.3,1.5,2.4,60.2,1.175,0.55,C,False
Al Horford,30,5.0,20.0,7.3,0.9,3.9,4.9,2.3,0.8,1.1,0.9,1.3,2.5,2.7,6.3,42.3,1.5,4.3,35.7,0.4,0.4,100.0,1.1,2.0,56.7,1.159,0.54,C,False
Seth Curry,2,0.0,16.0,7.0,0.5,1.5,2.0,1.5,1.0,0.0,0.0,1.5,inf,3.0,4.5,66.7,1.0,2.0,50.0,0.0,0.0,0.0,2.0,2.5,80.0,1.556,0.78,G,False
Will Richard,46,15.0,19.2,6.8,1.0,1.5,2.5,1.4,1.2,0.1,0.8,1.8,1.7,2.5,5.2,47.5,1.1,3.2,35.4,0.8,0.9,81.4,1.3,2.0,67.0,1.315,0.58,G,False
Pat Spencer,35,4.0,13.9,5.3,0.7,1.3,2.1,2.9,0.6,0.1,1.0,1.0,2.8,2.0,4.9,41.5,0.6,1.6,40.0,0.7,0.8,82.1,1.4,3.3,42.2,1.094,0.48,G,False
Gui Santos,40,5.0,13.1,4.9,0.8,1.8,2.6,1.2,0.6,0.3,0.8,1.4,1.5,1.8,3.5,51.1,0.8,2.1,38.1,0.5,0.7,64.3,1.0,1.4,70.2,1.376,0.62,F,False
Gary Payton II,46,1.0,12.6,4.7,1.1,2.0,3.0,1.5,0.5,0.3,0.9,1.6,1.7,2.1,3.9,54.1,0.3,1.1,28.0,0.2,0.3,57.1,1.8,2.8,64.1,1.204,0.58,G,False
Trayce Jackson-Davis,36,1.0,11.4,4.2,1.3,1.8,3.1,0.9,0.4,0.5,0.5,1.1,1.8,1.7,2.8,58.8,0.0,0.0,100.0,0.8,1.4,55.8,1.6,2.8,58.4,1.471,0.59,F,False
L.J. Cryer,3,0.0,2.7,2.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.3,0.0,0.7,1.7,40.0,0.7,1.3,50.0,0.0,0.0,0.0,0.0,0.3,0.0,1.2,0.6,G,False
Malevy Leons,5,0.0,4.2,1.2,0.4,1.4,1.8,0.2,0.2,0.2,0.4,0.2,0.5,0.4,1.2,33.3,0.0,0.4,0.0,0.4,0.4,100.0,0.4,0.8,50.0,1.0,0.33,F,False
Total,51,,,116.2,11.0,31.7,42.7,28.9,9.9,4.5,15.0,19.9,1.9,41.0,89.0,46.1,16.4,45.0,36.5,17.7,21.8,81.2,24.6,44.1,55.9,1.306,0.55,Total,False
