Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,Position,Traded
Kevin Durant,46,46.0,36.7,25.9,0.5,4.9,5.4,4.5,0.7,0.9,3.0,2.1,1.5,9.1,18.0,50.8,2.3,5.7,39.9,5.4,6.1,88.9,6.8,12.2,56.0,1.444,0.57,F,False
Alperen Sengun,42,42.0,34.0,21.2,3.2,6.2,9.4,6.2,1.4,1.0,3.3,3.2,1.9,8.2,16.5,49.9,0.6,2.0,29.3,4.2,6.1,69.0,7.6,14.5,52.7,1.288,0.52,C,False
Amen Thompson,49,49.0,37.3,18.0,2.9,4.8,7.7,5.5,1.4,0.6,2.5,2.2,2.2,6.9,13.8,50.3,0.3,1.7,20.0,3.8,4.9,78.2,6.6,12.0,54.7,1.307,0.52,G,False
Jabari Smith Jr.,48,48.0,34.9,15.1,1.6,5.3,6.8,1.9,0.8,1.0,1.3,2.6,1.4,5.4,12.6,43.3,2.2,6.3,35.5,2.0,2.6,76.4,3.2,6.3,51.0,1.199,0.52,F,False
Reed Sheppard,49,5.0,24.5,12.6,0.3,2.2,2.5,3.0,1.4,0.6,1.2,1.9,2.5,4.7,11.0,42.2,2.4,6.2,38.4,0.9,1.1,77.8,2.3,4.8,47.2,1.139,0.53,G,False
Tari Eason,28,14.0,24.6,11.9,2.0,4.3,6.3,1.4,1.3,0.6,1.5,2.2,1.0,4.5,9.7,46.7,2.1,4.4,48.8,0.7,1.1,63.3,2.4,5.3,45.0,1.224,0.58,F,False
Aaron Holiday,34,1.0,13.4,5.9,0.1,0.7,0.9,1.0,0.4,0.1,0.6,1.4,1.6,1.9,4.7,40.9,1.2,3.2,38.9,0.8,1.0,84.8,0.7,1.5,45.1,1.258,0.54,G,False
Steven Adams,32,11.0,22.8,5.8,4.5,4.1,8.6,1.5,0.7,0.6,1.1,1.7,1.4,2.2,4.3,50.4,0.0,0.0,0.0,1.5,2.5,58.0,2.2,4.3,50.4,1.345,0.5,C,False
Josh Okogie,49,28.0,20.0,5.4,1.2,1.7,2.9,0.9,0.9,0.2,0.7,1.6,1.4,1.9,4.4,43.9,0.9,2.4,39.3,0.7,1.1,60.4,1.0,2.0,49.5,1.243,0.55,G,False
Clint Capela,43,1.0,11.7,3.8,2.3,2.3,4.6,0.6,0.5,0.7,0.4,0.8,1.4,1.7,3.2,52.9,0.0,0.0,0.0,0.5,0.8,55.6,1.7,3.2,52.9,1.206,0.53,C,False
Dorian Finney-Smith,17,0.0,15.5,2.9,0.9,1.6,2.5,0.6,0.4,0.2,0.5,1.5,1.1,1.0,3.2,30.9,0.6,2.5,25.6,0.3,0.3,100.0,0.4,0.7,50.0,0.909,0.41,F,False
Jae'Sean Tate,31,0.0,8.2,2.6,0.7,0.8,1.5,0.5,0.2,0.1,0.3,1.1,1.9,1.1,2.3,50.0,0.2,0.7,31.8,0.1,0.2,57.1,0.9,1.5,58.3,1.157,0.55,F,False
Jeff Green,17,0.0,4.4,2.1,0.1,0.4,0.5,0.1,0.0,0.1,0.1,0.3,2.0,0.8,1.6,46.4,0.5,1.2,45.0,0.0,0.0,0.0,0.2,0.5,50.0,1.25,0.63,F,False
JD Davison,22,0.0,6.9,1.9,0.1,0.6,0.7,1.0,0.2,0.2,0.2,0.5,4.4,0.7,1.9,35.7,0.3,1.0,27.3,0.2,0.4,55.6,0.4,0.9,45.0,0.976,0.43,G,False
Isaiah Crawford,4,0.0,3.0,0.5,0.0,0.3,0.3,0.0,0.0,0.5,0.0,0.0,0.0,0.3,0.8,33.3,0.0,0.5,0.0,0.0,0.0,0.0,0.3,0.3,100.0,0.667,0.33,F,False
Total,49,,,115.5,16.2,33.0,49.1,24.8,8.8,5.8,14.1,18.7,1.8,42.9,90.9,47.2,11.2,30.5,36.9,18.5,24.6,75.3,31.7,60.4,52.4,1.272,0.53,Total,False
