Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,Position,Traded
Pascal Siakam,48,48.0,33.9,23.8,1.6,5.2,6.8,4.0,1.1,0.5,2.2,2.5,1.8,9.0,18.5,48.5,1.8,4.8,38.1,4.1,5.9,69.0,7.1,13.7,52.1,1.29,0.53,F,False
Bennedict Mathurin,28,24.0,31.8,17.8,0.8,4.6,5.4,2.3,0.6,0.1,2.3,2.7,1.0,5.5,12.8,43.3,2.1,5.6,37.2,4.6,5.2,88.4,3.5,7.2,48.0,1.388,0.51,G,False
Andrew Nembhard,40,40.0,32.1,17.3,0.5,2.5,3.0,7.5,0.9,0.2,2.4,2.3,3.1,6.1,13.6,44.8,1.9,5.1,36.8,3.3,4.1,80.5,4.2,8.5,49.6,1.276,0.52,G,False
Obi Toppin,3,0.0,27.3,14.0,1.0,5.7,6.7,1.7,1.0,0.0,2.0,2.3,0.8,5.0,12.0,41.7,1.0,5.7,17.6,3.0,3.0,100.0,4.0,6.3,63.2,1.167,0.46,F,False
Aaron Nesmith,29,26.0,30.7,13.9,1.4,3.5,4.9,2.3,0.6,0.6,1.4,2.7,1.6,4.6,12.0,38.6,2.5,6.7,37.1,2.2,2.7,81.0,2.1,5.3,40.5,1.164,0.49,G,False
Jarace Walker,51,18.0,23.6,10.1,0.5,3.9,4.3,2.0,0.8,0.3,1.6,1.6,1.2,3.5,8.7,39.8,1.6,4.4,36.5,1.6,2.1,77.8,1.9,4.3,43.2,1.17,0.49,F,False
T.J. McConnell,37,0.0,17.1,9.5,0.5,1.8,2.2,4.8,1.2,0.2,1.2,1.2,4.0,4.4,8.4,52.6,0.3,1.0,32.4,0.4,0.4,93.3,4.1,7.4,55.3,1.135,0.55,G,False
Jay Huff,51,28.0,19.5,8.5,1.0,2.8,3.8,1.3,0.5,1.9,0.8,2.4,1.5,3.2,6.7,46.9,1.4,4.3,32.3,0.8,1.0,82.4,1.8,2.4,73.2,1.268,0.57,C,False
Quenton Jackson,24,9.0,15.3,7.8,0.5,1.3,1.8,1.8,0.7,0.2,1.1,1.6,1.7,2.6,5.5,47.3,0.8,2.1,38.0,1.9,2.5,76.3,1.8,3.4,53.1,1.435,0.55,G,False
Micah Potter,18,2.0,17.2,6.7,0.7,3.1,3.8,1.4,0.4,0.3,0.7,1.6,1.9,2.0,4.7,42.9,1.1,3.1,35.7,1.6,1.8,90.6,0.9,1.6,57.1,1.44,0.55,C,False
Isaiah Jackson,38,14.0,16.8,6.4,2.3,3.3,5.6,0.8,0.7,0.8,1.1,2.8,0.7,2.5,4.3,58.2,0.0,0.0,0.0,1.3,1.9,68.9,2.5,4.3,58.5,1.473,0.58,F,False
Mac McClung,3,0.0,11.3,6.3,0.0,1.3,1.3,0.3,1.7,0.3,0.7,2.0,0.5,2.3,6.0,38.9,0.7,3.3,20.0,1.0,1.3,75.0,1.7,2.7,62.5,1.056,0.44,G,False
Ben Sheppard,40,13.0,21.5,6.2,0.6,2.5,3.1,1.7,0.5,0.1,0.6,1.7,3.1,2.2,5.7,38.5,1.2,3.5,32.6,0.7,0.9,77.1,1.0,2.1,48.2,1.093,0.49,G,False
Johnny Furphy,33,19.0,18.1,5.3,0.9,3.4,4.3,1.1,0.6,0.2,0.8,1.8,1.3,2.0,4.3,47.2,0.7,2.1,33.3,0.5,1.1,48.6,1.3,2.2,60.3,1.225,0.55,G,False
Garrison Mathews,15,1.0,13.1,5.2,0.1,1.0,1.1,0.7,0.4,0.2,0.2,1.3,3.3,1.4,3.5,40.4,1.1,3.1,37.0,1.3,1.5,82.6,0.3,0.4,66.7,1.5,0.57,G,False
RayJ Dennis,13,0.0,12.9,4.9,0.6,1.0,1.6,2.0,0.2,0.3,1.1,1.2,1.9,1.7,5.5,30.6,0.9,2.9,31.6,0.6,0.7,88.9,0.8,2.6,29.4,0.889,0.39,G,True
Jeremiah Robinson-Earl,17,3.0,17.6,4.6,1.9,3.3,5.2,0.7,0.4,0.1,0.6,1.4,1.2,1.7,4.9,34.9,0.5,1.9,24.2,0.8,0.8,92.9,1.2,2.9,42.0,0.952,0.4,F,True
Ethan Thompson,21,5.0,15.5,4.5,0.5,1.1,1.7,1.4,0.5,0.3,0.6,1.9,2.4,1.6,4.2,37.1,0.9,2.9,30.0,0.5,0.8,68.8,0.7,1.4,51.7,1.067,0.47,G,False
Tony Bradley,38,3.0,10.9,4.0,1.5,1.3,2.8,0.5,0.2,0.2,0.4,1.6,1.2,1.6,2.8,55.7,0.0,0.1,50.0,0.8,1.1,74.4,1.5,2.7,55.8,1.425,0.56,C,False
James Wiseman,4,1.0,14.5,3.3,1.3,0.8,2.0,0.8,0.0,0.3,1.3,2.5,0.6,1.5,2.5,60.0,0.0,0.0,0.0,0.3,0.5,50.0,1.5,2.5,60.0,1.3,0.6,C,False
Monte Morris,6,0.0,10.8,3.0,0.2,1.0,1.2,1.5,0.2,0.2,0.3,0.5,4.5,1.2,3.3,35.0,0.3,1.3,25.0,0.3,0.7,50.0,0.8,2.0,41.7,0.9,0.4,PG,False
Kam Jones,14,1.0,8.9,2.4,0.3,0.8,1.1,1.4,0.2,0.0,0.3,0.4,4.8,1.0,2.6,37.8,0.2,1.0,21.4,0.1,0.3,50.0,0.8,1.6,47.8,0.892,0.42,G,False
Taelon Peter,23,0.0,7.3,1.9,0.3,0.8,1.0,0.9,0.3,0.1,0.4,0.4,2.0,0.6,2.0,29.8,0.5,1.9,27.9,0.2,0.3,66.7,0.1,0.2,50.0,0.936,0.43,G,False
Cody Martin,4,0.0,13.8,1.8,0.3,3.3,3.5,0.5,1.0,0.5,1.0,1.3,0.5,0.5,2.5,20.0,0.0,1.3,0.0,0.8,1.5,50.0,0.5,1.3,40.0,0.7,0.2,SF,False
Total,51,,,110.9,10.6,32.2,42.8,25.9,7.4,4.9,13.6,22.1,1.9,40.0,89.4,44.7,12.6,36.4,34.6,18.4,24.0,76.7,27.4,53.0,51.7,1.241,0.52,Total,False
