Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,Position,Traded
Kawhi Leonard,36,37.0,32.9,27.6,1.0,5.1,6.1,3.6,2.1,0.6,2.1,1.3,1.7,9.7,19.4,49.7,2.8,7.0,39.1,5.6,6.1,91.3,6.9,12.4,55.7,1.421,0.57,F,False
James Harden,44,44.0,35.4,25.4,0.6,4.2,4.8,8.1,1.3,0.4,3.7,1.9,2.2,7.3,17.5,41.9,3.1,8.8,34.7,7.7,8.5,90.1,4.3,8.7,49.2,1.45,0.51,G,False
Ivica Zubac,43,42.0,30.9,14.4,3.4,7.6,11.0,2.2,0.4,0.8,1.9,2.4,1.2,6.1,10.0,61.3,0.0,0.0,0.0,2.2,3.1,70.5,6.1,10.0,61.3,1.443,0.61,C,False
John Collins,46,38.0,27.6,13.5,1.4,3.6,5.0,1.0,0.8,0.8,1.3,2.7,0.7,5.2,9.4,55.7,1.5,3.4,42.9,1.6,2.1,77.1,3.8,6.0,62.9,1.441,0.63,F,False
Derrick Jones Jr.,17,13.0,24.2,10.4,0.9,1.8,2.6,1.2,0.8,1.1,0.8,2.1,1.4,3.8,6.9,55.6,1.3,3.2,40.0,1.4,1.8,77.4,2.5,3.6,69.4,1.504,0.65,F,False
Jordan Miller,28,0.0,19.3,9.6,0.9,2.4,3.3,1.5,0.8,0.2,1.1,1.0,1.4,3.3,6.1,54.4,0.8,2.1,37.9,2.1,2.7,78.9,2.5,4.0,62.8,1.567,0.61,G,False
Bradley Beal,6,6.0,20.2,8.2,0.3,0.5,0.8,1.7,0.5,0.0,1.5,2.3,1.1,3.0,8.0,37.5,1.2,3.2,36.8,1.0,1.3,75.0,1.8,4.8,37.9,1.021,0.45,G,False
Bogdan Bogdanovic,16,3.0,22.5,8.0,0.3,2.6,2.9,2.7,0.5,0.1,1.2,2.5,2.3,2.8,7.3,37.6,1.5,4.5,33.3,1.0,1.2,84.2,1.3,2.8,44.4,1.094,0.48,G,False
Kris Dunn,49,44.0,27.3,7.8,0.8,2.1,2.9,3.2,1.5,0.2,1.4,2.4,2.3,2.9,6.2,47.2,1.0,2.9,35.7,0.9,1.1,80.0,1.9,3.3,57.4,1.256,0.56,G,False
Kobe Sanders,41,11.0,21.6,7.2,0.5,2.0,2.5,1.6,0.6,0.1,1.3,2.2,1.2,2.7,5.8,46.0,1.1,2.8,39.8,0.8,1.0,82.9,1.6,3.0,51.6,1.253,0.55,G,False
TyTy Washington Jr.,2,0.0,11.0,7.0,0.0,0.5,0.5,1.5,1.0,0.5,0.0,0.0,inf,3.0,4.5,66.7,1.0,2.0,50.0,0.0,0.0,0.0,2.0,2.5,80.0,1.556,0.78,G,False
Brook Lopez,42,8.0,17.2,6.5,0.3,2.2,2.6,0.9,0.5,1.0,0.8,1.7,1.2,2.2,5.9,37.3,1.5,4.3,34.1,0.6,0.7,86.7,0.8,1.7,45.7,1.096,0.5,C,False
Patrick Baldwin Jr.,2,0.0,6.0,5.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5,1.0,0.0,1.5,2.0,75.0,1.0,1.5,66.7,1.0,1.0,100.0,0.5,0.5,100.0,2.5,1.0,G,False
Nicolas Batum,48,4.0,20.0,4.5,0.4,2.3,2.7,0.8,0.8,0.4,0.6,1.6,1.3,1.5,3.8,39.2,1.4,3.6,39.0,0.2,0.2,81.8,0.1,0.2,44.4,1.204,0.58,F,False
Cam Christie,34,0.0,10.1,3.6,0.4,1.3,1.7,0.6,0.2,0.1,0.4,0.5,1.4,1.2,2.9,40.8,0.3,1.1,28.2,0.9,1.2,75.0,0.9,1.7,49.2,1.235,0.46,G,False
Yanic Konan Niederhauser,29,0.0,8.1,3.3,0.8,1.2,2.0,0.3,0.1,0.4,0.4,1.2,0.6,1.3,2.0,64.9,0.0,0.1,0.0,0.7,1.1,65.6,1.3,1.9,68.5,1.667,0.65,C,False
Chris Paul,16,0.0,14.3,2.9,0.4,1.4,1.8,3.3,0.7,0.0,1.0,1.4,3.3,1.1,3.5,32.1,0.6,1.9,33.3,0.1,0.1,50.0,0.5,1.6,30.8,0.839,0.41,G,False
Kobe Brown,33,0.0,8.7,2.7,0.5,1.1,1.6,0.8,0.3,0.1,0.4,0.5,2.3,0.9,2.4,36.7,0.3,1.4,23.9,0.6,0.8,80.8,0.5,1.0,54.5,1.139,0.44,G,False
Jahmyl Telfort,8,0.0,4.0,0.1,0.0,0.4,0.4,0.1,0.1,0.0,0.1,0.6,1.0,0.0,0.5,0.0,0.0,0.5,0.0,0.1,0.5,25.0,0.0,0.0,0.0,0.25,0.0,F,False
RayJ Dennis,1,0.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,G,True
Total,50,,,112.3,9.6,31.3,40.8,23.6,8.5,4.6,14.4,18.8,1.6,39.6,82.9,47.8,12.8,35.3,36.4,20.2,24.2,83.5,26.8,47.5,56.3,1.355,0.56,Total,False
