Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,Position,Traded
Luka Doncic,41,41.0,36.0,33.4,0.8,7.1,7.9,8.7,1.5,0.5,4.2,2.5,2.1,10.6,22.3,47.5,3.6,10.4,34.8,8.6,11.0,77.9,7.0,11.8,58.8,1.499,0.56,G,False
Austin Reaves,24,22.0,34.7,26.1,0.7,4.5,5.2,6.0,1.0,0.2,3.2,2.3,1.9,8.0,15.9,50.3,2.6,7.3,36.0,7.5,8.6,87.0,5.4,8.6,62.3,1.641,0.59,G,False
LeBron James,32,32.0,33.0,22.0,0.7,5.0,5.7,6.6,1.2,0.6,2.8,1.4,2.4,8.2,16.2,50.9,1.5,4.6,32.2,4.1,5.6,73.6,6.8,11.6,58.2,1.362,0.55,F,False
Deandre Ayton,44,44.0,28.4,13.5,2.5,5.9,8.5,0.9,0.7,1.0,1.4,2.3,0.7,6.2,9.1,67.4,0.0,0.0,0.0,1.2,1.8,66.2,6.2,9.1,67.4,1.475,0.67,C,False
Rui Hachimura,39,27.0,29.6,11.9,0.7,2.8,3.5,0.9,0.5,0.3,0.8,1.6,1.1,4.6,9.2,50.1,1.8,4.1,43.1,0.9,1.2,72.3,2.8,5.1,55.8,1.29,0.6,F,False
Marcus Smart,40,33.0,28.3,9.6,0.7,2.3,3.0,2.7,1.3,0.3,1.8,2.7,1.6,3.1,7.7,40.5,1.5,4.7,32.3,1.8,2.1,85.7,1.6,3.0,53.3,1.239,0.5,G,False
Jake LaRavia,49,28.0,27.2,9.4,1.4,2.8,4.2,2.0,1.4,0.5,1.1,2.2,1.8,3.4,7.3,46.2,1.2,3.5,32.9,1.5,2.0,73.7,2.2,3.8,58.7,1.289,0.54,F,False
Jaxson Hayes,41,4.0,17.4,6.4,1.4,2.4,3.8,0.8,0.4,0.6,0.5,2.0,1.7,2.6,3.4,77.5,0.0,0.0,100.0,1.2,1.8,64.9,2.6,3.3,77.4,1.906,0.78,C,False
Nick Smith Jr.,24,1.0,12.5,5.8,0.1,0.7,0.8,1.1,0.3,0.1,0.8,1.0,1.5,2.2,5.2,42.4,1.1,2.8,39.7,0.3,0.5,63.6,1.1,2.4,45.6,1.12,0.53,G,False
Jarred Vanderbilt,40,3.0,19.4,4.9,1.6,3.4,5.0,1.4,0.9,0.3,1.0,1.8,1.4,1.9,4.0,46.9,0.5,1.7,29.9,0.7,1.0,63.4,1.4,2.3,59.1,1.225,0.53,F,False
Gabe Vincent,29,7.0,19.3,4.8,0.2,0.7,0.9,1.3,0.5,0.0,0.4,1.8,3.1,1.6,4.5,34.6,1.3,3.6,36.9,0.3,0.4,90.9,0.2,0.9,25.9,1.062,0.49,G,False
Dalton Knecht,40,1.0,11.7,4.6,0.3,1.2,1.5,0.4,0.2,0.2,0.4,1.0,0.8,1.8,4.0,44.1,0.8,2.4,31.3,0.3,0.5,72.2,1.0,1.6,63.1,1.149,0.53,F,False
Drew Timme,16,0.0,8.0,3.1,0.5,0.8,1.3,0.9,0.3,0.0,0.3,0.6,2.8,1.3,2.4,55.3,0.3,0.9,35.7,0.1,0.2,66.7,1.0,1.5,66.7,1.289,0.62,F,False
Kobe Bufkin,4,0.0,11.3,3.0,0.3,1.0,1.3,0.5,0.3,0.8,0.3,0.8,2.0,1.0,2.8,36.4,0.5,1.8,28.6,0.5,0.5,100.0,0.5,1.0,50.0,1.091,0.45,G,False
Maxi Kleber,24,1.0,10.3,1.9,0.7,1.0,1.7,0.6,0.3,0.2,0.3,1.3,2.1,0.6,1.8,35.7,0.2,0.7,23.5,0.5,0.7,75.0,0.5,1.0,44.0,1.095,0.4,F,False
Bronny James,27,1.0,6.8,1.9,0.1,0.3,0.4,1.1,0.4,0.0,0.4,0.5,2.4,0.7,1.8,38.8,0.3,0.9,37.5,0.1,0.2,80.0,0.4,0.9,40.0,1.041,0.48,G,False
Adou Thiero,15,0.0,5.8,1.3,0.5,0.7,1.2,0.3,0.3,0.1,0.3,1.0,1.3,0.5,1.2,38.9,0.0,0.1,0.0,0.4,0.5,75.0,0.5,1.1,41.2,1.111,0.39,F,False
Christian Koloko,2,0.0,3.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,True
Chris Manon,4,0.0,3.5,0.0,0.3,0.5,0.8,0.0,0.3,0.5,0.0,0.8,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,G,False
Total,49,,,116.3,9.9,31.4,41.3,25.1,8.3,4.0,14.1,18.9,1.8,41.8,83.9,49.8,11.9,34.1,34.8,20.9,27.2,76.7,29.9,49.8,60.0,1.386,0.57,Total,False
