Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,Position,Traded
Ty Jerome,2,2.0,20.0,19.5,1.0,2.5,3.5,7.0,1.0,0.0,2.5,2.5,2.8,6.0,11.0,54.5,2.0,6.0,33.3,5.5,6.5,84.6,4.0,5.0,80.0,1.773,0.64,G,False
Ja Morant,20,20.0,28.5,19.5,0.4,2.9,3.3,8.1,1.0,0.3,3.6,2.0,2.3,6.6,16.1,41.0,1.0,4.3,23.5,5.3,5.9,89.7,5.6,11.9,47.3,1.208,0.44,G,False
Jaren Jackson Jr.,45,45.0,30.7,19.2,0.9,4.8,5.8,1.9,1.0,1.5,2.2,3.8,0.9,7.1,14.9,47.5,1.8,4.9,35.9,3.3,4.2,79.7,5.3,10.0,53.1,1.29,0.53,F,False
Santi Aldama,42,10.0,28.0,14.0,1.6,5.1,6.7,3.0,0.9,0.7,1.3,1.6,2.3,5.3,11.1,48.1,1.6,4.6,35.1,1.8,2.6,67.3,3.7,6.5,57.4,1.266,0.55,F,False
Cedric Coward,45,32.0,26.7,13.8,1.4,4.8,6.2,2.9,0.5,0.4,1.8,2.0,1.6,5.0,10.7,46.7,1.6,4.5,34.5,2.2,2.6,84.9,3.4,6.2,55.6,1.288,0.54,F,False
Zach Edey,11,11.0,25.8,13.6,3.9,7.2,11.1,1.1,0.6,1.9,2.4,3.4,0.5,5.6,8.9,63.3,0.1,0.5,20.0,2.3,2.9,78.1,5.5,8.5,65.6,1.531,0.64,C,False
Jaylen Wells,48,48.0,26.9,11.9,1.0,2.5,3.5,1.7,0.9,0.1,1.1,2.2,1.5,4.1,10.1,40.6,1.7,5.1,32.8,2.0,2.6,77.8,2.4,4.9,48.7,1.182,0.49,F,False
Cam Spencer,47,14.0,24.1,11.7,0.5,2.2,2.7,5.6,0.7,0.1,1.5,1.5,3.8,3.8,7.9,47.8,2.2,4.9,45.9,1.9,2.0,92.7,1.6,3.0,51.0,1.478,0.62,G,False
Jock Landale,45,25.0,23.6,11.3,3.1,3.4,6.5,1.7,0.6,0.5,1.0,2.3,1.6,4.4,8.6,51.4,1.1,2.9,38.0,1.3,2.0,67.4,3.4,5.8,58.1,1.308,0.58,C,False
Kentavious Caldwell-Pope,47,13.0,21.0,8.1,0.4,2.1,2.4,2.8,0.8,0.2,1.2,1.1,2.4,2.9,7.0,40.7,1.1,3.4,31.7,1.3,1.5,91.3,1.8,3.6,49.4,1.161,0.48,G,False
GG Jackson,28,3.0,17.1,8.1,0.5,2.8,3.3,1.0,0.6,0.6,1.0,1.6,1.1,3.1,6.6,47.3,0.8,2.9,26.8,1.0,1.4,72.5,2.4,3.7,63.5,1.22,0.53,F,False
Vince Williams Jr.,34,12.0,21.6,8.0,1.0,3.0,4.0,4.4,0.8,0.4,1.9,2.1,2.4,2.7,7.8,35.2,1.4,4.7,30.8,1.1,1.4,80.4,1.3,3.1,41.9,1.03,0.45,G,False
Olivier-Maxence Prosper,25,0.0,12.0,5.0,0.8,1.7,2.5,0.7,0.2,0.2,0.7,0.8,1.0,1.7,3.4,48.8,0.5,1.3,36.4,1.2,1.3,90.6,1.2,2.1,56.6,1.453,0.56,F,False
Javon Small,16,0.0,12.9,4.6,0.4,1.1,1.5,3.4,0.3,0.1,1.2,1.2,2.8,1.5,4.2,35.8,0.8,2.2,34.3,0.9,1.2,73.7,0.8,2.0,37.5,1.104,0.45,G,False
Brandon Clarke,2,2.0,10.0,4.0,2.0,1.0,3.0,0.5,1.0,0.0,0.0,2.5,inf,1.5,4.5,33.3,0.0,0.0,0.0,1.0,2.0,50.0,1.5,4.5,33.3,0.889,0.33,F,False
Charles Bassey,2,0.0,15.5,3.5,3.5,4.0,7.5,1.0,0.5,0.5,0.5,2.5,2.0,1.5,4.0,37.5,0.0,0.0,0.0,0.5,1.5,33.3,1.5,4.0,37.5,0.875,0.38,C,False
John Konchar,30,1.0,14.5,3.2,0.7,2.4,3.1,1.3,1.0,0.4,0.5,1.0,2.9,1.2,2.4,52.1,0.4,1.3,33.3,0.3,0.4,61.5,0.8,1.1,75.0,1.338,0.61,G,False
Christian Koloko,11,2.0,17.7,2.6,1.7,2.3,4.0,0.9,0.9,1.2,0.6,1.8,1.4,1.3,3.2,40.0,0.0,0.1,0.0,0.1,0.4,25.0,1.3,3.1,41.2,0.829,0.4,C,True
PJ Hall,7,0.0,3.9,1.9,0.4,0.9,1.3,0.3,0.0,0.3,0.1,0.4,2.0,0.7,1.3,55.6,0.1,0.4,33.3,0.3,0.4,66.7,0.6,0.9,66.7,1.444,0.61,C,True
Jahmai Mashack,7,0.0,3.6,0.9,0.0,0.7,0.7,0.3,0.1,0.0,0.4,0.1,0.7,0.3,1.1,25.0,0.3,0.9,33.3,0.0,0.0,0.0,0.0,0.3,0.0,0.75,0.38,G,False
Total,49,,,115.3,12.0,33.8,45.8,29.0,7.8,5.1,14.8,20.0,2.0,41.6,91.1,45.6,13.4,38.4,34.9,18.8,23.5,79.9,28.2,52.7,53.4,1.265,0.53,Total,False
