Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,Position,Traded
Norman Powell,43,43.0,30.7,23.0,0.3,3.3,3.6,2.6,1.2,0.2,2.0,2.2,1.3,7.7,16.3,47.2,2.8,7.2,39.2,4.8,5.7,84.4,4.9,9.1,53.6,1.411,0.56,G,False
Tyler Herro,11,10.0,31.7,21.9,0.5,4.2,4.7,2.7,1.0,0.5,1.5,2.0,1.8,8.2,16.5,49.7,2.2,6.1,35.8,3.4,3.7,90.2,6.0,10.4,57.9,1.331,0.56,G,False
Bam Adebayo,44,44.0,31.1,18.1,2.1,7.8,9.9,2.8,1.0,0.7,1.8,1.6,1.5,6.5,14.5,44.4,1.6,4.7,34.6,3.6,4.5,79.4,4.8,9.9,49.0,1.245,0.5,C,False
Andrew Wiggins,47,47.0,31.2,15.6,1.7,3.1,4.9,2.9,1.2,1.0,1.8,2.3,1.6,6.0,12.8,46.8,1.8,4.8,38.4,1.8,2.3,79.2,4.2,8.1,51.7,1.217,0.54,F,False
Jaime Jaquez Jr.,47,1.0,28.8,15.4,1.3,4.1,5.4,4.7,0.8,0.2,2.2,2.0,2.1,6.3,12.1,51.8,0.5,1.9,28.7,2.4,3.1,75.0,5.7,10.3,55.9,1.274,0.54,F,False
Kel'el Ware,48,27.0,22.5,11.3,3.0,6.2,9.2,0.6,0.8,1.1,0.9,1.5,0.7,4.5,8.4,53.5,1.1,2.8,40.4,1.1,1.4,78.3,3.4,5.6,60.1,1.339,0.6,C,False
Pelle Larsson,44,31.0,24.2,10.5,0.8,2.5,3.3,3.3,0.7,0.2,1.1,1.8,3.1,3.8,7.6,49.5,1.0,2.9,33.3,2.0,2.6,76.7,2.8,4.7,59.4,1.384,0.56,G,False
Davion Mitchell,42,42.0,29.0,9.0,0.4,2.1,2.5,7.3,1.2,0.1,1.6,2.7,4.4,3.6,7.6,47.2,1.2,2.9,40.5,0.7,1.0,65.1,2.4,4.7,51.3,1.186,0.55,G,False
Simone Fontecchio,49,3.0,17.3,8.7,0.8,2.5,3.3,1.6,0.4,0.2,0.8,1.5,1.9,2.8,7.0,40.3,1.8,4.9,36.8,1.2,1.4,80.3,1.0,2.1,48.5,1.229,0.53,F,False
Nikola Jovic,40,1.0,18.6,8.2,0.6,3.1,3.7,2.4,0.6,0.4,1.6,1.5,1.5,2.7,7.2,37.4,1.1,3.8,28.5,1.7,2.4,70.5,1.6,3.5,47.1,1.128,0.45,F,False
Dru Smith,51,1.0,17.4,6.4,0.8,1.7,2.6,2.8,1.5,0.3,0.9,1.6,3.2,2.1,5.2,41.1,0.7,2.2,31.3,1.4,1.7,83.9,1.5,3.0,48.4,1.23,0.48,G,False
Kasparas Jakucionis,26,8.0,15.7,4.2,0.8,1.5,2.3,2.2,0.7,0.0,0.9,2.0,2.5,1.3,3.8,33.3,0.9,2.3,39.3,0.8,0.9,87.0,0.3,1.5,23.7,1.111,0.45,G,False
Myron Gardner,22,2.0,8.9,4.1,0.8,1.9,2.7,0.8,0.5,0.2,0.1,1.6,5.7,1.5,3.0,48.5,0.6,1.6,40.0,0.6,0.8,72.2,0.8,1.4,58.1,1.379,0.59,F,False
Keshad Johnson,20,0.0,7.9,3.3,0.8,1.2,2.0,0.1,0.3,0.2,0.5,0.8,0.2,1.2,2.9,40.4,0.4,1.2,30.4,0.7,0.9,76.5,0.8,1.7,47.1,1.158,0.46,F,False
Jahmir Young,6,0.0,5.7,2.0,0.2,0.3,0.5,1.0,0.2,0.0,0.3,0.7,3.0,0.8,2.3,35.7,0.3,1.0,33.3,0.0,0.0,0.0,0.5,1.3,37.5,0.857,0.43,G,False
Vladislav Goldin,2,0.0,4.0,2.0,0.0,0.5,0.5,1.0,0.0,0.5,0.0,1.5,inf,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,2.0,1.0,C,False
Total,52,,,119.7,11.8,34.8,46.6,28.7,9.1,4.2,13.7,18.9,2.1,43.5,94.0,46.3,13.2,36.7,36.1,19.4,24.5,79.1,30.3,57.3,52.9,1.274,0.53,Total,False
