Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,Position,Traded
Giannis Antetokounmpo,30,30.0,29.2,28.0,2.8,7.2,10.0,5.6,0.9,0.7,3.3,2.6,1.7,10.5,16.2,64.5,0.5,1.3,39.5,6.5,9.9,65.8,10.0,15.0,66.6,1.723,0.66,F,False
Kevin Porter Jr.,24,22.0,33.5,16.8,0.8,4.3,5.1,7.5,2.3,0.4,3.3,2.1,2.3,5.8,13.1,44.6,1.6,4.5,34.9,3.6,4.2,85.1,4.3,8.5,49.8,1.287,0.51,G,False
Ryan Rollins,49,44.0,32.0,16.8,0.9,3.7,4.6,5.5,1.5,0.4,2.3,2.7,2.4,6.4,13.8,46.5,2.4,5.8,40.6,1.6,2.1,75.7,4.1,8.0,50.9,1.217,0.55,G,False
Bobby Portis,47,9.0,24.5,13.2,1.3,5.4,6.7,1.7,0.6,0.2,1.0,1.7,1.6,5.3,11.0,48.2,1.9,4.2,45.2,0.7,1.0,71.1,3.4,6.9,50.0,1.197,0.57,F,False
Kyle Kuzma,47,23.0,26.9,13.0,0.9,4.0,5.0,2.6,0.6,0.4,1.6,2.1,1.7,4.9,10.0,49.2,1.0,3.0,33.1,2.2,3.0,72.5,4.0,7.1,55.9,1.299,0.54,F,False
Myles Turner,47,47.0,28.6,13.0,1.2,4.4,5.6,1.6,0.7,1.6,1.1,2.7,1.4,4.3,9.8,43.9,2.2,5.7,39.1,2.1,2.8,77.7,2.1,4.1,50.5,1.324,0.55,C,False
AJ Green,45,45.0,29.8,10.4,0.2,2.4,2.6,2.0,0.6,0.1,0.8,2.4,2.4,3.4,7.8,44.4,3.0,7.0,43.5,0.5,0.7,77.4,0.4,0.8,52.8,1.347,0.64,G,False
Gary Trent Jr.,45,17.0,24.1,8.5,0.1,1.0,1.1,1.5,0.6,0.1,0.6,1.4,2.6,2.9,7.5,38.5,2.0,5.6,36.8,0.7,0.9,79.5,0.8,2.0,43.2,1.133,0.52,G,False
Cole Anthony,35,0.0,15.1,6.7,0.5,2.0,2.5,3.5,0.6,0.3,1.9,2.1,1.9,2.8,6.6,42.4,0.6,2.1,30.6,0.5,0.7,61.5,2.2,4.5,47.8,1.013,0.47,G,False
Taurean Prince,8,0.0,21.1,6.1,0.0,1.6,1.6,1.0,0.8,0.3,0.6,2.5,1.6,2.1,4.8,44.7,1.5,3.5,42.9,0.4,0.4,100.0,0.6,1.3,50.0,1.289,0.61,F,False
Pete Nance,19,0.0,10.1,4.9,0.5,1.5,2.1,0.6,0.3,0.2,0.4,0.7,1.6,2.0,3.4,59.4,0.9,1.9,50.0,0.0,0.0,0.0,1.1,1.5,71.4,1.469,0.73,F,False
Mark Sears,7,0.0,3.7,3.1,0.1,0.1,0.3,0.3,0.0,0.0,0.6,0.6,0.5,0.9,1.9,46.2,0.6,1.1,50.0,0.9,1.1,75.0,0.3,0.7,40.0,1.692,0.62,G,False
Jericho Sims,35,4.0,14.2,3.1,1.2,2.5,3.7,0.7,0.2,0.2,0.9,1.6,0.8,1.4,1.7,83.3,0.0,0.0,0.0,0.3,0.4,60.0,1.4,1.7,83.3,1.817,0.83,C,False
Gary Harris,35,2.0,14.8,2.7,0.3,1.1,1.5,1.1,0.6,0.1,0.4,1.2,2.5,0.9,1.9,48.5,0.6,1.2,47.6,0.2,0.3,88.9,0.4,0.7,50.0,1.382,0.63,G,False
Amir Coffey,30,2.0,8.8,2.4,0.2,0.7,0.9,0.4,0.1,0.1,0.1,0.5,2.8,0.9,1.8,47.3,0.2,0.8,28.0,0.4,0.5,86.7,0.6,1.0,63.3,1.309,0.54,G,False
Andre Jackson Jr.,24,0.0,6.6,1.5,0.3,0.5,0.8,1.0,0.3,0.1,0.3,1.0,3.0,0.5,1.8,25.0,0.2,1.1,19.2,0.4,0.4,90.0,0.3,0.8,33.3,0.818,0.31,G,False
Thanasis Antetokounmpo,17,0.0,2.9,1.3,0.4,0.3,0.6,0.1,0.4,0.2,0.2,0.5,0.3,0.5,0.9,53.3,0.0,0.1,0.0,0.4,0.6,54.5,0.5,0.8,57.1,1.467,0.53,F,False
Total,49,,,112.1,8.6,32.3,40.9,26.4,7.5,4.1,13.8,20.3,1.9,41.3,85.8,48.2,14.8,37.5,39.4,14.7,20.1,73.1,26.6,48.3,54.9,1.307,0.57,Total,False
