Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,Position,Traded
Anthony Edwards,42,42.0,35.5,29.7,0.6,4.7,5.3,3.7,1.3,0.8,2.7,1.8,1.4,10.2,20.7,49.4,3.4,8.4,40.1,5.9,7.4,79.2,6.9,12.3,55.7,1.434,0.57,G,False
Julius Randle,52,52.0,33.5,22.1,1.6,5.2,6.8,5.4,1.1,0.2,2.6,2.8,2.1,7.7,15.8,48.8,1.6,4.7,32.9,5.2,6.3,82.0,6.2,11.1,55.7,1.402,0.54,F,False
Jaden McDaniels,50,50.0,32.3,15.2,1.1,3.2,4.3,2.9,1.0,1.0,1.7,3.4,1.7,5.8,11.1,52.2,1.6,3.5,45.4,2.1,2.5,85.4,4.2,7.6,55.3,1.375,0.59,F,False
Naz Reid,52,2.0,26.4,14.6,1.2,5.2,6.4,2.5,1.0,0.9,1.6,2.5,1.5,5.5,11.6,47.3,2.5,6.4,39.6,1.2,1.5,75.0,2.9,5.2,56.7,1.265,0.58,C,False
Donte DiVincenzo,52,52.0,31.5,13.4,1.1,3.5,4.5,4.2,1.4,0.5,1.5,2.6,2.8,4.5,10.8,42.0,3.2,8.2,39.2,1.2,1.5,75.9,1.3,2.6,50.7,1.243,0.57,G,False
Rudy Gobert,50,50.0,31.3,10.7,3.7,7.6,11.3,1.7,0.7,1.7,1.3,2.7,1.3,4.4,6.2,70.6,0.0,0.0,0.0,2.0,3.9,49.7,4.4,6.2,71.1,1.729,0.71,C,False
Bones Hyland,43,3.0,14.5,6.9,0.3,1.4,1.7,2.6,0.6,0.2,0.9,1.7,3.0,2.5,5.5,45.8,1.2,3.3,37.1,0.7,1.0,68.3,1.3,2.2,59.1,1.258,0.57,G,False
Terrence Shannon Jr.,22,0.0,12.8,4.5,0.3,1.0,1.3,0.6,0.3,0.0,0.7,1.3,0.9,1.5,3.7,39.5,0.7,1.7,40.5,1.0,1.2,77.8,0.8,2.0,38.6,1.235,0.49,G,False
Mike Conley,44,9.0,18.5,4.4,0.3,1.4,1.8,2.9,0.6,0.3,0.6,1.5,4.7,1.3,4.0,32.2,1.0,3.0,32.1,0.9,1.0,89.1,0.3,1.0,32.6,1.121,0.44,G,False
Jaylen Clark,49,0.0,13.9,3.8,0.9,1.0,1.9,0.6,0.7,0.2,0.3,1.4,1.9,1.4,3.3,41.9,0.4,1.4,26.9,0.7,1.1,64.3,1.0,1.9,52.7,1.175,0.48,G,False
Rob Dillingham,35,0.0,9.3,3.5,0.1,1.0,1.2,1.7,0.5,0.1,1.0,1.0,1.6,1.3,4.0,33.3,0.3,0.9,36.4,0.4,0.6,75.0,1.0,3.1,32.4,0.858,0.38,G,False
Joan Beringer,24,0.0,7.0,3.1,1.0,1.0,2.1,0.3,0.1,0.4,0.3,1.0,1.0,1.4,2.1,66.7,0.0,0.0,0.0,0.3,0.4,60.0,1.4,2.1,66.7,1.451,0.67,F,False
Leonard Miller,19,0.0,5.0,2.3,0.4,0.9,1.3,0.3,0.2,0.0,0.5,0.6,0.6,0.9,1.7,54.5,0.1,0.6,8.3,0.4,0.6,63.6,0.9,1.1,81.0,1.333,0.56,F,False
Johnny Juzang,20,0.0,3.9,2.0,0.3,0.6,0.8,0.3,0.1,0.0,0.3,0.2,1.2,0.8,1.8,41.7,0.3,1.1,22.7,0.3,0.4,62.5,0.5,0.7,71.4,1.111,0.49,G,False
Joe Ingles,17,0.0,4.0,0.6,0.0,0.3,0.3,0.8,0.4,0.0,0.4,0.4,2.2,0.2,0.4,42.9,0.1,0.3,40.0,0.1,0.1,100.0,0.1,0.1,50.0,1.429,0.57,F,False
Total,52,,,119.6,11.4,33.6,44.9,26.6,8.7,5.6,13.8,21.4,1.9,43.0,89.1,48.3,14.4,38.1,37.7,19.2,25.8,74.6,28.7,51.0,56.2,1.342,0.56,Total,False
