Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,Position,Traded
Trey Murphy III,49,49.0,35.9,22.1,1.1,4.7,5.8,3.7,1.6,0.3,1.9,2.1,2.0,7.8,16.4,47.3,3.2,8.5,37.3,3.4,3.8,89.4,4.6,7.9,58.1,1.349,0.57,F,False
Zion Williamson,37,30.0,29.6,21.4,2.3,3.9,6.2,3.5,1.0,0.6,2.2,2.4,1.6,7.8,13.6,57.4,0.0,0.1,0.0,5.7,8.1,70.7,7.8,13.6,57.8,1.568,0.57,F,False
Saddiq Bey,46,38.0,30.4,16.4,1.7,4.1,5.8,2.4,1.0,0.0,0.6,1.1,3.8,5.6,12.6,44.8,1.8,5.3,35.0,3.3,3.9,84.0,3.8,7.3,51.9,1.306,0.52,G,False
Jordan Poole,28,6.0,25.4,14.5,0.2,1.6,1.8,3.1,0.7,0.3,1.9,2.4,1.6,4.5,12.1,37.0,2.5,7.5,33.6,3.0,3.5,87.6,1.9,4.5,42.5,1.201,0.47,G,False
Jeremiah Fears,53,44.0,25.4,13.3,0.7,2.9,3.6,2.9,1.3,0.3,2.2,1.7,1.4,5.0,11.7,43.1,1.1,3.2,32.9,2.2,2.7,81.1,4.0,8.5,47.0,1.141,0.48,G,False
Derik Queen,52,40.0,25.8,12.2,1.7,5.6,7.3,4.3,1.0,0.9,2.5,2.8,1.7,4.7,9.6,48.9,0.2,0.9,21.3,2.6,3.3,78.0,4.5,8.7,51.8,1.267,0.5,C,False
Herbert Jones,30,30.0,28.8,9.2,1.0,2.6,3.5,2.5,1.6,0.5,1.2,3.2,2.1,3.4,8.6,39.7,1.4,4.3,31.8,1.0,1.3,81.6,2.0,4.3,47.7,1.074,0.48,F,False
Jose Alvarado,41,0.0,21.9,7.9,0.4,2.4,2.8,3.1,0.9,0.1,1.1,2.0,2.7,2.9,6.8,41.8,1.7,4.7,36.3,0.5,0.6,83.3,1.1,2.1,54.0,1.157,0.54,G,False
Bryce McGowens,29,11.0,19.4,7.6,0.3,1.7,2.0,1.3,0.6,0.1,0.5,1.9,2.5,2.5,5.3,47.7,0.8,1.9,43.6,1.8,2.3,76.1,1.7,3.4,50.0,1.444,0.56,G,False
Yves Missi,45,7.0,19.3,5.6,3.0,2.7,5.7,1.2,0.3,1.4,0.8,1.8,1.6,2.4,4.6,53.2,0.0,0.0,0.0,0.8,1.4,58.1,2.4,4.5,53.4,1.239,0.53,C,False
Karlo Matkovic,40,2.0,12.9,4.9,0.9,2.3,3.1,0.7,0.4,0.8,0.5,1.6,1.5,2.1,3.5,59.7,0.5,1.2,40.8,0.2,0.4,53.3,1.6,2.3,70.0,1.396,0.67,F,False
Micah Peavy,44,1.0,15.6,4.5,0.9,1.2,2.1,1.1,0.7,0.1,0.3,1.6,3.6,1.9,5.0,38.4,0.5,2.0,24.1,0.3,0.3,73.3,1.4,3.0,47.7,0.913,0.43,G,False
DeAndre Jordan,2,1.0,11.5,4.5,2.0,3.0,5.0,0.0,0.0,0.0,0.5,0.5,0.0,2.0,2.5,80.0,0.0,0.0,0.0,0.5,1.0,50.0,2.0,2.5,80.0,1.8,0.8,C,False
Jordan Hawkins,35,0.0,14.1,4.3,0.4,1.4,1.8,0.7,0.2,0.2,0.6,0.6,1.2,1.5,4.8,32.0,0.8,2.7,30.1,0.4,0.5,77.8,0.7,2.2,34.2,0.888,0.4,G,False
Trey Alexander,5,0.0,8.4,2.8,0.0,0.8,0.8,1.0,0.2,0.2,0.2,0.8,5.0,1.2,1.8,66.7,0.4,0.6,66.7,0.0,0.0,0.0,0.8,1.2,66.7,1.556,0.78,G,False
Kevon Looney,17,6.0,13.9,2.7,2.3,2.8,5.1,1.5,0.4,0.5,0.5,1.8,3.1,1.2,2.8,42.6,0.1,0.5,11.1,0.3,0.5,62.5,1.1,2.2,50.0,0.979,0.44,F,False
Hunter Dickinson,1,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,1.0,0.5,C,False
Total,53,,,114.5,12.5,31.2,43.7,24.8,9.0,4.7,13.2,19.8,1.9,41.9,91.1,46.0,11.0,32.2,34.2,19.7,25.1,78.5,30.8,58.9,52.4,1.256,0.52,Total,False
