Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,Position,Traded
Jalen Brunson,46,46.0,34.6,27.4,0.5,2.8,3.3,6.1,0.7,0.1,2.3,2.4,2.7,9.7,20.6,47.3,3.0,7.8,38.1,5.0,5.9,85.2,6.8,12.8,52.8,1.332,0.54,G,False
Karl-Anthony Towns,48,48.0,31.5,19.9,3.1,8.8,11.9,2.9,0.9,0.6,2.5,3.5,1.2,6.5,14.1,46.5,1.6,4.6,35.6,5.2,6.1,85.3,4.9,9.5,51.8,1.416,0.52,C,False
OG Anunoby,41,41.0,33.0,16.6,1.4,4.0,5.5,2.4,1.7,0.7,2.1,2.5,1.1,5.8,12.2,47.9,2.1,5.6,37.0,2.8,3.5,80.0,3.8,6.6,57.2,1.361,0.56,F,False
Mikal Bridges,51,51.0,34.6,15.7,1.1,3.1,4.2,4.2,1.5,0.8,1.0,1.9,4.1,6.3,12.5,50.2,2.2,5.6,38.9,0.9,1.2,81.4,4.1,6.9,59.2,1.252,0.59,G,False
Miles McBride,35,14.0,28.0,12.9,0.6,2.0,2.6,2.8,0.9,0.2,0.8,1.8,3.5,4.5,10.3,43.4,2.9,6.9,42.0,1.0,1.2,81.4,1.6,3.4,46.2,1.246,0.57,G,False
Josh Hart,39,25.0,30.6,12.3,1.6,6.1,7.6,5.1,1.2,0.3,2.1,2.6,2.5,4.6,9.1,50.6,1.6,3.9,40.5,1.4,1.9,73.7,3.0,5.2,58.1,1.343,0.59,G,False
Landry Shamet,26,6.0,21.1,9.7,0.5,1.4,1.8,1.3,0.5,0.2,0.5,1.3,2.8,3.1,6.9,45.3,2.2,5.0,44.3,1.3,1.7,75.0,0.9,1.8,47.9,1.413,0.61,G,False
Jordan Clarkson,47,1.0,19.4,9.4,0.7,1.0,1.8,1.3,0.4,0.1,1.0,1.9,1.2,3.5,8.2,43.1,1.3,3.9,33.1,1.1,1.4,78.1,2.3,4.3,52.0,1.148,0.51,G,False
Tyler Kolek,44,1.0,13.7,5.0,0.3,1.6,1.9,3.1,0.4,0.1,1.1,1.4,2.8,2.0,4.7,42.3,0.7,2.1,35.2,0.3,0.4,66.7,1.3,2.7,47.9,1.058,0.5,G,False
Mitchell Robinson,36,13.0,19.8,4.9,4.8,4.4,9.1,1.0,0.9,1.1,0.7,2.4,1.5,2.1,3.1,68.8,0.0,0.0,0.0,0.6,1.5,38.2,2.1,3.1,68.8,1.563,0.69,C,False
Guerschon Yabusele,41,0.0,8.9,2.7,0.6,1.5,2.1,0.4,0.1,0.1,0.4,0.9,1.2,1.0,2.6,39.3,0.5,1.7,29.4,0.2,0.3,66.7,0.5,1.0,56.4,1.047,0.49,F,False
Mohamed Diawara,41,5.0,5.7,2.2,0.2,0.8,1.0,0.5,0.2,0.1,0.3,0.5,1.5,0.9,2.0,42.7,0.5,1.2,39.6,0.1,0.1,50.0,0.4,0.8,47.1,1.122,0.54,F,False
Kevin McCullar Jr.,13,0.0,6.8,2.2,0.6,1.0,1.6,1.3,0.3,0.0,0.6,1.1,2.1,0.8,1.8,41.7,0.5,1.1,42.9,0.2,0.4,40.0,0.3,0.8,40.0,1.167,0.54,G,False
Ariel Hukporti,35,4.0,8.7,1.9,1.0,1.8,2.8,0.5,0.1,0.6,0.6,1.3,0.9,0.7,1.2,55.8,0.0,0.1,33.3,0.5,0.7,69.6,0.7,1.1,57.5,1.512,0.57,C,False
Dillon Jones,3,0.0,4.7,1.0,0.3,0.7,1.0,0.3,0.3,0.0,0.0,0.7,inf,0.3,1.0,33.3,0.3,0.7,50.0,0.0,0.0,0.0,0.0,0.3,0.0,1.0,0.5,F,False
Trey Jemison III,8,0.0,6.0,0.9,0.9,0.9,1.8,0.3,0.0,0.3,0.5,0.9,0.5,0.4,0.6,60.0,0.0,0.0,0.0,0.1,0.1,100.0,0.4,0.6,60.0,1.4,0.6,F,False
Pacome Dadiet,18,0.0,3.2,0.4,0.1,0.6,0.6,0.4,0.1,0.0,0.0,0.2,inf,0.1,0.5,22.2,0.0,0.3,0.0,0.2,0.2,100.0,0.1,0.2,50.0,0.889,0.22,F,False
Tosan Evbuomwan,5,0.0,1.6,0.0,0.2,0.2,0.4,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,F,False
Total,51,,,118.2,13.5,33.0,46.5,27.0,8.0,4.1,13.0,20.5,2.1,42.9,90.9,47.2,15.1,39.8,38.0,17.4,21.9,79.2,27.7,51.1,54.3,1.301,0.55,Total,False
