Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,Position,Traded
Shai Gilgeous-Alexander,49,49.0,33.3,31.8,0.6,3.9,4.4,6.4,1.3,0.8,2.1,2.1,3.0,10.9,19.7,55.4,1.8,4.6,39.0,8.2,9.2,89.2,9.1,15.1,60.3,1.616,0.6,G,False
Chet Holmgren,45,45.0,29.2,17.7,1.8,6.7,8.5,1.6,0.5,2.0,1.6,2.5,1.0,6.6,11.7,56.6,1.3,3.7,35.8,3.1,4.0,77.2,5.3,8.1,66.1,1.508,0.62,C,False
Jalen Williams,24,24.0,29.6,16.8,0.7,4.1,4.8,5.6,1.3,0.4,2.0,2.1,2.9,6.6,14.0,47.0,0.8,2.5,30.0,2.9,3.5,83.3,5.8,11.5,50.7,1.202,0.5,G,False
Ajay Mitchell,43,9.0,26.3,14.1,0.7,2.8,3.5,3.7,1.4,0.3,1.6,2.2,2.3,5.2,10.6,48.7,1.1,3.2,35.0,2.7,3.0,87.0,4.0,7.4,54.5,1.329,0.54,G,False
Isaiah Hartenstein,27,26.0,26.2,11.0,3.3,6.7,10.0,3.1,1.0,0.7,2.1,2.9,1.5,4.6,7.3,63.8,0.0,0.2,0.0,1.7,2.5,67.6,4.6,7.1,65.4,1.51,0.64,C,False
Aaron Wiggins,37,14.0,24.0,10.8,0.6,2.9,3.5,1.9,1.0,0.6,1.3,1.5,1.4,4.0,8.8,45.2,1.9,4.9,39.4,0.9,1.2,75.6,2.1,3.9,52.4,1.228,0.56,G,False
Isaiah Joe,43,2.0,20.7,9.7,0.4,2.0,2.5,1.4,0.6,0.2,0.6,1.7,2.2,3.0,7.0,43.4,2.3,5.7,39.8,1.3,1.6,86.6,0.8,1.3,58.6,1.381,0.59,G,False
Luguentz Dort,41,41.0,27.8,8.9,0.9,3.1,4.0,1.2,0.9,0.5,0.7,3.0,1.7,3.1,7.8,39.9,2.0,5.6,36.0,0.7,0.8,84.4,1.1,2.2,50.0,1.142,0.53,G,False
Cason Wallace,49,39.0,26.5,7.9,0.8,2.2,3.0,2.1,2.1,0.2,0.9,2.0,2.3,2.9,7.0,41.7,1.4,3.9,36.3,0.6,0.8,73.7,1.5,3.1,48.7,1.119,0.52,G,False
Kenrich Williams,32,1.0,16.3,7.0,0.9,2.5,3.4,1.6,0.6,0.1,0.7,1.1,2.3,2.7,5.3,50.9,0.9,2.5,37.5,0.6,0.9,66.7,1.8,2.8,62.6,1.31,0.6,G,False
Alex Caruso,33,0.0,18.2,6.1,0.5,2.2,2.8,2.2,1.4,0.4,0.8,1.2,2.7,2.2,5.2,41.9,0.9,3.2,29.5,0.8,0.9,83.3,1.2,2.0,61.2,1.163,0.51,G,False
Jaylin Williams,37,8.0,19.3,6.1,0.6,4.5,5.1,2.5,0.6,0.6,1.0,2.1,2.5,1.9,5.2,36.1,1.2,3.8,30.7,1.1,1.5,75.9,0.7,1.5,50.0,1.155,0.47,F,False
Branden Carlson,34,2.0,11.0,4.9,0.6,2.0,2.6,0.6,0.2,0.5,0.4,0.9,1.6,2.0,3.8,52.3,0.6,1.7,35.6,0.3,0.5,52.9,1.4,2.1,66.2,1.277,0.6,C,False
Ousmane Dieng,27,0.0,10.9,3.7,0.3,1.3,1.6,1.0,0.1,0.3,0.3,0.8,3.5,1.4,3.4,41.8,0.7,1.8,36.7,0.2,0.2,100.0,0.7,1.6,47.6,1.099,0.52,F,False
Chris Youngblood,32,0.0,5.4,2.0,0.2,0.7,0.9,0.3,0.1,0.1,0.1,0.6,5.5,0.6,1.9,33.3,0.5,1.6,31.4,0.3,0.3,90.0,0.1,0.3,44.4,1.083,0.47,G,False
Brooks Barnhizer,28,0.0,7.6,1.6,0.4,1.3,1.7,0.5,0.2,0.1,0.3,0.7,2.0,0.6,1.6,40.9,0.2,0.5,33.3,0.1,0.2,66.7,0.5,1.0,44.8,1.023,0.47,F,False
Total,52,,,120.2,9.1,34.6,43.7,25.6,9.9,5.9,11.8,19.8,2.2,43.5,89.1,48.8,13.4,37.2,36.0,19.9,24.0,82.6,30.1,51.9,58.0,1.349,0.56,Total,False
