Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,Position,Traded
Franz Wagner,26,26.0,32.8,22.2,1.6,4.5,6.1,3.6,1.1,0.3,1.8,2.3,2.0,7.6,15.8,48.2,1.5,4.1,36.8,5.5,6.6,82.6,6.1,11.7,52.1,1.404,0.53,F,False
Paolo Banchero,39,39.0,34.4,21.6,1.2,7.5,8.6,4.8,0.7,0.6,2.8,2.0,1.7,7.2,15.7,45.9,1.1,3.7,30.1,6.1,7.9,76.6,6.1,12.1,50.7,1.373,0.49,F,False
Desmond Bane,49,49.0,34.0,19.2,1.3,3.0,4.3,4.3,0.8,0.5,2.1,3.1,2.0,7.0,15.1,46.4,1.8,5.0,36.2,3.3,3.5,93.6,5.2,10.1,51.5,1.267,0.52,G,False
Anthony Black,49,29.0,31.1,15.8,0.8,3.3,4.1,4.0,1.3,0.7,2.3,2.8,1.8,5.7,12.5,45.7,1.7,4.8,34.6,2.8,3.7,74.2,4.0,7.7,52.5,1.267,0.52,G,False
Jalen Suggs,29,29.0,26.0,14.3,0.7,3.1,3.8,5.0,1.7,0.5,2.6,2.9,1.9,5.0,11.3,44.4,1.9,5.9,31.6,2.3,2.7,86.1,3.2,5.4,58.2,1.258,0.53,G,False
Wendell Carter Jr.,47,47.0,29.8,12.1,2.2,5.1,7.3,2.1,0.7,0.7,1.2,3.6,1.7,4.3,8.6,50.1,1.2,3.4,34.6,2.3,2.9,78.1,3.1,5.1,60.6,1.407,0.57,C,False
Tristan da Silva,44,14.0,22.7,8.9,0.7,2.7,3.3,1.2,0.9,0.2,0.9,1.3,1.4,3.4,7.8,43.1,1.5,4.0,37.1,0.7,0.9,84.2,1.9,3.8,49.4,1.146,0.53,F,False
Moritz Wagner,9,0.0,10.3,7.4,0.4,2.0,2.4,0.3,0.4,0.0,0.7,1.6,0.5,2.4,5.4,44.9,1.1,2.4,45.5,1.4,1.6,92.9,1.3,3.0,44.4,1.367,0.55,F,False
Goga Bitadze,41,1.0,16.2,5.9,2.1,3.0,5.1,1.2,0.7,1.2,0.5,2.1,2.2,2.4,3.6,68.0,0.0,0.2,20.0,0.9,1.3,73.1,2.4,3.3,71.5,1.633,0.69,C,False
Jase Richardson,35,0.0,11.7,5.3,0.5,0.9,1.4,1.2,0.2,0.1,0.6,1.0,2.0,2.0,4.1,48.3,0.6,1.7,37.3,0.7,0.9,72.7,1.3,2.4,56.0,1.287,0.56,G,False
Noah Penda,34,2.0,14.0,5.1,1.5,2.4,3.9,1.2,0.6,0.4,0.8,1.4,1.5,1.9,4.4,42.6,0.7,1.8,38.7,0.7,1.1,62.2,1.1,2.5,45.3,1.169,0.51,F,False
Jett Howard,30,0.0,10.8,4.8,0.4,1.0,1.4,0.8,0.1,0.1,0.2,0.9,3.4,1.7,4.3,39.1,0.9,2.7,35.0,0.6,0.6,94.4,0.7,1.6,45.8,1.133,0.5,G,False
Tyus Jones,48,8.0,15.7,3.0,0.2,0.9,1.1,2.4,0.7,0.1,0.3,0.5,8.3,1.1,3.3,34.2,0.6,2.1,29.4,0.1,0.1,100.0,0.5,1.2,42.9,0.911,0.44,G,False
Jonathan Isaac,41,0.0,10.4,2.9,0.8,1.8,2.6,0.4,0.4,0.6,0.4,0.8,1.0,1.0,2.2,44.6,0.2,0.8,20.6,0.7,1.2,62.5,0.8,1.4,58.6,1.293,0.48,F,False
Jamal Cain,18,0.0,7.0,2.7,0.4,0.3,0.7,0.3,0.2,0.1,0.3,1.2,0.8,0.8,2.1,37.8,0.3,1.0,27.8,0.8,1.0,83.3,0.5,1.1,47.4,1.297,0.45,F,False
Orlando Robinson,4,1.0,6.3,1.8,0.5,0.5,1.0,0.8,0.3,0.0,0.0,0.8,inf,0.8,1.3,60.0,0.3,0.5,50.0,0.0,0.0,0.0,0.5,0.8,66.7,1.4,0.7,C,False
Total,49,,,115.0,11.5,32.2,43.7,26.2,8.3,5.0,13.5,21.0,1.9,41.1,89.0,46.2,11.3,33.2,34.2,21.4,26.8,79.7,29.8,55.8,53.4,1.292,0.53,Total,False
