Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,Position,Traded
Tyrese Maxey,48,48.0,38.9,28.9,0.3,3.9,4.2,6.8,2.0,0.8,2.4,2.1,2.9,10.1,21.5,47.1,3.4,8.8,39.0,5.2,5.8,88.9,6.7,12.7,52.7,1.343,0.55,G,False
Joel Embiid,29,29.0,31.0,26.1,2.2,5.3,7.4,3.8,0.7,1.1,3.0,2.1,1.3,8.8,18.1,48.8,1.2,3.9,30.1,7.3,8.5,85.4,7.7,14.2,53.9,1.442,0.52,C,False
Paul George,27,27.0,30.5,16.0,0.5,4.6,5.1,3.7,1.5,0.5,1.6,2.2,2.3,5.6,13.1,42.4,2.4,6.4,38.2,2.4,2.8,85.5,3.1,6.7,46.4,1.218,0.52,F,False
VJ Edgecombe,46,46.0,35.6,15.1,1.6,3.7,5.3,4.3,1.5,0.5,1.8,3.1,2.4,5.6,13.1,42.7,2.1,5.7,36.0,1.8,2.4,77.1,3.5,7.4,47.9,1.151,0.51,G,False
Kelly Oubre Jr.,28,23.0,32.2,14.2,0.9,3.8,4.6,1.5,1.1,0.6,1.3,2.5,1.1,5.2,10.7,48.7,1.9,4.9,37.7,1.9,2.6,73.0,3.4,5.8,58.0,1.327,0.57,G,False
Quentin Grimes,46,7.0,30.0,13.0,0.7,3.2,3.8,3.7,1.0,0.4,1.9,2.0,2.0,4.2,9.6,43.8,1.9,5.5,34.4,2.7,3.1,86.1,2.3,4.1,56.3,1.352,0.54,G,False
Dominick Barlow,40,33.0,24.0,8.4,2.3,2.8,5.1,1.3,1.0,0.6,0.8,2.1,1.6,3.3,6.0,55.0,0.4,1.5,28.8,1.4,1.8,80.0,2.9,4.5,63.7,1.408,0.59,F,False
Andre Drummond,38,18.0,19.8,6.9,3.4,5.3,8.8,0.8,0.6,0.9,1.0,2.0,0.8,2.7,5.4,49.8,0.5,1.3,36.7,1.0,1.6,62.9,2.2,4.2,53.8,1.271,0.54,C,False
Jared McCain,37,1.0,16.8,6.6,0.2,1.9,2.0,1.7,0.6,0.1,0.8,1.2,2.1,2.4,6.2,38.5,1.2,3.2,37.8,0.6,0.7,88.0,1.2,3.0,39.3,1.061,0.48,G,False
Trendon Watford,28,4.0,15.6,6.0,0.8,2.6,3.4,2.6,0.3,0.3,1.0,2.0,2.6,2.4,4.7,50.4,0.4,0.9,40.0,1.0,1.4,71.1,2.0,3.8,52.8,1.29,0.54,F,False
Eric Gordon,6,0.0,12.3,5.5,0.2,0.2,0.3,0.5,0.7,0.2,0.5,0.5,1.0,2.0,3.5,57.1,1.3,2.3,57.1,0.2,0.3,50.0,0.7,1.2,57.1,1.571,0.76,G,False
Justin Edwards,37,5.0,14.2,4.7,0.5,1.0,1.5,1.1,0.6,0.2,0.6,1.5,1.9,1.6,4.2,39.1,0.9,2.8,33.7,0.5,0.5,89.5,0.7,1.4,50.0,1.115,0.5,F,False
Adem Bona,41,3.0,16.3,4.1,1.8,2.2,4.0,0.2,0.3,1.4,0.7,2.1,0.3,1.5,2.6,57.9,0.0,0.1,40.0,1.0,1.6,65.2,1.5,2.5,58.8,1.579,0.59,C,False
Jabari Walker,45,6.0,12.1,3.7,1.1,1.9,3.1,0.5,0.4,0.2,0.4,1.6,1.2,1.3,3.2,40.3,0.4,1.4,27.0,0.7,1.0,72.7,0.9,1.8,50.6,1.146,0.46,F,False
Johni Broome,9,0.0,4.8,1.1,0.7,0.8,1.4,0.4,0.2,0.0,0.2,0.6,2.0,0.4,2.2,20.0,0.0,0.3,0.0,0.2,0.4,50.0,0.4,1.9,23.5,0.5,0.2,F,False
Kyle Lowry,6,0.0,7.5,1.0,0.0,0.5,0.5,1.2,0.2,0.0,0.3,0.5,3.5,0.3,1.3,25.0,0.3,1.3,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.38,G,False
Hunter Sallis,7,0.0,3.7,1.0,0.0,0.1,0.1,0.6,0.0,0.1,0.7,0.3,0.8,0.4,0.7,60.0,0.0,0.0,0.0,0.1,0.3,50.0,0.4,0.7,60.0,1.4,0.6,G,False
Total,50,,,116.8,12.4,31.4,43.8,25.0,9.0,5.7,13.1,20.2,1.9,41.6,90.5,46.0,13.1,36.3,36.0,20.5,25.2,81.4,28.6,54.3,52.6,1.291,0.53,Total,False
