Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,Position,Traded
Devin Booker,41,41.0,34.0,25.4,0.8,3.2,4.0,6.2,0.9,0.3,3.3,2.6,1.9,8.4,18.4,45.6,1.7,5.5,31.3,7.0,8.0,86.4,6.7,12.9,51.7,1.383,0.5,G,False
Dillon Brooks,45,45.0,31.0,20.9,0.7,2.9,3.6,1.8,1.1,0.2,1.8,3.4,1.0,7.6,17.2,44.0,2.4,6.8,35.8,3.4,3.9,85.8,5.1,10.3,49.5,1.219,0.51,F,False
Grayson Allen,34,25.0,30.2,16.9,0.7,2.3,3.0,4.0,1.4,0.3,1.6,2.3,2.4,5.6,13.4,41.8,3.3,8.9,36.8,2.4,2.9,83.8,2.3,4.4,52.0,1.267,0.54,G,False
Collin Gillespie,50,31.0,28.3,13.8,1.0,3.1,4.1,4.7,1.4,0.2,1.7,1.5,2.8,4.8,10.8,44.5,3.1,7.1,43.5,1.1,1.3,84.6,1.7,3.7,46.4,1.28,0.59,G,False
Mark Williams,46,42.0,24.1,12.3,3.2,4.9,8.1,1.1,1.0,1.0,1.1,2.3,1.0,4.9,7.5,65.9,0.0,0.0,100.0,2.4,3.1,77.8,4.9,7.4,65.8,1.647,0.66,C,False
Jalen Green,5,2.0,14.0,11.6,0.4,1.8,2.2,1.8,0.6,0.0,1.4,0.8,1.3,4.0,9.2,43.5,2.2,5.2,42.3,1.4,1.8,77.8,1.8,4.0,45.0,1.261,0.55,G,False
Royce O'Neale,51,46.0,29.5,10.2,0.7,4.2,4.9,2.9,1.2,0.3,1.5,2.2,1.9,3.6,8.5,42.2,2.7,6.8,40.1,0.4,0.5,67.9,0.8,1.6,51.2,1.211,0.58,F,False
Jordan Goodwin,48,3.0,21.8,8.8,1.9,2.9,4.9,2.3,1.5,0.2,1.1,1.8,2.1,3.4,8.2,40.9,1.5,4.3,35.6,0.6,0.8,71.1,1.8,3.9,46.6,1.071,0.5,G,False
Jamaree Bouyea,25,0.0,15.3,7.0,0.5,1.4,1.9,1.6,0.7,0.4,0.6,0.8,2.9,2.9,5.7,51.4,0.7,2.0,34.0,0.5,0.7,66.7,2.2,3.7,60.9,1.232,0.57,G,False
Ryan Dunn,44,11.0,19.8,6.1,1.5,2.7,4.2,1.6,0.9,0.4,1.0,2.2,1.7,2.4,5.5,43.9,0.8,2.5,32.1,0.4,0.6,64.3,1.6,3.1,53.3,1.094,0.51,F,False
Oso Ighodaro,51,7.0,20.0,5.5,1.5,3.0,4.5,1.8,0.9,0.6,1.3,2.6,1.4,2.4,3.9,61.6,0.0,0.0,0.0,0.7,1.4,49.3,2.4,3.9,61.9,1.404,0.62,F,False
Nick Richards,28,2.0,9.1,3.2,1.3,2.0,3.3,0.3,0.1,0.5,0.9,1.4,0.3,1.3,2.5,49.3,0.0,0.0,0.0,0.7,1.0,67.9,1.3,2.5,49.3,1.254,0.49,C,False
Rasheer Fleming,29,0.0,6.5,2.4,0.7,0.6,1.3,0.2,0.2,0.2,0.2,0.7,0.7,0.9,2.6,34.7,0.3,1.4,22.0,0.3,0.4,72.7,0.6,1.2,50.0,0.92,0.41,F,False
Isaiah Livers,28,0.0,10.4,2.3,0.6,1.4,2.0,0.7,0.4,0.3,0.4,0.9,1.7,0.8,1.9,42.3,0.4,1.3,34.3,0.3,0.4,70.0,0.4,0.6,58.8,1.212,0.54,F,False
Koby Brea,2,0.0,4.0,2.0,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,inf,0.5,1.5,33.3,0.0,1.0,0.0,1.0,1.0,100.0,0.5,0.5,100.0,1.333,0.33,G,False
Nigel Hayes-Davis,27,0.0,7.2,1.3,0.4,0.8,1.2,0.3,0.3,0.1,0.3,0.6,0.9,0.6,1.7,32.6,0.1,0.6,12.5,0.1,0.1,50.0,0.5,1.1,43.3,0.739,0.35,F,False
Khaman Maluach,22,0.0,4.3,1.1,0.3,0.6,0.9,0.1,0.0,0.4,0.5,0.8,0.3,0.4,0.9,40.0,0.0,0.2,0.0,0.4,0.5,90.0,0.4,0.7,53.3,1.25,0.4,C,False
Total,51,,,114.1,12.9,30.3,43.1,24.9,10.3,4.1,14.3,21.5,1.7,41.4,89.9,46.1,14.6,39.8,36.8,16.7,21.0,79.5,26.8,50.1,53.5,1.27,0.54,Total,False
