Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,Position,Traded
Deni Avdija,44,44.0,34.6,25.5,1.1,6.1,7.2,6.7,0.8,0.6,3.9,2.7,1.7,7.8,16.7,46.7,2.3,6.4,35.6,7.6,9.5,80.0,5.5,10.3,53.5,1.525,0.53,F,False
Shaedon Sharpe,47,41.0,30.3,21.8,1.0,3.4,4.5,2.6,1.4,0.1,3.0,2.0,0.9,8.2,18.0,45.7,2.1,6.3,34.1,3.2,4.1,78.1,6.1,11.7,51.9,1.211,0.52,G,False
Jerami Grant,35,16.0,29.0,18.7,0.9,2.6,3.5,2.5,0.7,0.7,2.1,2.7,1.1,5.6,13.0,43.2,2.2,6.0,36.8,5.3,6.4,83.0,3.4,7.0,48.6,1.443,0.52,F,False
Jrue Holiday,22,20.0,28.2,14.4,1.4,3.1,4.5,6.6,1.4,0.1,2.6,1.6,2.5,5.4,12.5,43.3,2.2,6.3,34.8,1.4,1.8,76.9,3.2,6.2,51.8,1.149,0.52,G,False
Toumani Camara,51,51.0,33.7,12.9,1.7,3.6,5.3,2.6,1.0,0.5,2.0,3.2,1.3,4.6,10.7,42.9,2.5,7.1,35.3,1.2,1.7,70.5,2.1,3.6,58.2,1.207,0.55,F,False
Donovan Clingan,47,47.0,27.3,11.2,4.6,6.6,11.2,2.0,0.5,1.4,1.0,2.3,1.9,4.3,8.3,51.9,0.9,3.0,31.2,1.6,2.4,67.0,3.4,5.3,63.7,1.35,0.58,C,False
Caleb Love,43,1.0,22.3,11.1,0.6,2.1,2.7,2.6,0.6,0.1,1.3,1.1,2.0,4.1,10.6,39.1,2.0,6.3,32.1,0.8,1.1,73.5,2.1,4.3,49.5,1.053,0.49,G,False
Sidy Cissoko,46,22.0,21.9,6.5,1.0,1.4,2.4,1.5,0.7,0.3,1.1,2.7,1.4,2.2,5.3,41.2,1.1,3.3,33.3,1.1,1.5,69.0,1.1,2.0,54.4,1.235,0.52,G,False
Blake Wesley,8,0.0,17.1,6.4,0.5,1.8,2.3,3.4,1.4,0.1,1.4,2.1,2.5,2.5,5.6,44.4,0.6,1.9,33.3,0.8,1.4,54.5,1.9,3.8,50.0,1.133,0.5,G,False
Robert Williams III,35,1.0,16.4,6.3,2.0,4.5,6.5,1.1,0.7,1.4,0.7,1.2,1.5,2.8,3.7,74.8,0.1,0.4,30.8,0.5,0.7,73.1,2.7,3.4,79.7,1.672,0.76,C,False
Kris Murray,34,11.0,25.7,6.1,1.8,2.2,4.0,1.2,1.2,0.4,0.9,2.0,1.4,2.3,5.1,44.6,0.6,2.3,25.6,0.9,1.2,73.8,1.7,2.9,59.8,1.183,0.5,F,False
Matisse Thybulle,4,0.0,12.3,5.0,0.0,1.0,1.0,0.8,2.5,0.0,0.3,1.8,3.0,1.5,2.5,60.0,1.0,1.5,66.7,1.0,1.0,100.0,0.5,1.0,50.0,2.0,0.8,G,False
Vit Krejci,1,0.0,14.0,5.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,inf,2.0,7.0,28.6,1.0,6.0,16.7,0.0,0.0,0.0,1.0,1.0,100.0,0.714,0.36,G,True
Duop Reath,32,0.0,8.1,2.9,0.3,0.9,1.2,0.3,0.2,0.3,0.2,0.9,1.4,1.0,2.3,44.6,0.7,1.7,41.8,0.2,0.2,83.3,0.3,0.6,52.6,1.27,0.6,C,False
Rayan Rupert,43,0.0,12.2,2.7,0.5,1.3,1.8,0.7,0.6,0.0,0.5,1.2,1.4,1.1,3.1,34.8,0.4,1.5,27.0,0.2,0.3,64.3,0.7,1.6,42.0,0.894,0.41,G,False
Yang Hansen,29,1.0,8.1,2.3,0.5,1.2,1.7,0.7,0.1,0.3,0.9,1.1,0.8,0.8,2.6,28.9,0.2,1.1,15.2,0.6,0.6,94.4,0.6,1.5,39.5,0.868,0.32,C,False
Javonte Cooke,12,0.0,6.0,1.8,0.2,0.7,0.8,0.6,0.5,0.0,0.5,0.3,1.2,0.7,2.4,27.6,0.3,1.3,18.8,0.2,0.2,100.0,0.4,1.1,38.5,0.724,0.33,G,False
Total,51,,,115.3,14.0,31.7,45.7,24.3,8.1,4.8,16.3,20.3,1.5,40.6,90.6,44.8,14.1,41.9,33.6,20.0,25.9,77.1,26.5,48.7,54.5,1.272,0.53,Total,False
