Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,Position,Traded
Zach LaVine,38,36.0,31.7,19.5,0.2,2.6,2.8,2.2,0.7,0.2,1.9,2.1,1.1,6.8,14.2,48.1,2.6,6.6,39.4,3.2,3.7,87.9,4.2,7.6,55.5,1.372,0.57,G,False
DeMar DeRozan,52,52.0,33.0,19.3,0.5,2.7,3.2,3.9,1.2,0.2,1.2,2.1,3.4,6.8,13.5,50.7,0.7,2.1,34.2,4.9,5.6,86.3,6.1,11.3,53.8,1.43,0.53,G,False
Domantas Sabonis,19,15.0,29.7,15.8,3.4,8.0,11.4,4.1,0.9,0.2,2.7,3.5,1.5,6.3,11.6,54.3,0.3,1.4,18.5,2.9,4.1,72.7,6.1,10.2,59.3,1.362,0.55,F,False
Russell Westbrook,49,43.0,29.6,15.3,1.4,4.4,5.8,6.7,1.4,0.2,3.4,2.5,2.0,5.7,13.1,43.0,2.1,5.9,34.8,2.0,2.8,70.3,3.6,7.2,49.7,1.168,0.51,G,False
Keegan Murray,19,18.0,35.9,14.6,1.6,4.5,6.1,1.5,1.2,1.6,1.2,1.9,1.3,5.8,13.6,42.9,1.3,4.8,27.2,1.6,2.0,78.9,4.5,8.8,51.5,1.069,0.48,F,False
Dennis Schroder,40,14.0,26.4,12.8,0.6,2.5,3.1,5.3,0.8,0.2,2.0,1.7,2.7,4.3,10.6,40.8,1.4,4.2,34.3,2.7,3.3,82.0,2.9,6.4,44.9,1.209,0.48,G,False
Malik Monk,42,0.0,22.2,12.3,0.3,1.7,2.0,2.6,0.6,0.4,1.5,1.6,1.8,4.4,10.1,43.5,2.0,4.8,41.5,1.5,1.7,87.7,2.4,5.3,45.3,1.217,0.53,G,False
Maxime Raynaud,44,26.0,23.0,9.5,1.8,4.7,6.4,1.0,0.4,0.5,1.0,2.5,1.0,4.0,7.4,54.8,0.3,0.9,28.9,1.2,1.6,72.9,3.8,6.5,58.2,1.286,0.56,C,False
De'Andre Hunter,1,1.0,26.0,9.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,5.0,1.0,3.0,11.0,27.3,2.0,4.0,50.0,1.0,2.0,50.0,1.0,7.0,14.3,0.818,0.36,F,True
Precious Achiuwa,44,30.0,20.7,7.3,2.0,3.7,5.6,1.2,0.8,0.5,0.7,1.6,1.7,3.0,6.1,50.0,0.4,1.2,31.4,0.8,1.6,52.9,2.7,4.9,54.4,1.198,0.53,PF,False
Nique Clifford,48,7.0,20.0,5.8,0.8,2.2,3.0,1.4,0.6,0.3,1.1,1.9,1.3,2.2,5.5,40.2,0.8,2.4,31.6,0.7,1.0,69.6,1.5,3.1,46.7,1.061,0.47,G,False
Keon Ellis,43,5.0,17.6,5.6,0.3,0.9,1.3,0.6,1.1,0.5,0.5,1.6,1.2,1.9,4.9,39.7,1.2,3.3,36.8,0.5,0.7,62.5,0.7,1.5,46.2,1.144,0.52,G,False
Drew Eubanks,31,11.0,13.7,5.1,0.8,1.8,2.7,0.3,0.4,0.6,0.8,1.3,0.3,2.2,3.6,60.4,0.0,0.1,25.0,0.8,1.4,55.8,2.1,3.5,61.7,1.432,0.61,F,False
Dylan Cardwell,25,1.0,20.0,4.7,2.8,4.2,7.1,1.1,0.7,1.7,0.8,3.8,1.4,2.0,3.3,59.8,0.0,0.0,0.0,0.8,1.4,55.6,2.0,3.2,60.5,1.439,0.6,C,False
Devin Carter,16,0.0,9.9,3.7,0.4,1.3,1.8,1.4,0.6,0.2,0.8,1.1,1.8,1.3,3.7,35.6,0.4,1.8,21.4,0.7,0.7,100.0,0.9,1.9,48.4,1.0,0.41,G,False
Doug McDermott,8,0.0,9.5,3.4,0.0,0.6,0.6,0.3,0.0,0.1,0.4,0.6,0.7,1.1,3.0,37.5,1.1,3.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,1.125,0.56,F,False
Isaiah Stevens,2,0.0,11.5,2.0,0.5,0.5,1.0,3.0,1.5,0.0,0.0,0.5,inf,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,1.0,0.0,2.0,0.0,G,False
Daeqwon Plowden,3,0.0,15.3,1.3,1.0,1.7,2.7,0.3,0.0,0.3,0.0,0.3,inf,0.7,3.7,18.2,0.0,2.7,0.0,0.0,0.0,0.0,0.7,1.0,66.7,0.364,0.18,G,False
Dario Saric,5,0.0,8.2,1.0,0.2,1.0,1.2,0.4,0.0,0.0,0.4,0.6,1.0,0.2,1.2,16.7,0.2,0.6,33.3,0.4,0.4,100.0,0.0,0.6,0.0,0.833,0.25,F,False
Isaac Jones,3,1.0,5.7,1.0,0.7,0.0,0.7,0.3,0.0,0.0,0.0,1.3,inf,0.3,0.7,50.0,0.0,0.3,0.0,0.3,0.7,50.0,0.3,0.3,100.0,1.5,0.5,C,True
Total,52,,,110.5,10.7,30.4,41.1,25.0,8.2,4.5,13.9,20.3,1.8,41.0,88.2,46.5,10.4,29.9,34.9,18.0,23.3,77.3,30.6,58.2,52.5,1.253,0.52,Total,False
