Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,Position,Traded
Victor Wembanyama,36,27.0,28.9,24.0,2.0,9.1,11.1,2.7,0.9,2.7,2.7,2.8,1.0,8.3,16.4,50.6,1.7,4.8,35.7,5.8,7.1,81.3,6.6,11.6,56.7,1.469,0.56,F,False
De'Aaron Fox,41,41.0,32.5,19.7,0.6,3.4,4.0,6.2,1.3,0.3,2.5,2.2,2.5,7.3,15.2,47.9,2.0,5.8,34.9,3.1,4.0,79.0,5.2,9.4,56.0,1.297,0.55,G,False
Stephon Castle,40,40.0,31.0,16.5,1.2,3.8,5.0,7.0,1.3,0.3,3.4,3.5,2.0,5.6,12.3,45.0,1.1,3.8,27.8,4.4,6.0,72.2,4.5,8.6,52.6,1.339,0.49,G,False
Devin Vassell,37,35.0,31.1,14.4,0.4,3.4,3.8,2.2,0.9,0.4,0.9,1.8,2.4,5.1,12.2,42.0,2.5,6.9,36.3,1.6,2.0,83.6,2.6,5.2,49.5,1.182,0.52,G,False
Keldon Johnson,50,0.0,24.1,13.6,1.8,4.1,6.0,1.4,0.7,0.1,0.9,2.0,1.5,5.2,9.4,55.1,1.3,3.2,39.4,2.1,2.6,78.0,3.9,6.2,63.3,1.457,0.62,F,False
Julian Champagnie,50,36.0,28.5,11.5,0.9,5.2,6.1,1.5,0.8,0.4,1.0,1.6,1.5,3.7,8.6,42.7,2.5,6.7,37.5,1.6,1.9,84.4,1.2,2.0,60.2,1.332,0.57,F,False
Dylan Harper,39,0.0,21.4,10.7,0.7,2.6,3.3,3.5,0.9,0.3,1.4,1.9,2.4,4.3,9.5,45.4,0.6,2.6,24.8,1.4,1.9,73.7,3.7,6.9,53.1,1.126,0.49,G,False
Harrison Barnes,50,48.0,28.0,10.5,0.8,2.2,3.0,2.1,0.7,0.2,0.9,1.3,2.2,3.6,8.2,43.4,1.8,5.0,36.3,1.5,1.7,85.1,1.8,3.2,54.7,1.269,0.54,F,False
Luke Kornet,41,22.0,23.5,7.5,3.1,3.7,6.9,2.0,0.5,1.2,0.5,1.9,4.2,3.0,4.6,64.4,0.0,0.0,0.0,1.6,2.0,79.3,3.0,4.6,64.4,1.633,0.64,C,False
Jeremy Sochan,27,0.0,13.1,4.2,1.0,1.7,2.7,1.0,0.4,0.1,0.7,1.9,1.6,1.7,3.6,48.0,0.3,1.3,25.7,0.4,0.6,68.8,1.4,2.3,60.3,1.163,0.53,F,False
Kelly Olynyk,28,0.0,9.5,3.5,0.6,1.3,1.9,1.3,0.5,0.0,0.6,1.2,2.2,1.2,2.6,47.2,0.3,1.4,23.7,0.7,1.1,66.7,0.9,1.2,73.5,1.347,0.53,F,False
Riley Minix,3,0.0,2.7,3.0,0.3,0.3,0.7,0.3,0.3,0.0,0.0,0.3,inf,1.3,2.0,66.7,0.3,1.0,33.3,0.0,0.0,0.0,1.0,1.0,100.0,1.5,0.75,F,False
David Jones Garcia,11,0.0,6.2,2.9,0.4,0.8,1.2,1.6,0.5,0.1,0.5,0.5,3.6,1.2,2.3,52.0,0.3,0.5,60.0,0.3,0.5,50.0,0.9,1.8,50.0,1.28,0.58,F,False
Carter Bryant,39,0.0,8.4,2.8,0.4,1.3,1.8,0.2,0.2,0.1,0.3,0.8,0.6,1.0,2.9,35.7,0.5,1.5,30.0,0.3,0.4,78.6,0.6,1.3,42.3,0.973,0.44,F,False
Jordan McLaughlin,22,0.0,6.0,2.0,0.2,0.5,0.7,0.8,0.5,0.0,0.4,0.4,2.1,0.7,1.8,41.0,0.4,0.9,40.0,0.2,0.2,80.0,0.4,0.9,42.1,1.128,0.51,G,False
Lindy Waters III,28,0.0,6.8,1.9,0.1,0.7,0.8,0.4,0.1,0.0,0.1,0.6,2.8,0.7,1.9,35.2,0.5,1.7,31.9,0.0,0.0,100.0,0.1,0.3,57.1,1.0,0.49,F,False
Harrison Ingram,4,0.0,3.3,1.8,0.8,0.0,0.8,0.0,0.0,0.0,0.0,0.5,0.0,0.8,1.0,75.0,0.3,0.3,100.0,0.0,0.0,0.0,0.5,0.8,66.7,1.75,0.88,F,False
Bismack Biyombo,12,1.0,5.4,0.8,0.2,0.4,0.6,0.3,0.3,0.1,0.3,0.8,1.0,0.3,0.5,66.7,0.0,0.0,0.0,0.1,0.2,50.0,0.3,0.5,66.7,1.5,0.67,C,False
Stanley Umude,1,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,G,False
Total,50,,,116.9,11.3,35.1,46.5,26.0,7.7,5.0,13.1,19.1,2.0,42.0,88.8,47.2,12.9,37.4,34.6,20.0,25.6,78.3,29.0,51.4,56.4,1.316,0.55,Total,False
