Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,Position,Traded
Brandon Ingram,50,50.0,34.1,21.9,0.8,5.0,5.9,3.7,0.8,0.8,2.5,1.9,1.5,8.2,17.4,47.0,1.8,5.0,36.1,3.8,4.6,83.4,6.4,12.4,51.3,1.262,0.52,F,False
Scottie Barnes,51,51.0,34.5,19.4,2.2,6.2,8.4,5.6,1.3,1.5,2.7,2.8,2.1,7.5,14.9,50.3,0.9,3.1,30.6,3.4,4.2,81.3,6.6,11.9,55.4,1.297,0.53,F,False
RJ Barrett,29,29.0,29.4,18.6,0.9,4.3,5.2,3.5,0.8,0.3,1.7,2.4,2.1,6.8,14.2,47.9,1.8,5.2,33.8,3.2,4.6,70.1,5.0,9.0,56.2,1.311,0.54,F,False
Immanuel Quickley,49,49.0,32.5,16.9,0.6,3.9,4.5,6.1,1.3,0.1,1.7,2.1,3.6,5.9,13.3,44.3,2.6,6.9,37.9,2.6,3.2,80.1,3.2,6.3,51.3,1.277,0.54,G,False
Sandro Mamukelashvili,50,11.0,22.7,11.3,1.6,3.5,5.1,2.0,0.7,0.6,0.9,2.0,2.2,4.2,8.0,52.6,1.3,3.6,37.4,1.5,2.0,75.5,2.9,4.4,64.9,1.404,0.61,F,False
Jakob Poeltl,21,21.0,25.3,9.7,2.7,5.0,7.7,2.1,0.8,0.5,1.6,3.1,1.4,4.2,6.0,69.3,0.0,0.0,0.0,1.3,2.2,59.6,4.2,6.0,69.3,1.606,0.69,C,False
Collin Murray-Boyles,41,17.0,22.1,7.8,2.5,2.6,5.1,2.1,0.9,0.8,1.2,2.6,1.8,3.2,6.0,53.8,0.4,1.1,34.8,0.9,1.4,64.4,2.9,4.9,58.2,1.296,0.57,F,False
Jamal Shead,52,7.0,22.3,7.0,0.3,1.5,1.9,5.4,1.0,0.1,1.3,2.1,4.1,2.4,6.5,37.0,1.1,3.5,32.4,1.1,1.4,76.0,1.3,3.0,42.3,1.083,0.46,G,False
Gradey Dick,52,1.0,16.2,6.5,0.6,1.6,2.2,0.7,0.6,0.1,0.5,1.5,1.3,2.3,5.3,42.4,0.9,2.8,31.3,1.1,1.3,86.6,1.4,2.5,55.0,1.223,0.51,G,False
Ja'Kobe Walter,42,9.0,17.9,6.2,0.7,1.4,2.0,0.9,0.9,0.1,0.5,2.0,1.7,2.1,4.9,42.5,1.1,3.2,34.6,0.9,1.1,80.0,1.0,1.7,57.7,1.251,0.54,G,False
A.J. Lawson,11,0.0,9.6,4.5,0.6,1.4,2.0,0.3,0.4,0.3,0.4,1.4,0.8,1.5,3.7,39.0,0.7,2.0,36.4,0.8,0.8,100.0,0.7,1.7,42.1,1.195,0.49,G,False
Ochai Agbaji,42,13.0,15.5,4.3,0.8,1.5,2.3,0.7,0.4,0.3,0.5,1.8,1.6,1.7,4.0,42.4,0.3,1.5,18.5,0.6,0.7,86.2,1.4,2.5,57.1,1.065,0.46,G,False
Jamison Battle,36,2.0,8.5,3.3,0.3,1.1,1.4,0.4,0.1,0.1,0.4,0.8,1.0,1.3,2.3,53.6,0.6,1.4,44.9,0.2,0.3,66.7,0.6,1.0,65.7,1.405,0.67,F,False
Alijah Martin,10,0.0,8.8,3.0,0.6,0.6,1.2,0.8,0.5,0.3,0.3,0.9,2.7,0.9,2.6,34.6,0.2,1.1,18.2,1.0,1.2,83.3,0.7,1.5,46.7,1.154,0.38,G,False
Jonathan Mogbo,21,0.0,6.6,1.4,0.6,1.2,1.8,0.5,0.1,0.2,0.3,0.6,1.7,0.7,1.3,50.0,0.0,0.0,0.0,0.1,0.2,40.0,0.7,1.3,50.0,1.071,0.5,F,False
Garrett Temple,13,0.0,2.8,0.3,0.0,0.3,0.3,0.3,0.2,0.1,0.2,0.2,1.3,0.1,0.5,14.3,0.1,0.4,20.0,0.1,0.2,50.0,0.0,0.2,0.0,0.571,0.21,G,False
Mo Bamba,2,0.0,3.0,0.0,0.5,0.5,1.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,C,False
Chucky Hepburn,2,0.0,6.5,0.0,0.0,0.5,0.5,1.0,0.5,0.0,0.5,1.0,2.0,0.0,3.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,G,False
Total,52,,,113.8,11.4,31.7,43.1,29.4,8.4,4.8,13.3,21.2,2.2,42.2,89.5,47.2,11.5,33.5,34.3,17.8,22.9,78.0,30.7,56.0,54.9,1.272,0.54,Total,False
