Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,Position,Traded
Lauri Markkanen,37,37.0,35.5,27.4,1.9,5.1,7.0,2.2,1.0,0.5,1.5,1.8,1.4,9.3,19.5,47.7,2.8,7.9,35.7,6.0,6.7,88.8,6.5,11.6,55.8,1.405,0.55,F,False
Keyonte George,47,47.0,34.4,24.2,0.5,3.5,4.0,6.6,1.1,0.3,3.3,2.4,2.0,7.6,16.5,45.9,2.6,6.8,37.7,6.4,7.2,89.3,5.0,9.8,51.6,1.462,0.54,G,False
Walker Kessler,5,5.0,30.8,14.4,4.6,6.2,10.8,3.0,1.4,1.8,3.2,4.4,0.9,5.2,7.4,70.3,1.2,1.6,75.0,2.8,4.0,70.0,4.0,5.8,69.0,1.946,0.78,C,False
Brice Sensabaugh,48,9.0,21.4,12.1,0.8,2.1,2.9,1.6,0.7,0.1,1.2,1.8,1.3,4.3,9.4,45.3,1.7,5.1,33.9,1.9,2.2,86.7,2.5,4.3,59.0,1.293,0.55,F,False
Ace Bailey,44,33.0,25.4,11.3,1.5,2.2,3.6,1.6,0.8,0.5,1.2,2.5,1.3,4.6,10.1,45.4,1.5,4.3,34.9,0.7,1.0,70.5,3.1,5.8,53.1,1.126,0.53,G,False
Jusuf Nurkic,38,33.0,26.6,11.2,2.6,7.5,10.2,4.9,1.3,0.5,2.5,3.3,1.9,4.5,9.0,50.1,0.6,1.8,35.8,1.6,2.8,56.1,3.9,7.2,53.6,1.249,0.54,C,False
Isaiah Collier,43,8.0,24.4,9.6,0.4,2.1,2.6,7.0,0.9,0.3,2.3,2.3,3.0,3.6,7.0,50.5,0.4,1.5,29.2,2.1,3.0,67.9,3.1,5.5,56.3,1.366,0.54,G,False
Kyle Filipowski,50,17.0,22.3,9.5,1.7,4.8,6.4,2.1,0.8,0.4,1.3,2.9,1.6,3.6,7.4,48.2,0.8,2.5,33.3,1.5,2.2,69.4,2.7,4.9,55.9,1.28,0.54,F,False
Svi Mykhailiuk,43,41.0,24.0,8.8,0.7,1.8,2.5,1.9,0.5,0.1,0.8,1.3,2.3,3.3,6.9,47.0,1.7,4.5,38.5,0.5,0.6,92.0,1.5,2.4,63.1,1.268,0.6,G,False
Kyle Anderson,20,0.0,20.1,7.1,1.0,2.4,3.3,3.1,1.2,0.5,0.9,2.3,3.6,2.9,5.5,52.3,0.2,0.3,60.0,1.3,1.9,65.8,2.7,5.2,51.9,1.303,0.54,F,False
Kevin Love,27,5.0,17.5,6.8,1.7,4.1,5.8,1.8,0.3,0.3,0.8,1.7,2.2,2.2,5.7,38.7,1.4,4.0,34.6,1.0,1.2,81.8,0.9,1.8,47.9,1.187,0.51,F,False
Walter Clayton Jr.,45,0.0,18.0,6.8,0.3,1.6,2.0,3.2,0.5,0.3,1.3,1.7,2.5,2.3,5.7,39.8,1.0,3.2,30.8,1.3,1.4,93.5,1.3,2.5,51.3,1.195,0.48,G,False
Cody Williams,37,14.0,18.9,6.0,0.8,1.4,2.2,0.9,0.5,0.4,0.6,1.7,1.5,2.6,5.3,48.7,0.4,1.6,24.6,0.5,0.8,62.1,2.2,3.6,59.7,1.144,0.53,F,False
Taylor Hendricks,33,6.0,14.9,4.9,0.9,2.1,3.0,0.7,0.4,0.2,0.6,1.2,1.2,1.8,3.9,45.3,0.7,2.1,34.3,0.7,1.0,71.9,1.0,1.8,58.6,1.273,0.55,F,False
Elijah Harkless,7,0.0,9.4,2.4,0.3,0.6,0.9,0.7,0.6,0.0,0.4,1.4,1.7,0.6,1.6,36.4,0.3,1.0,28.6,1.0,1.3,77.8,0.3,0.6,50.0,1.545,0.45,G,False
Oscar Tshiebwe,1,0.0,15.0,2.0,2.0,4.0,6.0,1.0,1.0,0.0,0.0,2.0,inf,1.0,4.0,25.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,25.0,0.5,0.25,C,False
Total,51,,,118.3,11.6,32.0,43.7,30.3,8.0,3.5,15.3,21.7,2.0,42.2,90.2,46.8,13.0,37.2,35.0,20.9,26.1,79.9,29.2,53.0,55.1,1.312,0.54,Total,False
