Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,Position,Traded
CJ McCollum,35,35.0,30.9,18.8,0.7,2.9,3.5,3.6,0.7,0.3,1.7,2.1,2.2,6.9,15.1,45.4,2.7,7.0,39.3,2.3,2.9,80.4,4.1,8.1,50.5,1.244,0.54,G,True
Alex Sarr,39,39.0,28.5,17.4,2.4,5.3,7.7,2.8,0.8,2.1,1.7,2.0,1.6,7.0,14.2,49.6,1.0,2.9,33.3,2.4,3.4,70.7,6.1,11.2,53.9,1.232,0.53,C,False
Kyshawn George,40,40.0,30.9,15.3,1.0,4.7,5.6,5.0,1.1,0.9,2.9,3.9,1.7,5.6,12.5,44.5,2.1,5.7,37.6,2.1,2.7,78.3,3.4,6.8,50.2,1.226,0.53,F,False
Tre Johnson,39,21.0,25.1,12.9,0.5,2.2,2.7,2.2,0.6,0.3,1.4,1.8,1.5,4.7,10.5,44.4,2.2,5.5,39.3,1.5,1.6,89.1,2.5,5.0,50.0,1.232,0.55,G,False
Khris Middleton,34,34.0,24.3,10.3,0.9,3.1,3.9,3.3,0.8,0.3,1.7,2.5,1.9,3.8,8.8,43.3,1.0,2.9,33.3,1.7,2.0,84.1,2.9,5.9,48.3,1.17,0.49,F,False
Marvin Bagley III,38,8.0,19.2,10.1,2.6,3.1,5.7,1.5,0.5,0.7,1.2,2.1,1.3,4.1,6.5,62.6,0.2,0.5,42.1,1.8,2.6,71.1,3.8,6.0,64.3,1.565,0.64,F,False
Bub Carrington,49,20.0,28.3,10.1,0.4,3.2,3.7,4.6,0.6,0.2,2.4,2.3,1.9,3.4,8.6,40.0,2.1,5.3,40.5,1.0,1.4,75.0,1.3,3.3,39.0,1.168,0.52,G,False
Bilal Coulibaly,30,30.0,26.3,9.7,0.9,3.6,4.6,2.5,1.4,0.9,1.4,2.6,1.8,3.2,8.0,39.4,0.9,3.3,26.3,2.5,3.3,76.5,2.3,4.7,48.6,1.207,0.45,G,False
Cam Whitmore,21,0.0,16.9,9.2,0.9,1.9,2.8,0.7,0.7,0.4,0.9,1.2,0.8,3.7,8.0,45.6,0.8,2.7,28.6,1.1,1.5,74.2,2.9,5.4,54.0,1.142,0.5,F,False
Corey Kispert,19,2.0,19.5,9.2,0.3,2.0,2.3,1.7,0.4,0.2,0.7,1.1,2.3,3.1,6.3,49.6,1.6,4.0,39.5,1.4,1.8,76.5,1.5,2.3,67.4,1.462,0.62,F,True
Justin Champagnie,46,11.0,19.1,7.2,2.0,3.6,5.6,1.1,0.8,0.6,0.6,1.6,1.8,2.8,5.7,50.0,0.6,2.0,30.1,0.9,1.3,69.5,2.2,3.6,61.1,1.265,0.55,F,False
Tristan Vukcevic,30,2.0,11.4,6.9,0.6,1.8,2.4,1.0,0.3,0.7,1.0,1.2,1.0,2.3,5.1,45.5,0.4,2.0,20.0,1.8,2.4,76.4,1.9,3.1,61.7,1.344,0.49,F,False
Will Riley,41,1.0,15.2,6.2,0.8,1.3,2.1,1.3,0.5,0.1,0.9,0.8,1.6,2.2,5.3,40.6,0.7,2.2,31.9,1.1,1.4,80.7,1.5,3.1,46.9,1.155,0.47,G,False
Malaki Branham,28,0.0,9.8,4.6,0.4,1.1,1.6,0.8,0.4,0.1,0.5,0.8,1.5,1.5,3.3,47.3,0.5,1.3,37.8,1.0,1.2,82.4,1.0,1.9,53.7,1.407,0.55,G,False
Skal Labissiere,3,0.0,12.7,4.3,1.0,2.0,3.0,1.0,0.7,0.3,0.3,1.0,3.0,2.0,3.3,60.0,0.3,1.7,20.0,0.0,0.0,0.0,1.7,1.7,100.0,1.3,0.65,C,False
Jamir Watkins,23,2.0,15.6,3.8,0.9,2.7,3.6,0.7,0.8,0.4,0.6,2.4,1.2,1.3,3.3,39.0,0.4,1.9,23.3,0.7,1.0,77.3,0.9,1.5,58.8,1.13,0.45,G,False
AJ Johnson,25,0.0,8.6,2.8,0.3,0.9,1.2,0.9,0.3,0.0,0.7,0.6,1.2,1.1,3.3,32.5,0.3,1.0,28.0,0.4,0.5,75.0,0.8,2.3,34.5,0.843,0.37,G,False
Sharife Cooper,8,0.0,8.0,2.4,0.4,1.3,1.6,0.9,0.1,0.1,0.8,0.9,1.2,1.0,2.3,44.4,0.3,0.8,33.3,0.1,0.3,50.0,0.8,1.5,50.0,1.056,0.5,G,False
Anthony Gill,25,0.0,5.9,1.7,0.5,0.9,1.4,0.1,0.2,0.2,0.4,0.6,0.3,0.7,1.2,58.6,0.1,0.3,42.9,0.2,0.2,100.0,0.6,0.9,63.6,1.448,0.64,F,False
Total,49,,,112.1,11.8,32.1,43.9,25.3,7.7,6.0,15.2,21.1,1.7,41.3,90.4,45.7,12.8,36.2,35.4,16.7,21.7,77.0,28.5,54.2,52.5,1.24,0.53,Total,False
