Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF
Jaylen Brown G,15,15.0,32.1,27.5,0.9,4.6,5.5,4.1,0.8,0.3,3.5,3.1,1.2,10.4,20.7,50.3,2.0,5.7,34.9,4.7,6.1,77.2,8.4,14.9,56.3,1.332,0.55
Payton Pritchard G,15,15.0,32.1,16.7,1.0,3.3,4.3,5.0,0.7,0.0,1.4,1.9,3.6,5.9,13.5,44.1,2.7,8.1,33.1,2.2,2.7,82.5,3.3,5.4,60.5,1.243,0.54
Derrick White G,15,15.0,32.9,15.9,0.9,3.1,4.0,5.3,1.7,1.3,1.4,1.8,3.8,5.5,15.4,35.9,2.7,8.7,30.5,2.2,2.7,82.5,2.9,6.7,43.0,1.035,0.45
Anfernee Simons G,15,0.0,24.5,13.3,0.3,1.9,2.2,2.5,0.4,0.2,1.3,2.1,1.9,4.6,11.1,41.3,2.7,6.6,40.4,1.4,1.7,84.0,1.9,4.5,42.6,1.192,0.53
Neemias Queta C,15,15.0,24.5,9.1,3.1,5.0,8.1,1.7,0.7,1.5,0.9,3.3,2.0,4.0,6.5,61.2,0.0,0.2,0.0,1.1,1.8,59.3,4.0,6.3,63.2,1.388,0.61
Josh Minott F,14,9.0,20.1,7.6,1.9,3.3,5.2,1.4,1.0,0.4,0.6,2.1,2.1,2.7,5.7,47.5,1.1,3.0,38.1,1.1,1.4,78.9,1.6,2.7,57.9,1.338,0.58
Luka Garza C,14,0.0,14.6,7.1,2.4,1.8,4.2,0.8,0.4,0.4,0.4,3.1,1.8,2.6,4.4,58.1,0.6,1.5,38.1,1.4,1.9,76.9,2.0,2.9,68.3,1.613,0.65
Sam Hauser F,15,2.0,21.5,6.6,0.7,2.7,3.5,1.4,0.6,0.3,0.7,0.9,2.1,2.2,6.9,32.0,2.0,6.0,33.3,0.2,0.3,75.0,0.2,0.9,23.1,0.961,0.47
Jordan Walsh G,11,3.0,16.7,4.5,1.2,2.9,4.1,0.9,0.9,0.5,0.2,2.4,5.0,1.8,3.7,48.8,0.6,1.5,41.2,0.3,0.4,75.0,1.2,2.2,54.2,1.22,0.57
Hugo Gonzalez G,11,1.0,12.4,3.0,0.7,1.3,2.0,0.6,0.8,0.2,0.5,1.8,1.2,1.3,2.8,45.2,0.5,0.9,50.0,0.0,0.1,0.0,0.8,1.9,42.9,1.065,0.53
Baylor Scheierman G,11,0.0,10.3,2.9,0.5,1.6,2.1,0.5,0.3,0.1,0.2,0.9,2.5,1.0,1.8,55.0,0.8,1.5,52.9,0.1,0.1,100.0,0.2,0.3,66.7,1.6,0.78
Ron Harper Jr. G,3,0.0,5.0,2.7,0.3,0.7,1.0,1.0,0.0,0.3,0.0,0.7,inf,1.0,2.3,42.9,0.7,2.0,33.3,0.0,0.0,0.0,0.3,0.3,100.0,1.143,0.57
Xavier Tillman F,8,0.0,8.1,2.5,0.9,1.3,2.1,0.6,0.4,0.1,0.1,0.9,5.0,1.1,2.3,50.0,0.3,1.0,25.0,0.0,0.0,0.0,0.9,1.3,70.0,1.111,0.56
Chris Boucher F,7,0.0,10.9,2.4,0.3,2.1,2.4,0.3,0.6,0.7,0.1,2.1,2.0,1.0,3.1,31.8,0.1,1.7,8.3,0.3,0.3,100.0,0.9,1.4,60.0,0.773,0.34
Amari Williams F,2,0.0,3.5,1.0,0.5,0.5,1.0,0.5,0.5,0.0,0.0,0.5,inf,0.5,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,50.0,1.0,0.5
Total,15,,,113.7,13.5,31.5,45.0,24.3,8.3,5.3,11.0,23.5,2.2,41.9,92.9,45.1,15.3,44.2,34.7,14.5,18.7,77.6,26.6,48.7,54.6,1.224,0.53
