Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF
Miles Bridges F,15,15.0,35.3,22.3,1.2,5.7,6.9,3.8,0.7,0.5,1.5,2.1,2.5,7.5,17.7,42.3,3.3,9.0,36.3,4.1,4.5,89.7,4.2,8.7,48.5,1.26,0.52
LaMelo Ball G,9,9.0,31.3,21.6,1.4,5.4,6.9,9.6,1.4,0.1,3.7,3.1,2.6,7.2,18.8,38.5,2.8,9.3,29.8,4.3,5.0,86.7,4.4,9.4,47.1,1.148,0.46
Kon Knueppel G,15,14.0,33.5,18.3,1.1,5.0,6.1,3.0,0.8,0.2,2.5,2.4,1.2,6.5,13.7,47.3,3.3,8.3,40.3,2.1,2.3,88.6,3.1,5.4,58.0,1.341,0.6
Collin Sexton G,14,9.0,26.2,15.2,0.3,1.9,2.2,4.8,0.7,0.0,2.8,2.3,1.7,4.9,10.7,46.0,1.5,3.8,39.6,3.9,4.5,85.7,3.4,6.9,49.5,1.42,0.53
Brandon Miller F,2,2.0,20.0,14.5,0.0,0.0,0.0,4.0,0.5,0.5,1.5,2.5,2.7,5.0,12.5,40.0,1.0,5.5,18.2,3.5,5.0,70.0,4.0,7.0,57.1,1.16,0.44
Tre Mann G,14,1.0,22.0,10.1,0.7,2.4,3.1,3.1,0.8,0.1,1.9,2.3,1.6,3.9,10.6,36.5,1.6,5.1,30.6,0.9,0.9,92.3,2.3,5.4,42.1,0.959,0.44
Moussa Diabate F,15,1.0,22.9,10.1,4.1,4.1,8.2,1.2,0.6,1.4,0.8,2.5,1.5,3.7,5.8,64.4,0.0,0.0,0.0,2.7,3.8,70.2,3.7,5.8,64.4,1.747,0.64
Ryan Kalkbrenner C,14,14.0,26.5,9.9,3.4,3.9,7.2,0.4,0.9,2.1,1.6,2.0,0.2,4.3,5.3,81.1,0.0,0.1,0.0,1.4,1.7,79.2,4.3,5.2,82.2,1.878,0.81
Sion James G,15,10.0,26.5,7.1,0.3,2.7,3.1,1.5,0.8,0.3,1.0,1.7,1.5,2.3,5.3,43.8,1.3,3.1,43.5,1.1,1.4,81.0,1.0,2.3,44.1,1.338,0.56
KJ Simpson G,7,0.0,13.3,4.9,0.4,1.6,2.0,2.6,0.6,0.0,1.4,1.1,1.8,1.9,5.6,33.3,0.7,2.1,33.3,0.4,0.6,75.0,1.1,3.4,33.3,0.872,0.4
Pat Connaughton G,11,0.0,10.1,4.6,0.3,1.6,1.9,0.6,0.5,0.1,0.3,0.5,2.3,1.6,3.2,51.4,0.8,2.0,40.9,0.5,0.8,66.7,0.8,1.2,69.2,1.457,0.64
Antonio Reeves G,2,0.0,10.5,4.5,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.5,0.0,1.5,3.0,50.0,1.5,2.5,60.0,0.0,0.0,0.0,0.0,0.5,0.0,1.5,0.75
Liam McNeeley G,9,0.0,12.4,4.1,0.4,1.4,1.9,1.2,0.2,0.1,0.6,1.6,2.2,1.0,3.2,31.0,0.7,2.0,33.3,1.4,1.7,86.7,0.3,1.2,27.3,1.276,0.41
Tidjane Salaun F,7,0.0,11.9,3.1,0.7,2.9,3.6,0.7,0.3,0.1,0.4,1.1,1.7,1.0,2.7,36.8,0.6,1.7,33.3,0.6,0.9,66.7,0.4,1.0,42.9,1.158,0.47
Drew Peterson F,2,0.0,17.5,2.5,0.5,1.5,2.0,0.5,0.5,0.5,0.0,0.5,inf,1.0,4.5,22.2,0.0,3.0,0.0,0.5,1.0,50.0,1.0,1.5,66.7,0.556,0.22
Mason Plumlee C,6,0.0,5.0,1.0,0.2,0.7,0.8,0.3,0.0,0.0,0.3,0.2,1.0,0.3,0.3,100.0,0.0,0.0,0.0,0.3,0.7,50.0,0.3,0.3,100.0,3.0,1.0
Total,15,,,116.6,12.9,33.1,46.0,26.3,7.0,4.9,15.6,19.5,1.7,40.8,89.5,45.6,14.4,40.3,35.8,20.6,25.1,82.2,26.4,49.2,53.7,1.303,0.54
