Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF
Coby White G,2,0.0,29.0,26.0,0.0,2.5,2.5,7.5,1.5,0.0,3.0,2.5,2.5,7.0,15.5,45.2,4.0,8.5,47.1,8.0,8.5,94.1,3.0,7.0,42.9,1.677,0.58
Josh Giddey G,12,12.0,34.2,20.8,1.5,8.3,9.8,9.7,1.0,0.5,3.7,2.1,2.6,7.4,15.9,46.6,1.6,4.3,37.3,4.3,5.8,75.4,5.8,11.7,50.0,1.304,0.52
Nikola Vucevic C,14,14.0,31.6,16.6,1.9,7.9,9.9,3.6,0.7,0.5,1.8,2.5,2.0,6.6,13.3,49.5,2.1,5.0,42.9,1.4,1.8,76.0,4.4,8.3,53.4,1.253,0.58
Ayo Dosunmu G,12,0.0,25.3,15.6,0.3,2.3,2.6,3.2,0.6,0.2,1.3,1.9,2.5,5.6,9.9,56.3,1.8,3.9,46.8,2.6,2.9,88.6,3.8,6.0,62.5,1.571,0.66
Matas Buzelis F,14,14.0,28.3,14.7,1.1,4.4,5.6,1.4,0.7,1.2,1.9,3.3,0.7,5.4,11.1,48.1,1.8,4.4,40.3,2.2,2.6,86.1,3.6,6.7,53.2,1.321,0.56
Kevin Huerter G,14,5.0,26.1,13.5,0.6,3.3,3.9,2.7,0.9,0.9,1.5,2.4,1.8,5.1,10.4,49.0,1.5,4.9,30.4,1.9,2.2,83.9,3.6,5.4,65.8,1.303,0.56
Tre Jones G,11,11.0,29.9,13.3,0.8,3.2,4.0,5.5,2.1,0.2,1.6,2.0,3.3,4.4,8.8,49.5,0.5,1.5,35.3,4.0,4.7,84.6,3.8,7.3,52.5,1.505,0.53
Jalen Smith F,14,0.0,15.7,9.9,1.9,4.0,5.9,1.3,0.4,0.4,0.9,2.1,1.4,3.6,7.6,48.1,1.6,4.2,39.0,0.9,1.4,68.4,2.0,3.4,59.6,1.302,0.59
Isaac Okoro F,14,14.0,25.4,8.1,1.1,1.6,2.7,1.7,0.4,0.7,1.1,3.1,1.6,2.9,6.4,45.6,1.2,3.2,37.8,1.1,1.3,83.3,1.7,3.2,53.3,1.267,0.55
Patrick Williams F,14,0.0,21.2,7.8,0.7,2.3,3.0,1.5,1.1,0.4,1.1,1.6,1.4,2.6,6.3,42.0,1.5,3.6,41.2,1.0,1.5,66.7,1.1,2.6,43.2,1.239,0.54
Jevon Carter G,5,0.0,13.4,7.0,0.4,1.2,1.6,1.6,0.6,0.0,0.4,1.2,4.0,2.2,5.0,44.0,2.2,4.0,55.0,0.4,0.4,100.0,0.0,1.0,0.0,1.4,0.66
Dalen Terry F,9,0.0,8.4,2.6,0.2,0.8,1.0,1.4,0.4,0.3,0.3,0.8,4.3,1.0,2.1,47.4,0.2,0.8,28.6,0.3,0.8,42.9,0.8,1.3,58.3,1.211,0.53
Julian Phillips F,13,0.0,6.8,1.8,0.6,0.4,1.0,0.2,0.4,0.2,0.1,0.5,2.0,0.7,1.9,36.0,0.2,1.0,23.1,0.2,0.2,100.0,0.5,0.9,50.0,0.92,0.42
Total,14,,,121.7,10.6,36.7,47.3,30.2,8.3,5.3,14.6,21.8,2.1,43.9,91.3,48.0,14.9,37.7,39.4,19.1,23.9,80.2,29.0,53.6,54.1,1.333,0.56
