Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF
Anthony Davis F,5,5.0,29.8,20.8,3.4,6.8,10.2,2.2,1.6,1.2,2.2,2.6,1.0,7.8,15.0,52.0,0.6,2.2,27.3,4.6,6.2,74.2,7.2,12.8,56.3,1.387,0.54
Cooper Flagg F,15,15.0,33.7,15.5,1.1,5.3,6.3,3.1,1.3,0.7,2.2,2.3,1.4,6.0,13.2,45.5,1.1,3.9,29.3,2.4,3.1,78.3,4.9,9.3,52.1,1.177,0.5
P.J. Washington F,15,15.0,30.9,14.4,1.1,6.5,7.7,2.4,1.1,1.0,2.6,2.3,0.9,5.1,12.1,42.3,1.3,4.3,29.7,2.9,4.3,66.2,3.9,7.9,49.2,1.187,0.48
D'Angelo Russell G,16,3.0,22.2,12.6,0.4,2.5,2.9,5.0,0.6,0.1,2.4,1.4,2.1,4.4,11.1,39.9,1.3,5.1,25.6,2.4,3.5,69.6,3.1,6.0,52.1,1.135,0.46
Max Christie G,16,13.0,30.3,12.3,0.1,3.5,3.6,2.5,0.6,0.5,1.2,1.9,2.1,4.2,8.8,47.5,2.6,5.6,46.1,1.3,1.8,75.0,1.6,3.3,50.0,1.39,0.62
Naji Marshall F,16,1.0,26.8,11.9,0.8,4.1,4.8,2.2,1.2,0.0,1.2,1.9,1.8,3.8,8.0,47.7,0.9,2.9,30.4,3.4,4.3,79.7,2.9,5.1,57.3,1.492,0.53
Brandon Williams G,14,6.0,20.9,10.8,0.6,2.0,2.6,3.3,1.6,0.1,1.9,1.9,1.7,3.7,9.0,41.3,0.4,2.6,16.2,2.9,3.6,80.4,3.3,6.4,51.7,1.198,0.44
Daniel Gafford F,10,9.0,23.1,10.3,2.2,3.9,6.1,1.2,0.8,1.6,1.1,3.0,1.1,3.9,5.9,66.1,0.0,0.0,0.0,2.5,3.1,80.6,3.9,5.9,66.1,1.746,0.66
Klay Thompson G,15,8.0,21.6,9.7,0.2,2.3,2.5,1.8,0.3,0.3,1.1,0.9,1.7,3.5,10.0,34.7,2.3,7.5,31.3,0.4,0.4,100.0,1.1,2.5,44.7,0.967,0.46
Jaden Hardy G,13,0.0,11.3,6.3,0.2,1.1,1.3,0.4,0.3,0.2,1.0,1.3,0.4,1.9,4.8,39.7,1.2,3.0,41.0,1.2,1.5,80.0,0.7,1.8,37.5,1.302,0.52
Dereck Lively II C,6,4.0,16.2,4.3,1.8,3.7,5.5,1.8,0.5,1.7,1.5,2.7,1.2,1.7,2.8,58.8,0.0,0.0,0.0,1.0,1.3,75.0,1.7,2.8,58.8,1.529,0.59
Moussa Cisse C,12,1.0,11.6,4.1,1.8,2.0,3.8,0.1,0.3,1.3,0.9,2.0,0.1,1.7,2.5,66.7,0.0,0.0,0.0,0.8,2.1,36.0,1.7,2.5,66.7,1.633,0.67
Ryan Nembhard G,5,0.0,9.0,3.2,0.2,0.0,0.2,1.8,0.0,0.0,1.2,0.6,1.5,1.4,3.0,46.7,0.0,0.8,0.0,0.4,0.6,66.7,1.4,2.2,63.6,1.067,0.47
Dwight Powell F,12,0.0,9.5,2.3,1.0,1.2,2.2,0.7,0.3,0.2,0.4,2.1,1.6,0.5,1.0,50.0,0.0,0.0,0.0,1.3,1.5,83.3,0.5,1.0,50.0,2.25,0.5
Caleb Martin F,13,0.0,10.0,1.7,0.7,1.0,1.7,1.1,0.4,0.2,0.5,1.8,2.0,0.5,1.7,31.8,0.1,0.5,14.3,0.5,0.6,87.5,0.5,1.2,40.0,1.0,0.34
Miles Kelly G,2,0.0,5.5,1.0,0.5,1.5,2.0,0.0,0.0,0.0,0.5,1.0,0.0,0.5,1.0,50.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5,100.0,1.0,0.5
Total,16,,,110.3,10.1,35.3,45.4,23.9,8.4,6.1,16.6,21.8,1.4,39.0,87.4,44.6,10.8,34.4,31.5,21.5,29.1,74.0,28.2,53.0,53.2,1.263,0.51
