Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF
Cade Cunningham G,12,12.0,36.8,27.3,1.0,4.4,5.4,9.9,1.4,0.8,3.6,3.8,2.8,9.7,22.2,43.6,1.8,6.7,27.5,6.1,7.5,81.1,7.8,15.5,50.5,1.229,0.48
Jalen Duren C,13,13.0,28.9,20.6,4.5,7.4,11.9,1.8,1.1,1.1,2.3,3.4,0.8,7.5,11.1,67.4,0.0,0.0,0.0,5.7,7.3,77.9,7.5,11.1,67.4,1.861,0.67
Tobias Harris F,6,6.0,32.2,13.5,0.8,5.2,6.0,2.8,0.8,0.2,1.3,3.0,2.1,4.7,11.8,39.4,1.3,4.7,28.6,2.8,3.0,94.4,3.3,7.2,46.5,1.141,0.45
Ausar Thompson G,11,10.0,28.5,13.2,1.8,4.4,6.2,3.1,1.7,0.9,1.3,2.9,2.4,5.5,10.9,50.8,0.4,1.2,30.8,1.7,3.5,48.7,5.2,9.7,53.3,1.208,0.53
Duncan Robinson F,15,15.0,32.1,12.7,0.5,2.3,2.8,2.0,0.9,0.3,0.7,2.7,2.7,4.2,9.4,44.7,3.1,7.3,41.8,1.2,1.6,75.0,1.1,2.1,54.8,1.348,0.61
Daniss Jenkins G,10,4.0,21.9,11.8,0.8,1.3,2.1,4.4,1.5,0.0,1.6,1.6,2.8,4.7,9.5,49.5,1.3,2.9,44.8,1.1,1.6,68.8,3.4,6.6,51.5,1.242,0.56
Isaiah Stewart F,12,5.0,23.0,11.1,2.2,4.3,6.5,1.5,0.2,2.0,1.2,3.1,1.3,4.1,8.3,49.5,1.2,3.0,38.9,1.8,2.3,75.0,2.9,5.3,55.6,1.343,0.57
Caris LeVert G,10,0.0,19.8,9.4,0.2,1.5,1.7,3.5,0.6,0.4,1.7,1.2,2.1,3.5,6.9,50.7,1.2,3.0,40.0,1.2,2.0,60.0,2.3,3.9,59.0,1.362,0.59
Ronald Holland II F,15,5.0,23.9,8.6,0.9,3.0,3.9,1.8,1.7,0.3,1.8,2.9,1.0,3.2,8.1,39.3,0.9,3.2,29.2,1.3,1.5,86.4,2.3,4.9,45.9,1.057,0.45
Tolu Smith F,2,0.0,11.0,8.5,2.0,3.5,5.5,1.0,0.5,0.5,0.5,1.0,2.0,3.0,4.0,75.0,0.0,0.0,0.0,2.5,3.5,71.4,3.0,4.0,75.0,2.125,0.75
Javonte Green G,15,3.0,23.3,8.1,0.9,2.9,3.8,1.2,1.1,0.5,0.8,1.6,1.5,2.6,6.4,40.6,1.0,3.3,30.6,1.9,2.5,76.3,1.6,3.1,51.1,1.271,0.48
Paul Reed F,13,2.0,12.5,6.8,1.9,2.5,4.4,1.2,1.1,0.8,1.1,1.8,1.1,3.0,4.3,69.6,0.3,0.6,50.0,0.5,0.9,58.3,2.7,3.7,72.9,1.589,0.73
Chaz Lanier G,11,0.0,11.6,3.9,0.5,0.7,1.3,0.9,0.3,0.0,0.1,0.3,10.0,1.3,3.6,35.0,1.1,3.3,33.3,0.3,0.3,100.0,0.2,0.4,50.0,1.075,0.5
Bobi Klintman F,6,0.0,8.8,2.8,0.8,1.8,2.7,0.7,0.3,0.0,0.8,1.5,0.8,1.2,3.5,33.3,0.5,1.8,27.3,0.0,0.5,0.0,0.7,1.7,40.0,0.81,0.4
Colby Jones G,1,0.0,7.0,2.0,0.0,4.0,4.0,2.0,0.0,0.0,0.0,1.0,inf,1.0,3.0,33.3,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.667,0.33
Wendell Moore Jr. F,3,0.0,14.3,2.0,0.3,1.0,1.3,1.0,0.7,0.3,0.3,0.3,3.0,1.0,2.0,50.0,0.0,0.3,0.0,0.0,0.0,0.0,1.0,1.7,60.0,1.0,0.5
Isaac Jones C *,1,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,0.5
Total,15,,,118.9,13.8,33.1,46.9,26.9,10.3,6.1,14.3,23.4,1.9,43.6,90.6,48.1,11.1,32.1,34.6,20.5,27.7,74.2,32.5,58.5,55.5,1.312,0.54
