Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF
Kevin Durant F,13,13.0,36.2,25.5,0.3,4.2,4.5,3.4,0.9,0.6,3.1,2.7,1.1,8.5,17.2,49.6,1.8,4.7,37.7,6.6,7.5,88.7,6.8,12.5,54.0,1.478,0.55
Alperen Sengun C,13,13.0,36.9,23.4,3.1,7.3,10.4,7.4,1.2,1.0,3.5,3.2,2.1,8.2,16.8,48.9,1.3,2.9,44.7,5.6,7.5,74.5,6.9,13.9,49.7,1.388,0.53
Amen Thompson G,13,13.0,35.8,16.8,2.3,4.0,6.3,5.2,1.5,0.5,2.2,2.4,2.4,6.6,14.2,46.7,0.5,2.3,20.0,3.2,4.2,75.9,6.2,11.8,51.9,1.19,0.48
Jabari Smith Jr. F,12,12.0,32.8,14.4,1.3,5.3,6.6,1.7,0.8,0.8,0.9,2.8,1.8,5.3,11.8,45.4,2.1,5.4,38.5,1.7,2.1,80.0,3.3,6.3,51.3,1.227,0.54
Reed Sheppard G,13,0.0,22.9,12.5,0.3,2.3,2.6,3.0,1.5,0.4,1.2,2.2,2.6,4.7,9.6,48.8,2.7,5.7,47.3,0.5,0.7,66.7,2.0,3.9,51.0,1.304,0.63
Tari Eason F,11,1.0,23.2,11.5,1.5,3.7,5.2,1.6,0.8,0.5,1.7,1.6,0.9,4.3,8.6,49.5,2.5,4.8,50.9,0.5,0.6,71.4,1.8,3.8,47.6,1.326,0.64
Josh Okogie G,13,10.0,21.5,7.4,0.9,1.2,2.2,1.2,1.5,0.2,0.5,1.9,2.1,2.4,5.0,47.7,1.2,2.8,44.4,1.4,1.7,81.8,1.2,2.2,51.7,1.477,0.6
Aaron Holiday G,8,0.0,9.8,6.4,0.0,0.5,0.5,0.9,0.3,0.1,0.6,0.9,1.4,1.9,3.1,60.0,1.0,2.0,50.0,1.6,1.8,92.9,0.9,1.1,77.8,2.04,0.76
Steven Adams C,12,3.0,22.3,6.1,5.2,4.3,9.5,1.6,0.7,0.8,1.2,2.2,1.4,2.3,4.6,49.1,0.0,0.0,0.0,1.6,2.1,76.0,2.3,4.6,49.1,1.327,0.49
Clint Capela C,12,0.0,10.2,3.7,2.3,2.2,4.5,0.3,0.3,0.6,0.4,1.0,0.8,1.5,2.3,64.3,0.0,0.0,0.0,0.7,0.8,80.0,1.5,2.3,64.3,1.571,0.64
Jeff Green F,5,0.0,4.2,2.4,0.2,0.2,0.4,0.0,0.0,0.2,0.0,0.4,0.0,0.8,1.2,66.7,0.8,1.2,66.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
JD Davison G,5,0.0,4.8,2.2,0.0,0.0,0.0,0.4,0.2,0.2,0.0,0.4,inf,0.8,1.6,50.0,0.6,1.2,50.0,0.0,0.4,0.0,0.2,0.4,50.0,1.375,0.69
Jae'Sean Tate F,8,0.0,5.1,1.0,0.1,0.6,0.8,0.1,0.1,0.0,0.1,0.9,1.0,0.5,1.4,36.4,0.0,0.4,0.0,0.0,0.0,0.0,0.5,1.0,50.0,0.727,0.36
Total,13,,,123.9,16.4,33.9,50.3,25.6,9.3,5.2,14.6,20.7,1.8,44.5,91.2,48.8,12.6,29.8,42.3,22.2,27.9,79.6,31.9,61.4,52.0,1.358,0.56
