Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF
Ja Morant G,12,12.0,28.8,17.9,0.5,3.0,3.5,7.6,1.0,0.1,3.8,2.3,2.0,5.8,16.3,35.9,0.8,5.0,16.7,5.4,5.8,94.2,5.0,11.3,44.4,1.103,0.38
Jaren Jackson Jr. F,15,15.0,29.0,17.9,1.0,4.3,5.3,1.5,0.5,1.3,2.1,4.1,0.7,6.3,13.5,47.0,1.7,4.5,36.8,3.5,4.4,80.3,4.7,8.9,52.2,1.327,0.53
Cedric Coward F,16,3.0,26.5,14.6,1.6,4.6,6.3,2.9,0.8,0.4,1.3,2.0,2.2,4.9,10.1,48.1,2.0,4.9,41.0,2.9,3.2,90.2,2.9,5.3,54.8,1.444,0.58
Santi Aldama F,16,1.0,25.8,13.5,1.5,5.2,6.7,2.5,1.0,0.7,1.3,1.4,2.0,5.3,11.1,47.5,1.6,4.8,32.5,1.4,2.4,60.5,3.7,6.3,59.0,1.22,0.55
Zach Edey C,3,3.0,25.0,12.3,3.0,4.3,7.3,0.7,1.3,1.3,1.3,2.7,0.5,4.7,8.0,58.3,0.3,0.7,50.0,2.7,3.3,80.0,4.3,7.3,59.1,1.542,0.6
Jock Landale C,16,13.0,23.4,10.6,2.3,3.3,5.6,1.6,0.6,0.4,1.1,2.8,1.4,4.1,7.6,54.5,1.1,2.4,43.6,1.3,1.9,66.7,3.1,5.1,59.8,1.397,0.62
Jaylen Wells F,16,16.0,24.9,9.7,1.1,2.2,3.3,1.6,0.7,0.0,0.8,2.1,2.1,3.6,9.5,37.5,1.5,5.2,28.9,1.1,1.6,68.0,2.1,4.3,47.8,1.02,0.45
Cam Spencer G,16,1.0,19.3,9.0,0.2,1.8,2.0,3.2,0.7,0.1,0.8,1.3,3.9,2.8,6.7,41.1,1.9,4.7,41.3,1.6,1.8,86.2,0.8,2.0,40.6,1.346,0.56
Vince Williams Jr. G,11,3.0,20.6,8.2,0.9,3.8,4.7,4.4,0.8,0.2,2.0,2.0,2.2,2.7,7.1,38.5,1.4,4.3,31.9,1.4,1.6,83.3,1.4,2.8,48.4,1.154,0.48
Kentavious Caldwell-Pope G,16,13.0,22.8,7.3,0.4,2.3,2.6,3.3,0.8,0.3,1.0,1.2,3.3,2.4,7.1,34.5,0.9,3.4,25.9,1.6,1.8,89.3,1.6,3.7,42.4,1.035,0.41
Jahmai Mashack G,1,0.0,6.0,6.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,50.0,2.0,4.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.75
Olivier-Maxence Prosper F,10,0.0,9.4,4.7,0.7,1.2,1.9,0.6,0.2,0.1,0.4,0.4,1.5,1.3,2.3,56.5,0.1,0.6,16.7,2.0,2.2,90.9,1.2,1.7,70.6,2.043,0.59
Javon Small G,8,0.0,12.4,4.3,0.1,0.9,1.0,2.8,0.0,0.1,1.0,0.9,2.8,1.3,3.5,35.7,0.8,2.4,31.6,1.0,1.3,80.0,0.5,1.1,44.4,1.214,0.46
Charles Bassey C,2,0.0,15.5,3.5,3.5,4.0,7.5,1.0,0.5,0.5,0.5,2.5,2.0,1.5,4.0,37.5,0.0,0.0,0.0,0.5,1.5,33.3,1.5,4.0,37.5,0.875,0.38
GG Jackson F,7,0.0,6.6,2.6,0.4,1.3,1.7,0.3,0.6,0.1,0.1,0.6,2.0,0.9,3.3,26.1,0.0,1.6,0.0,0.9,1.3,66.7,0.9,1.7,50.0,0.783,0.26
John Konchar G,14,0.0,12.3,2.4,0.4,2.2,2.6,1.2,0.9,0.4,0.4,0.8,3.4,0.9,1.9,48.1,0.4,1.2,35.3,0.1,0.2,66.7,0.5,0.7,70.0,1.259,0.59
PJ Hall C,7,0.0,3.9,1.9,0.4,0.9,1.3,0.3,0.0,0.3,0.1,0.4,2.0,0.7,1.3,55.6,0.1,0.4,33.3,0.3,0.4,66.7,0.6,0.9,66.7,1.444,0.61
Total,16,,,112.8,11.3,33.7,44.9,28.5,7.8,4.1,13.9,20.3,2.0,39.3,90.8,43.3,13.1,40.2,32.7,21.0,25.9,81.2,26.2,50.6,51.7,1.242,0.51
