Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF
Giannis Antetokounmpo F,13,13.0,31.8,31.2,3.7,7.2,10.8,6.8,0.9,1.2,3.5,2.6,1.9,12.0,19.1,62.9,0.7,1.4,50.0,6.5,10.2,63.6,11.3,17.7,63.9,1.633,0.65
Ryan Rollins G,16,15.0,31.6,18.3,0.8,3.1,3.9,5.9,1.6,0.2,2.5,3.0,2.4,7.1,13.8,51.1,2.4,5.5,44.3,1.8,2.2,80.0,4.6,8.3,55.6,1.326,0.6
Kyle Kuzma F,15,6.0,26.7,13.5,0.7,3.7,4.3,1.9,0.9,0.6,1.3,2.7,1.4,5.1,10.3,49.0,0.9,3.3,26.5,2.5,3.3,77.6,4.2,7.1,59.4,1.31,0.53
Myles Turner C,16,16.0,29.9,12.4,1.2,5.3,6.5,1.8,1.2,1.6,1.3,2.6,1.4,4.3,9.8,43.6,2.4,5.8,42.4,1.5,2.2,68.6,1.8,4.0,45.3,1.276,0.56
AJ Green G,16,16.0,28.6,10.8,0.1,2.6,2.7,1.8,0.4,0.1,0.8,3.1,2.2,3.4,6.9,48.6,3.1,6.4,48.0,0.9,1.2,78.9,0.3,0.6,55.6,1.55,0.71
Bobby Portis F,16,1.0,21.3,10.3,1.2,4.5,5.7,1.1,0.4,0.1,1.1,1.7,0.9,4.2,8.6,48.6,1.3,3.0,43.8,0.6,0.9,71.4,2.9,5.6,51.1,1.196,0.56
Gary Trent Jr. G,16,12.0,28.3,10.3,0.1,1.4,1.5,2.0,1.1,0.1,0.8,2.0,2.5,3.6,8.9,39.9,2.3,6.1,37.8,0.8,1.1,72.2,1.3,2.8,44.4,1.147,0.53
Kevin Porter Jr. G,1,1.0,9.0,10.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,inf,3.0,5.0,60.0,2.0,3.0,66.7,2.0,2.0,100.0,1.0,2.0,50.0,2.0,0.8
Pete Nance F,1,0.0,4.0,10.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,80.0,2.0,3.0,66.7,0.0,0.0,0.0,2.0,2.0,100.0,2.0,1.0
Cole Anthony G,15,0.0,19.7,8.5,0.5,2.8,3.3,5.3,0.7,0.3,2.2,2.7,2.4,3.6,8.7,41.2,0.8,2.6,30.8,0.5,1.0,53.3,2.8,6.1,45.7,0.977,0.46
Taurean Prince F,8,0.0,21.1,6.1,0.0,1.6,1.6,1.0,0.8,0.3,0.6,2.5,1.6,2.1,4.8,44.7,1.5,3.5,42.9,0.4,0.4,100.0,0.6,1.3,50.0,1.289,0.61
Mark Sears G,5,0.0,4.2,3.8,0.2,0.0,0.2,0.2,0.0,0.0,0.8,0.6,0.3,1.0,1.8,55.6,0.6,1.0,60.0,1.2,1.6,75.0,0.4,0.8,50.0,2.111,0.72
Gary Harris G,9,0.0,10.6,2.6,0.1,0.6,0.7,0.7,0.7,0.2,0.2,0.8,3.0,1.0,2.0,50.0,0.6,1.2,45.5,0.0,0.0,0.0,0.4,0.8,57.1,1.278,0.64
Amir Coffey G,13,0.0,9.8,1.6,0.3,0.8,1.1,0.5,0.0,0.1,0.1,0.5,7.0,0.6,1.5,42.1,0.2,0.6,25.0,0.2,0.2,100.0,0.5,0.8,54.5,1.105,0.47
Jericho Sims C,11,0.0,8.0,1.4,0.7,1.2,1.9,0.4,0.1,0.3,0.4,0.7,1.0,0.5,0.7,75.0,0.0,0.0,0.0,0.3,0.4,75.0,0.5,0.7,75.0,1.875,0.75
Thanasis Antetokounmpo F,4,0.0,2.3,0.5,0.0,0.3,0.3,0.0,0.3,0.5,0.0,0.3,0.0,0.3,0.5,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.5,50.0,1.0,0.5
Andre Jackson Jr. G,6,0.0,3.7,0.0,0.2,0.2,0.3,1.0,0.3,0.2,0.3,0.5,3.0,0.0,0.3,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0
Total,16,,,117.4,8.3,31.6,39.9,26.9,7.9,4.5,13.9,22.7,1.9,43.6,88.1,49.5,15.3,37.1,41.3,14.8,21.1,70.3,28.3,51.0,55.5,1.333,0.58
