Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF
Zion Williamson F,6,6.0,31.0,21.3,3.2,3.5,6.7,4.7,1.8,0.3,3.3,2.7,1.4,7.3,15.2,48.4,0.0,0.0,0.0,6.7,10.2,65.6,7.3,15.2,48.4,1.407,0.48
Trey Murphy III F,15,15.0,35.6,19.9,1.6,4.9,6.5,3.1,1.7,0.2,2.2,2.1,1.4,6.8,14.5,46.8,3.0,7.9,38.1,3.3,3.5,94.3,3.8,6.7,57.0,1.372,0.57
Jordan Poole G,7,4.0,30.3,17.3,0.4,1.3,1.7,3.4,0.3,0.3,2.1,2.6,1.6,5.0,14.1,35.4,2.9,8.4,33.9,4.4,4.6,96.9,2.1,5.7,37.5,1.222,0.45
Jeremiah Fears G,15,13.0,26.3,15.3,0.7,2.2,2.9,2.7,1.6,0.1,2.4,2.1,1.1,5.9,13.2,44.9,1.1,3.5,32.7,2.3,2.8,83.3,4.8,9.7,49.3,1.162,0.49
Derik Queen C,15,3.0,23.1,11.7,2.0,4.4,6.4,2.7,1.1,0.9,2.4,3.1,1.1,4.4,8.9,49.6,0.1,0.8,16.7,2.7,3.7,74.5,4.3,8.1,52.9,1.316,0.5
Saddiq Bey G,14,7.0,26.9,11.6,1.6,2.9,4.6,2.0,0.8,0.0,0.7,1.0,2.8,4.1,9.7,41.9,2.0,5.2,38.4,1.5,2.2,67.7,2.1,4.5,46.0,1.199,0.52
Herbert Jones F,15,15.0,30.1,9.7,0.9,2.5,3.4,2.3,1.4,0.2,1.7,3.6,1.4,3.5,8.7,39.7,1.6,4.4,36.4,1.1,1.5,73.9,1.9,4.3,43.1,1.107,0.49
Jose Alvarado G,14,0.0,19.8,7.2,0.5,2.0,2.5,2.4,1.0,0.0,1.0,1.5,2.4,2.5,6.2,40.2,1.4,3.9,36.4,0.8,0.9,84.6,1.1,2.3,46.9,1.161,0.52
Yves Missi C,10,5.0,18.7,6.0,3.1,2.0,5.1,1.4,0.3,0.9,1.1,1.8,1.3,2.4,4.1,58.5,0.0,0.0,0.0,1.2,2.2,54.5,2.4,4.1,58.5,1.463,0.59
Karlo Matkovic F,12,0.0,11.4,4.9,0.7,2.1,2.8,0.8,0.2,0.5,0.4,1.2,2.0,2.2,3.1,70.3,0.3,0.8,44.4,0.3,0.7,37.5,1.8,2.3,78.6,1.595,0.76
Jordan Hawkins G,14,0.0,15.1,4.6,0.4,1.4,1.9,1.1,0.1,0.0,0.4,0.6,3.0,1.8,5.5,32.5,0.7,3.0,23.8,0.4,0.5,71.4,1.1,2.5,42.9,0.844,0.39
DeAndre Jordan C,2,1.0,11.5,4.5,2.0,3.0,5.0,0.0,0.0,0.0,0.5,0.5,0.0,2.0,2.5,80.0,0.0,0.0,0.0,0.5,1.0,50.0,2.0,2.5,80.0,1.8,0.8
Micah Peavy G,11,0.0,12.3,3.5,1.1,1.3,2.4,1.0,0.1,0.1,0.2,1.5,5.5,1.5,3.6,40.0,0.3,1.4,20.0,0.4,0.5,80.0,1.2,2.3,52.0,0.975,0.44
Bryce McGowens G,6,0.0,7.2,3.0,0.0,0.7,0.7,0.5,0.3,0.0,0.2,0.7,3.0,0.8,2.2,38.5,0.0,0.3,0.0,1.3,1.7,80.0,0.8,1.8,45.5,1.385,0.38
Kevon Looney F,8,6.0,13.0,2.5,1.8,2.1,3.9,1.5,0.3,0.5,0.6,2.0,2.4,1.0,3.0,33.3,0.1,0.8,16.7,0.4,0.8,50.0,0.9,2.3,38.9,0.833,0.35
Hunter Dickinson C,1,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,1.0,0.5
Total,15,,,108.9,13.7,27.7,41.3,22.8,9.1,3.1,14.7,20.9,1.5,39.3,88.8,44.2,11.6,33.9,34.2,18.8,24.7,76.2,27.7,54.9,50.4,1.227,0.51
