Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF
Shai Gilgeous-Alexander G,16,16.0,33.4,32.0,0.5,4.6,5.1,6.5,1.5,0.8,1.8,1.8,3.6,10.8,20.4,52.9,2.2,5.7,38.5,8.2,9.1,89.7,8.6,14.8,58.5,1.566,0.58
Chet Holmgren C,12,12.0,29.9,20.0,1.6,6.6,8.2,1.6,0.7,1.4,2.5,3.5,0.6,7.3,12.3,59.9,1.7,4.3,38.5,3.7,4.3,86.3,5.7,7.9,71.6,1.633,0.67
Ajay Mitchell G,16,5.0,28.2,16.1,0.7,3.1,3.8,3.8,1.8,0.3,1.8,2.3,2.1,5.8,13.1,44.3,1.1,3.8,30.0,3.4,3.7,91.5,4.7,9.4,50.0,1.229,0.49
Aaron Wiggins G,9,5.0,27.6,14.8,1.0,2.7,3.7,2.2,0.4,0.8,1.0,2.2,2.2,5.7,12.3,45.9,2.8,6.7,41.7,0.7,1.0,66.7,2.9,5.7,51.0,1.198,0.57
Isaiah Joe G,11,0.0,25.4,14.0,0.6,2.5,3.2,1.5,0.6,0.2,1.0,1.8,1.5,4.2,9.9,42.2,3.2,8.1,39.3,2.5,2.7,90.0,1.0,1.8,55.0,1.413,0.58
Isaiah Hartenstein C,16,16.0,28.4,12.4,3.6,7.4,11.0,3.3,1.4,0.7,2.1,3.0,1.6,5.4,7.8,68.8,0.0,0.3,0.0,1.6,2.4,68.4,5.4,7.6,71.1,1.584,0.69
Cason Wallace G,15,15.0,28.8,8.7,0.7,2.3,3.0,2.7,2.3,0.3,1.1,2.5,2.4,3.2,7.7,41.7,1.6,4.3,37.5,0.7,0.7,90.9,1.6,3.4,47.1,1.13,0.52
Luguentz Dort G,10,10.0,30.6,8.4,1.5,2.9,4.4,1.4,0.9,0.3,0.8,2.9,1.8,2.8,7.7,36.4,1.6,5.2,30.8,1.2,1.3,92.3,1.2,2.5,48.0,1.091,0.47
Alex Caruso G,11,0.0,18.5,5.5,0.3,2.0,2.3,2.6,1.8,0.4,0.8,0.7,3.2,1.9,5.4,35.6,1.2,3.6,32.5,0.5,0.5,83.3,0.7,1.7,42.1,1.017,0.47
Jaylin Williams F,15,1.0,18.4,4.8,0.5,4.0,4.5,2.2,0.6,0.5,0.9,1.7,2.4,1.6,5.0,32.0,1.1,4.4,25.8,0.5,0.6,77.8,0.5,0.6,77.8,0.96,0.43
Branden Carlson C,11,0.0,8.3,3.1,0.5,1.5,2.0,0.5,0.2,0.5,0.3,1.1,1.7,1.3,3.0,42.4,0.4,1.5,25.0,0.2,0.4,50.0,0.9,1.5,58.8,1.03,0.48
Ousmane Dieng F,12,0.0,11.3,2.4,0.3,1.4,1.8,0.7,0.1,0.4,0.5,0.8,1.3,0.9,3.0,30.6,0.3,1.4,17.6,0.3,0.3,100.0,0.7,1.6,42.1,0.806,0.35
Chris Youngblood G,14,0.0,4.8,1.5,0.1,0.4,0.5,0.1,0.1,0.0,0.0,0.8,inf,0.4,1.1,31.3,0.4,1.1,33.3,0.4,0.4,100.0,0.0,0.1,0.0,1.313,0.47
Brooks Barnhizer F,14,0.0,7.4,1.1,0.4,1.6,2.0,0.3,0.1,0.1,0.1,0.7,4.0,0.5,1.0,50.0,0.0,0.1,0.0,0.1,0.3,50.0,0.5,0.9,53.8,1.143,0.5
Total,16,,,121.3,10.3,36.2,46.5,25.6,10.7,5.5,12.4,21.1,2.1,43.4,90.9,47.8,13.4,39.2,34.3,21.0,24.4,86.2,30.0,51.7,58.0,1.335,0.55
