Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF
Tyrese Maxey G,15,15.0,40.7,33.4,0.3,4.4,4.7,7.9,1.6,0.9,2.8,2.5,2.8,11.1,23.4,47.3,4.1,9.7,42.1,7.2,8.2,87.8,7.0,13.7,51.0,1.427,0.56
Joel Embiid C,6,6.0,23.3,19.7,1.5,4.0,5.5,3.3,0.8,1.5,2.7,2.2,1.3,6.7,14.5,46.0,1.5,4.7,32.1,4.8,5.8,82.9,5.2,9.8,52.5,1.356,0.51
Quentin Grimes G,15,0.0,31.8,16.9,0.3,3.4,3.7,4.1,0.9,0.5,2.7,2.3,1.6,5.3,11.5,46.5,2.6,6.5,40.2,3.6,4.3,83.1,2.7,5.0,54.7,1.471,0.58
Kelly Oubre Jr. G,12,12.0,34.8,16.8,1.2,3.9,5.1,1.3,1.1,0.8,1.5,2.7,0.9,6.2,12.4,49.7,1.9,5.6,34.3,2.5,3.2,78.9,4.3,6.8,62.2,1.349,0.57
VJ Edgecombe G,15,15.0,37.3,15.6,2.1,3.9,6.0,4.2,1.3,0.5,1.9,3.1,2.2,5.9,14.4,40.7,2.0,5.5,36.6,1.9,2.5,73.7,3.9,8.9,43.3,1.083,0.48
Paul George F,2,2.0,23.0,15.0,0.0,6.0,6.0,3.0,1.0,1.0,2.0,0.0,1.5,4.5,10.5,42.9,2.5,5.5,45.5,3.5,5.5,63.6,2.0,5.0,40.0,1.429,0.55
Andre Drummond C,14,6.0,23.4,8.2,3.1,6.5,9.6,0.7,0.9,0.9,0.8,2.4,0.9,3.3,5.7,57.5,0.5,1.3,38.9,1.1,1.9,61.5,2.8,4.4,62.9,1.438,0.62
Trendon Watford F,12,4.0,20.8,8.2,1.1,3.5,4.6,3.5,0.4,0.2,1.5,2.8,2.3,3.2,6.2,51.4,0.5,1.3,37.5,1.3,1.8,76.2,2.7,4.8,55.2,1.324,0.55
Dominick Barlow F,6,4.0,24.5,6.5,2.7,2.3,5.0,2.3,0.5,1.0,1.7,2.0,1.4,2.5,4.7,53.6,0.5,1.5,33.3,1.0,1.3,75.0,2.0,3.2,63.2,1.393,0.59
Justin Edwards F,13,3.0,16.0,6.3,0.8,1.2,2.0,1.4,0.4,0.2,0.6,2.0,2.3,2.2,5.3,42.0,1.3,3.6,36.2,0.5,0.5,100.0,0.9,1.7,54.5,1.188,0.54
Jabari Walker F,15,5.0,12.8,3.3,1.4,1.8,3.2,0.5,0.1,0.3,0.4,1.6,1.3,1.3,3.1,43.5,0.2,0.9,21.4,0.4,0.5,85.7,1.1,2.1,53.1,1.065,0.47
Kyle Lowry G,1,0.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,inf,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.5
Eric Gordon G,3,0.0,7.0,2.7,0.0,0.0,0.0,0.3,0.3,0.0,0.7,0.7,0.5,1.0,1.7,60.0,0.7,1.3,50.0,0.0,0.0,0.0,0.3,0.3,100.0,1.6,0.8
Jared McCain G,6,0.0,10.3,2.2,0.0,1.0,1.0,0.7,0.2,0.0,0.5,1.2,1.3,0.8,4.0,20.8,0.5,2.2,23.1,0.0,0.0,0.0,0.3,1.8,18.2,0.542,0.27
Adem Bona C,12,3.0,14.8,2.2,1.3,2.2,3.4,0.3,0.4,1.7,0.6,1.5,0.4,0.8,1.7,45.0,0.0,0.1,0.0,0.7,1.3,50.0,0.8,1.6,47.4,1.3,0.45
Johni Broome F,2,0.0,3.0,2.0,1.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,inf,1.0,2.5,40.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,2.0,50.0,0.8,0.4
Hunter Sallis G,3,0.0,2.3,0.7,0.0,0.3,0.3,0.3,0.0,0.0,0.7,0.3,0.5,0.3,0.3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,100.0,2.0,1.0
Total,15,,,118.4,12.3,32.1,44.5,25.9,7.5,6.4,14.4,21.3,1.8,41.7,89.9,46.4,13.9,36.9,37.7,21.0,26.3,79.7,27.8,53.0,52.5,1.317,0.54
